Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,62,211,239,123,125,202,225,131,,,
Quarterly Results,Expenses,52,146,173,96,83,143,164,87,,,
Quarterly Results,Operating Profit,10,65,66,27,42,59,61,44,,,
Quarterly Results,OPM %,15%,31%,28%,22%,33%,29%,27%,34%,,,
Quarterly Results,Other Income,0,0,1,1,0,2,7,3,,,
Quarterly Results,Interest,0,1,0,2,0,1,0,0,,,
Quarterly Results,Depreciation,0,0,0,1,1,1,1,1,,,
Quarterly Results,Profit before tax,9,64,67,25,41,58,67,45,,,
Quarterly Results,Tax %,30%,25%,27%,22%,26%,26%,25%,27%,,,
Quarterly Results,Net Profit,7,48,49,20,30,43,50,33,,,
Quarterly Results,EPS in Rs,32.90,3.15,3.22,1.29,1.99,2.34,2.70,1.79,,,
Quarterly Results,Raw PDF,,,,,,,,,,,
,,,,,,,,,,,,
Profit & Loss,Sales,,,,635,,,,683,106,225,220
Profit & Loss,Expenses,,,,467,,,,477,80,170,160
Profit & Loss,Operating Profit,,,,168,,,,206,26,54,60
Profit & Loss,OPM %,,,,26%,,,,30%,24%,24%,27%
Profit & Loss,Other Income,,,,2,,,,12,5,15,8
Profit & Loss,Interest,,,,3,,,,2,1,4,1
Profit & Loss,Depreciation,,,,1,,,,5,0,0,0
Profit & Loss,Profit before tax,,,,165,,,,211,29,66,67
Profit & Loss,Tax %,,,,26%,,,,26%,25%,22%,24%
Profit & Loss,Net Profit,,,,123,,,,157,22,51,51
Profit & Loss,EPS in Rs,,,,8.08,,,,8.45,105.95,252.35,253.90
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,0%,0%,0%
,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,152,,,,186,2,2,2
Balance Sheet,Reserves,,,,171,,,,698,97,148,198
Balance Sheet,Borrowings,,,,71,,,,115,14,64,149
Balance Sheet,Other Liabilities,,,,180,,,,252,237,156,206
Balance Sheet,Total Liabilities,,,,575,,,,1251,350,370,555
Balance Sheet,Fixed Assets,,,,14,,,,19,0,2,2
Balance Sheet,CWIP,,,,0,,,,0,0,0,0
Balance Sheet,Investments,,,,18,,,,138,114,40,17
Balance Sheet,Other Assets,,,,543,,,,1093,236,329,536
Balance Sheet,Total Assets,,,,575,,,,1251,350,370,555
,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,102,,,,-218,144,-125,-99
Cash Flows,Cash from Investing Activity,,,,-12,,,,-229,-98,76,29
Cash Flows,Cash from Financing Activity,,,,-83,,,,445,-49,46,84
Cash Flows,Net Cash Flow,,,,7,,,,-1,-3,-2,14
,,,,,,,,,,,,
Ratios,Debtor Days,,,,5,,,,19,44,9,6
Ratios,Inventory Days,,,,,,,,789,9429,,
Ratios,Days Payable,,,,,,,,40,1030,,
Ratios,Cash Conversion Cycle,,,,5,,,,768,8443,9,6
Ratios,Working Capital Days,,,,192,,,,439,-45,264,506
Ratios,ROCE %,,,,45%,,,,31%,,41%,24%
,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,70.82%,70.82%,71.09%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,4.29%,1.25%,0.47%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,0.51%,0.16%,0.14%,,,
Shareholding Pattern (Quarterly),Public,,,,,,24.39%,27.77%,28.30%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,125724,90855,82526,,,
,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,71.09%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,0.47%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,0.14%,,,
Shareholding Pattern (Yearly),Public,,,,,,,,28.30%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,82526,,,
,,,,,,,,,,,,
