Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Dec 20159m,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,TTM,Dec 2015,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,2061,2216,2229,2247,2440,2320,2279,2240,2427,2293,2135,2110,2273,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,1780,1910,1936,1954,2060,1950,1934,1913,2066,1933,1804,1811,1937,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,280,306,293,292,381,370,345,327,361,360,331,299,335,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,14%,14%,13%,13%,16%,16%,15%,15%,15%,16%,15%,14%,15%,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,8,15,17,-790,75,108,209,18,52,32,27,40,37,,,,,,,,,,,,,,,,
Quarterly Results,Interest,4,0,11,8,24,22,31,30,22,21,17,18,13,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,72,75,73,77,83,83,78,78,86,84,80,81,86,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,213,246,227,-582,349,372,445,237,304,287,260,240,273,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,24%,23%,24%,13%,20%,19%,16%,29%,24%,24%,25%,23%,25%,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,161,189,171,-658,279,302,375,169,230,217,195,185,206,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,4.26,4.98,4.52,-17.34,7.36,7.95,9.90,4.45,6.08,5.72,5.15,4.88,5.44,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,8753,,,,9280,,,,8964,,2591,5570,4001,5320,6428,8032,7908,6050,6765,8810,,,,,,
Profit & Loss,Expenses,,,,7581,,,,7856,,,,7613,,2482,5128,3638,4789,5622,7031,6940,5548,5823,7485,,,,,,
Profit & Loss,Operating Profit,,,,1172,,,,1424,,,,1351,,109,442,363,531,806,1001,968,502,942,1325,,,,,,
Profit & Loss,OPM %,,,,13%,,,,15%,,,,15%,,4%,8%,9%,10%,13%,12%,12%,8%,14%,15%,,,,,,
Profit & Loss,Other Income,,,,-749,,,,409,,,,150,,4,-183,-49,22,20,39,28,55,32,135,,,,,,
Profit & Loss,Interest,,,,23,,,,107,,,,78,,63,121,50,59,51,50,52,55,35,68,,,,,,
Profit & Loss,Depreciation,,,,296,,,,322,,,,331,,120,238,163,232,268,287,316,306,273,331,,,,,,
Profit & Loss,Profit before tax,,,,104,,,,1403,,,,1092,,-70,-100,101,262,507,702,628,195,666,1061,,,,,,
Profit & Loss,Tax %,,,,231%,,,,20%,,,,24%,,17%,-22%,24%,35%,29%,29%,44%,45%,41%,,,,,,,
Profit & Loss,Net Profit,,,,-136,,,,1125,,,,828,,-81,-78,77,169,358,498,354,106,393,803,,,,,,
Profit & Loss,EPS in Rs,,,,-3.59,,,,29.66,,,,21.81,,-8.82,-2.42,2.37,4.47,9.47,13.15,9.33,2.81,10.37,21.19,,,,,,
Profit & Loss,Dividend Payout %,,,,-70%,,,,17%,,,,32%,,0%,0%,0%,0%,0%,0%,0%,0%,24%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,379,,,,379,,,,379,,92,323,,378,378,379,379,379,379,,323,,,,,
Balance Sheet,Reserves,,,,4719,,,,5609,,,,6197,,564,1564,,2888,3337,3910,4255,4529,4818,,1683,,,,,
Balance Sheet,Borrowings,,,,985,,,,855,,,,570,,734,1549,,1392,1197,1613,1469,1648,1487,,1085,,,,,
Balance Sheet,Other Liabilities,,,,3837,,,,2909,,,,2602,,621,1515,,2177,2587,2582,2460,2808,3137,,2052,,,,,
Balance Sheet,Total Liabilities,,,,9920,,,,9753,,,,9749,,2011,4951,,6835,7499,8484,8563,9364,9821,,5143,,,,,
Balance Sheet,Fixed Assets,,,,5547,,,,5810,,,,5857,,1211,3124,,4517,4750,4905,6044,6741,6587,,3293,,,,,
Balance Sheet,CWIP,,,,119,,,,54,,,,66,,29,126,,97,60,96,54,12,125,,56,,,,,
Balance Sheet,Investments,,,,576,,,,821,,,,1038,,58,57,,39,55,681,96,234,438,,67,,,,,
Balance Sheet,Other Assets,,,,3678,,,,3068,,,,2787,,713,1643,,2182,2634,2802,2370,2376,2671,,1727,,,,,
Balance Sheet,Total Assets,,,,9920,,,,9753,,,,9749,,2011,4951,,6835,7499,8484,8563,9364,9821,,5143,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,1118,,,,1383,,,,881,,211,322,,304,512,708,1027,539,1051,,680,,,,,
Cash Flows,Cash from Investing Activity,,,,-637,,,,-905,,,,-237,,-88,-184,,-831,-303,-1017,-589,-422,-762,,-225,,,,,
Cash Flows,Cash from Financing Activity,,,,-488,,,,-427,,,,-553,,-116,-294,,575,-236,362,-404,-38,-363,,-494,,,,,
Cash Flows,Net Cash Flow,,,,-6,,,,51,,,,91,,7,-155,,48,-26,53,34,80,-74,,-39,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,36,,,,25,,,,26,,23,28,,36,34,34,34,43,36,,35,,,,,
Ratios,Inventory Days,,,,93,,,,86,,,,85,,126,98,,142,128,123,103,131,148,,152,,,,,
Ratios,Days Payable,,,,163,,,,144,,,,124,,93,149,,260,204,169,144,190,212,,296,,,,,
Ratios,Cash Conversion Cycle,,,,-35,,,,-32,,,,-13,,56,-24,,-82,-42,-12,-7,-16,-28,,-109,,,,,
Ratios,Working Capital Days,,,,-0,,,,-10,,,,3,,16,-3,,-18,-10,2,-1,-1,-9,,-45,,,,,
Ratios,ROCE %,,,,15%,,,,18%,,,,17%,,0%,10%,,8%,12%,14%,11%,4%,11%,,10%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,74.87%,74.96%,74.96%,68.90%,65.70%,65.70%,65.70%,65.70%,65.70%,65.70%,65.70%,65.70%,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,6.85%,7.26%,7.29%,8.62%,7.54%,6.61%,5.63%,5.11%,5.03%,4.32%,4.47%,4.38%,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,8.10%,7.66%,7.47%,11.19%,14.75%,15.40%,15.98%,18.12%,19.45%,20.33%,20.72%,20.91%,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.00%,0.00%,0.00%,0.01%,0.02%,0.03%,0.03%,0.04%,0.04%,0.04%,0.04%,0.04%,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,10.17%,10.09%,10.29%,11.26%,11.96%,12.26%,12.66%,11.03%,9.78%,9.60%,9.07%,8.98%,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,84479,89955,96570,109332,113725,118920,136385,134185,124046,125648,126309,124238,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,72.17%,,,,68.90%,,,,65.70%,,,,65.70%,,,,,,,,,,,,69.91%,69.84%,67.72%,67.72%,71.61%
Shareholding Pattern (Yearly),FIIs,10.66%,,,,8.62%,,,,5.11%,,,,4.38%,,,,,,,,,,,,5.19%,5.59%,10.10%,14.85%,14.80%
Shareholding Pattern (Yearly),DIIs,7.39%,,,,11.19%,,,,18.12%,,,,20.91%,,,,,,,,,,,,6.31%,7.78%,7.06%,6.78%,3.56%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.01%,,,,0.04%,,,,0.04%,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%
