Section,,Sep 2022,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2023,Jun 2022,Dec 2022,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,26.48,19.44,21.17,20.73,23.14,24.85,25.34,23.89,33.56,,,,,,,,,
Quarterly Results,Expenses,26.19,17.64,19.15,19.61,21.26,21.41,23.03,21.01,29.91,,,,,,,,,
Quarterly Results,Operating Profit,0.29,1.80,2.02,1.12,1.88,3.44,2.31,2.88,3.65,,,,,,,,,
Quarterly Results,OPM %,1.10%,9.26%,9.54%,5.40%,8.12%,13.84%,9.12%,12.06%,10.88%,,,,,,,,,
Quarterly Results,Other Income,0.84,1.08,-0.50,0.90,1.06,1.29,0.62,1.08,1.03,,,,,,,,,
Quarterly Results,Interest,1.76,0.93,0.74,0.66,0.75,0.67,1.11,1.12,0.89,,,,,,,,,
Quarterly Results,Depreciation,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,,,,,,,,,
Quarterly Results,Profit before tax,-0.69,1.91,0.74,1.32,2.15,4.02,1.78,2.81,3.75,,,,,,,,,
Quarterly Results,Tax %,5.80%,58.64%,125.68%,15.91%,12.56%,31.84%,29.78%,22.78%,21.33%,,,,,,,,,
Quarterly Results,Net Profit,-0.73,0.79,-0.18,1.11,1.88,2.74,1.26,2.18,2.95,,,,,,,,,
Quarterly Results,EPS in Rs,-0.58,0.63,-0.14,0.89,1.50,2.19,1.01,1.74,2.36,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,84,,,,108,131,,,,,,,,
Profit & Loss,Expenses,,,,,77,,,,95,141,,,,,,,,
Profit & Loss,Operating Profit,,,,,7,,,,12,-10,,,,,,,,
Profit & Loss,OPM %,,,,,8%,,,,11%,-8%,,,,,,,,
Profit & Loss,Other Income,,,,,3,,,,4,25,,,,,,,,
Profit & Loss,Interest,,,,,3,,,,4,6,,,,,,,,
Profit & Loss,Depreciation,,,,,0,,,,0,0,,,,,,,,
Profit & Loss,Profit before tax,,,,,6,,,,12,9,,,,,,,,
Profit & Loss,Tax %,,,,,44%,,,,24%,60%,,,,,,,,
Profit & Loss,Net Profit,,,,,3,,,,9,3,,,,,,,,
Profit & Loss,EPS in Rs,,,,,2.75,,,,7.52,2.77,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,0%,,,,0%,0%,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,13,,,,13,13,,,,,,,,
Balance Sheet,Reserves,,,,,100,,,,110,95,,,,,,,,
Balance Sheet,Borrowings,,,,,33,,,,20,24,,,,,,,,
Balance Sheet,Other Liabilities,,,,,61,,,,71,65,,,,,,,,
Balance Sheet,Total Liabilities,,,,,207,,,,213,197,,,,,,,,
Balance Sheet,Fixed Assets,,,,,27,,,,27,27,,,,,,,,
Balance Sheet,CWIP,,,,,0,,,,0,0,,,,,,,,
Balance Sheet,Investments,,,,,0,,,,0,0,,,,,,,,
Balance Sheet,Other Assets,,,,,181,,,,187,171,,,,,,,,
Balance Sheet,Total Assets,,,,,207,,,,213,197,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,-3,,,,7,33,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,0,,,,1,3,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,6,,,,-17,-30,,,,,,,,
Cash Flows,Net Cash Flow,,,,,4,,,,-10,6,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,537,,,,462,357,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,537,,,,462,357,,,,,,,,
Ratios,Working Capital Days,,,,,390,,,,329,225,,,,,,,,
Ratios,ROCE %,,,,,8%,,,,11%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,47.53%,47.53%,47.53%,47.53%,47.53%,47.53%,47.53%,47.53%,47.53%,47.53%,47.53%,47.53%,,,,,,
Shareholding Pattern (Quarterly),FIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
Shareholding Pattern (Quarterly),Public,52.46%,52.46%,52.45%,52.46%,52.46%,52.45%,52.46%,52.45%,52.47%,52.45%,52.47%,52.46%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,17852,16124,15826,17492,17579,17405,15992,16827,15757,16683,16581,17231,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,47.53%,,,,47.53%,47.53%,,,47.19%,47.04%,47.97%,48.04%,47.54%,47.53%
Shareholding Pattern (Yearly),DIIs,,,,,0.00%,,,,0.00%,0.00%,,,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,52.46%,,,,52.47%,52.45%,,,52.78%,52.96%,52.03%,51.96%,52.46%,52.47%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,17579,,,,15757,16683,,,7985,8646,7958,8079,13121,16777
,,,,,,,,,,,,,,,,,,,
