Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,686,678,715,713,768,623,693,693,772,600,630,594,699,,,
Quarterly Results,Expenses,624,620,659,663,685,560,619,642,698,557,600,565,658,,,
Quarterly Results,Operating Profit,62,59,56,50,83,63,74,51,75,43,30,29,41,,,
Quarterly Results,OPM %,9%,9%,8%,7%,11%,10%,11%,7%,10%,7%,5%,5%,6%,,,
Quarterly Results,Other Income,6,8,9,11,7,6,5,11,-5,12,9,7,-16,,,
Quarterly Results,Interest,5,14,19,22,23,22,24,24,24,24,24,23,19,,,
Quarterly Results,Depreciation,11,22,25,25,28,28,29,31,31,31,31,31,30,,,
Quarterly Results,Profit before tax,51,31,20,13,38,18,27,6,14,0,-16,-16,-25,,,
Quarterly Results,Tax %,22%,59%,24%,27%,25%,84%,21%,5%,52%,111%,-24%,-23%,2%,,,
Quarterly Results,Net Profit,37,11,16,8,23,1,20,5,3,-4,-16,-18,-31,,,
Quarterly Results,EPS in Rs,4.46,1.29,1.94,0.93,2.72,0.03,2.29,0.54,0.26,-0.48,-1.86,-2.12,-3.70,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2294,,,,2872,,,,2800,,,,2523,1671,1613,1775
Profit & Loss,Expenses,2118,,,,2627,,,,2562,,,,2380,1546,1525,1632
Profit & Loss,Operating Profit,176,,,,246,,,,238,,,,143,124,88,143
Profit & Loss,OPM %,8%,,,,9%,,,,8%,,,,6%,7%,5%,8%
Profit & Loss,Other Income,129,,,,36,,,,37,,,,12,9,24,18
Profit & Loss,Interest,20,,,,77,,,,95,,,,89,29,33,29
Profit & Loss,Depreciation,39,,,,101,,,,123,,,,123,20,46,39
Profit & Loss,Profit before tax,245,,,,103,,,,57,,,,-57,85,33,92
Profit & Loss,Tax %,17%,,,,35%,,,,35%,,,,-12%,36%,30%,41%
Profit & Loss,Net Profit,202,,,,58,,,,28,,,,-68,55,23,55
Profit & Loss,EPS in Rs,24.12,,,,6.83,,,,3.08,,,,-8.16,,2.76,6.56
Profit & Loss,Dividend Payout %,2%,,,,6%,,,,11%,,,,0%,0%,5%,4%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,14,,,,14,,,,14,,,,17,0.00,14,14
Balance Sheet,Reserves,512,,,,561,,,,583,,,,760,242,260,315
Balance Sheet,Borrowings,374,,,,958,,,,1046,,,,889,303,328,242
Balance Sheet,Other Liabilities,1245,,,,769,,,,776,,,,862,431,407,466
Balance Sheet,Total Liabilities,2146,,,,2303,,,,2420,,,,2528,976,1010,1039
Balance Sheet,Fixed Assets,743,,,,912,,,,918,,,,876,108,190,157
Balance Sheet,CWIP,58,,,,36,,,,55,,,,209,4,5,11
Balance Sheet,Investments,114,,,,88,,,,104,,,,73,0,0,26
Balance Sheet,Other Assets,1230,,,,1267,,,,1344,,,,1370,863,815,845
Balance Sheet,Total Assets,2146,,,,2303,,,,2420,,,,2528,976,1010,1039
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,226,,,,221,,,,241,,,,192,79,40,234
Cash Flows,Cash from Investing Activity,-124,,,,-705,,,,-219,,,,-215,65,-31,-52
Cash Flows,Cash from Financing Activity,-83,,,,467,,,,-2,,,,18,-123,-28,-178
Cash Flows,Net Cash Flow,19,,,,-17,,,,20,,,,-4,22,-19,5
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,49,,,,48,,,,59,,,,73,78,81,84
Ratios,Inventory Days,158,,,,283,,,,238,,,,156,94,105,86
Ratios,Days Payable,59,,,,123,,,,126,,,,105,57,38,44
Ratios,Cash Conversion Cycle,147,,,,208,,,,171,,,,124,115,149,126
Ratios,Working Capital Days,-9,,,,63,,,,64,,,,67,91,103,75
Ratios,ROCE %,22%,,,,15%,,,,10%,,,,4%,,12%,21%
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,51.32%,51.32%,51.32%,51.32%,51.32%,51.32%,51.32%,51.32%,51.32%,51.32%,52.54%,52.74%,,,
Shareholding Pattern (Quarterly),FIIs,,3.02%,3.18%,4.36%,4.96%,5.03%,7.15%,7.59%,7.49%,6.05%,5.65%,3.50%,3.64%,,,
Shareholding Pattern (Quarterly),DIIs,,6.34%,6.50%,7.27%,8.27%,9.02%,9.16%,9.82%,7.34%,7.09%,6.91%,7.58%,7.09%,,,
Shareholding Pattern (Quarterly),Public,,39.32%,39.01%,37.06%,35.45%,34.63%,32.36%,31.27%,33.85%,35.54%,36.12%,36.37%,36.52%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,35554,37660,37603,37830,41488,42245,36002,37237,38574,42914,45609,46207,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,51.32%,,,,51.32%,,,,51.32%,,,,52.74%,,50.21%,51.11%
Shareholding Pattern (Yearly),FIIs,3.31%,,,,4.96%,,,,7.49%,,,,3.64%,,3.49%,2.48%
Shareholding Pattern (Yearly),DIIs,5.83%,,,,8.27%,,,,7.34%,,,,7.09%,,21.76%,6.98%
Shareholding Pattern (Yearly),Public,39.54%,,,,35.45%,,,,33.85%,,,,36.52%,,24.54%,39.43%
Shareholding Pattern (Yearly),No. of Shareholders,35146,,,,37830,,,,37237,,,,46207,,28981,27475
,,,,,,,,,,,,,,,,,
