Section,,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Jun 2024
Quarterly Results,Sales,36,40,36,37,39,35,37,37,35,36,40,41,34,,,,,,,,,
Quarterly Results,Expenses,23,17,14,17,27,16,27,24,30,63,17,19,30,,,,,,,,,
Quarterly Results,Operating Profit,14,23,22,20,12,19,10,13,5,-27,23,22,4,,,,,,,,,
Quarterly Results,OPM %,38%,57%,62%,55%,30%,54%,27%,34%,14%,-76%,59%,54%,11%,,,,,,,,,
Quarterly Results,Other Income,8,2,-0,-0,578,92,3,2,8,1,1,1,-2206,,,,,,,,,
Quarterly Results,Interest,59,100,64,66,-30,43,57,45,108,55,57,122,181,,,,,,,,,
Quarterly Results,Depreciation,18,28,18,18,18,20,20,20,24,20,21,27,34,,,,,,,,,
Quarterly Results,Profit before tax,-55,-103,-60,-64,602,47,-64,-51,-120,-102,-53,-125,-2417,,,,,,,,,
Quarterly Results,Tax %,-0%,0%,-0%,0%,-0%,0%,1%,0%,0%,0%,1%,0%,-0%,,,,,,,,,
Quarterly Results,Net Profit,-55,-103,-60,-64,602,47,-65,-51,-120,-102,-54,-125,-2417,,,,,,,,,
Quarterly Results,EPS in Rs,-2.08,-3.94,-2.28,-2.45,22.94,1.81,-2.47,-1.93,-4.54,-3.86,-2.04,-4.73,-91.74,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,143,,,,150,,,,143,,,,154,1140,517,324,309,269,259,289,294,
Profit & Loss,Expenses,58,,,,71,,,,110,,,,129,963,698,295,254,232,221,263,202,
Profit & Loss,Operating Profit,85,,,,79,,,,33,,,,25,177,-182,29,55,37,38,26,93,
Profit & Loss,OPM %,59%,,,,53%,,,,23%,,,,16%,15%,-35%,9%,18%,14%,15%,9%,32%,
Profit & Loss,Other Income,15,,,,579,,,,102,,,,-2203,1,-194,-4,-220,-17,411,76,-65,
Profit & Loss,Interest,232,,,,162,,,,212,,,,528,251,366,404,343,295,316,276,336,
Profit & Loss,Depreciation,73,,,,72,,,,79,,,,113,60,84,101,92,108,102,94,143,
Profit & Loss,Profit before tax,-205,,,,424,,,,-156,,,,-2818,-133,-825,-480,-601,-383,31,-268,-451,
Profit & Loss,Tax %,0%,,,,0%,,,,0%,,,,0%,-4%,3%,-1%,1%,0%,1%,0%,2%,
Profit & Loss,Net Profit,-205,,,,424,,,,-157,,,,-2819,-127,-846,-474,-604,-383,31,-268,-462,
Profit & Loss,EPS in Rs,-7.83,,,,16.16,,,,-5.95,,,,-106.98,-20.54,-126.11,-37.21,-38.65,-24.50,1.36,-10.98,-17.91,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,52,,,,52,,,,53,,,,53,12,13,25,31,31,46,49,52,
Balance Sheet,Reserves,-168,,,,260,,,,105,,,,-3217,858,556,197,-375,290,194,486,71,
Balance Sheet,Borrowings,1265,,,,1083,,,,1049,,,,1848,2646,3006,2545,2493,2259,2383,1828,2037,
Balance Sheet,Other Liabilities,793,,,,509,,,,603,,,,3889,566,362,997,1282,720,534,695,947,
Balance Sheet,Total Liabilities,1943,,,,1904,,,,1809,,,,2573,4083,3938,3765,3431,3300,3156,3058,3106,
Balance Sheet,Fixed Assets,1439,,,,1484,,,,1308,,,,2093,2448,3167,3061,3272,3190,2874,2623,2635,
Balance Sheet,CWIP,2,,,,2,,,,2,,,,2,736,562,560,0,0,0,2,1,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,
Balance Sheet,Other Assets,502,,,,417,,,,499,,,,478,899,208,144,160,110,282,433,470,
Balance Sheet,Total Assets,1943,,,,1904,,,,1809,,,,2573,4083,3938,3765,3431,3300,3156,3058,3106,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,59,,,,70,,,,100,,,,95,55,-77,38,49,36,-140,14,81,
Cash Flows,Cash from Investing Activity,-27,,,,154,,,,-29,,,,-1,-417,6,0,-1,-5,367,-19,-35,
Cash Flows,Cash from Financing Activity,-37,,,,-227,,,,-70,,,,-96,308,73,-42,-40,-34,-218,2,-47,
