Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,201,221,228,242,243,263,273,291,287,323,322,327,,,
Quarterly Results,Expenses,151,166,183,191,190,202,211,228,223,248,246,248,,,
Quarterly Results,Operating Profit,49,55,45,52,53,61,62,63,64,75,76,78,,,
Quarterly Results,OPM %,25%,25%,20%,21%,22%,23%,23%,22%,22%,23%,24%,24%,,,
Quarterly Results,Other Income,2,3,2,1,4,3,8,10,8,9,7,7,,,
Quarterly Results,Interest,10,10,11,11,12,12,1,1,1,1,3,6,,,
Quarterly Results,Depreciation,9,10,10,10,11,11,11,10,11,14,14,18,,,
Quarterly Results,Profit before tax,32,38,27,32,34,41,58,62,60,69,67,62,,,
Quarterly Results,Tax %,5%,29%,101%,51%,-60%,19%,25%,27%,26%,25%,21%,28%,,,
Quarterly Results,Net Profit,30,27,-0,16,54,34,44,45,45,52,53,45,,,
Quarterly Results,EPS in Rs,5.99,5.32,-0.07,2.79,9.55,5.14,6.66,6.87,6.80,7.86,7.99,6.84,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,893,,,,1073,,,,1262,463,486,733
Profit & Loss,Expenses,,,,691,,,,831,,,,965,379,419,580
Profit & Loss,Operating Profit,,,,201,,,,242,,,,297,84,67,153
Profit & Loss,OPM %,,,,23%,,,,23%,,,,24%,18%,14%,21%
Profit & Loss,Other Income,,,,8,,,,22,,,,29,0,4,4
Profit & Loss,Interest,,,,42,,,,26,,,,11,26,39,44
Profit & Loss,Depreciation,,,,39,,,,42,,,,57,26,31,36
Profit & Loss,Profit before tax,,,,129,,,,195,,,,258,33,2,77
Profit & Loss,Tax %,,,,43%,,,,10%,,,,25%,10%,248%,34%
Profit & Loss,Net Profit,,,,73,,,,177,,,,194,30,-2,51
Profit & Loss,EPS in Rs,,,,12.90,,,,26.94,,,,29.51,5.83,-0.45,10.05
Profit & Loss,Dividend Payout %,,,,0%,,,,4%,,,,3%,0%,0%,0%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,57,,,,66,,,,66,51,51,51
Balance Sheet,Reserves,,,,309,,,,1103,,,,1291,186,188,243
Balance Sheet,Borrowings,,,,469,,,,0,,,,393,272,426,495
Balance Sheet,Other Liabilities,,,,151,,,,112,,,,155,94,124,120
Balance Sheet,Total Liabilities,,,,986,,,,1281,,,,1905,603,789,909
Balance Sheet,Fixed Assets,,,,720,,,,718,,,,977,435,630,684
Balance Sheet,CWIP,,,,29,,,,74,,,,185,10,26,27
Balance Sheet,Investments,,,,2,,,,17,,,,114,2,7,3
Balance Sheet,Other Assets,,,,235,,,,473,,,,628,156,126,195
Balance Sheet,Total Assets,,,,986,,,,1281,,,,1905,603,789,909
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,117,,,,115,,,,253,74,123,137
Cash Flows,Cash from Investing Activity,,,,-104,,,,-246,,,,-209,-43,-295,-84
Cash Flows,Cash from Financing Activity,,,,18,,,,128,,,,301,-32,184,32
Cash Flows,Net Cash Flow,,,,31,,,,-3,,,,345,-1,12,85
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,19,,,,19,,,,12,35,16,14
Ratios,Inventory Days,,,,44,,,,41,,,,38,64,48,39
Ratios,Days Payable,,,,164,,,,120,,,,163,268,217,157
Ratios,Cash Conversion Cycle,,,,-101,,,,-59,,,,-113,-169,-152,-104
Ratios,Working Capital Days,,,,-17,,,,-5,,,,-17,39,-4,-9
Ratios,ROCE %,,,,21%,,,,22%,,,,18%,,7%,17%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,40.91%,40.91%,40.91%,40.91%,40.91%,40.91%,40.91%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,4.62%,3.96%,4.17%,6.06%,8.84%,10.04%,10.04%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,12.69%,13.92%,14.16%,13.85%,13.46%,15.75%,15.64%,,,
Shareholding Pattern (Quarterly),Public,,,,,,41.80%,41.19%,40.76%,39.18%,36.79%,33.31%,33.43%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,54782,39348,35107,35797,34081,33914,33956,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,40.91%,,,,40.91%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,4.17%,,,,10.04%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,14.16%,,,,15.64%,,,
Shareholding Pattern (Yearly),Public,,,,,,,,40.76%,,,,33.43%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,35107,,,,33956,,,
,,,,,,,,,,,,,,,,
