Section,,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,,,
Quarterly Results,Expenses,,,,,,,
Quarterly Results,Operating Profit,,,,,,,
Quarterly Results,OPM %,,,,,,,
Quarterly Results,Other Income,,,,,,,
Quarterly Results,Interest,,,,,,,
Quarterly Results,Depreciation,,,,,,,
Quarterly Results,Profit before tax,,,,,,,
Quarterly Results,Tax %,,,,,,,
Quarterly Results,Net Profit,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,
Quarterly Results,Raw PDF,,,,,,,
,,,,,,,,
Profit & Loss,Sales,,,,,,,
Profit & Loss,Expenses,,,,,,,
Profit & Loss,Operating Profit,,,,,,,
Profit & Loss,OPM %,,,,,,,
Profit & Loss,Other Income,,,,,,,
Profit & Loss,Interest,,,,,,,
Profit & Loss,Depreciation,,,,,,,
Profit & Loss,Profit before tax,,,,,,,
Profit & Loss,Tax %,,,,,,,
Profit & Loss,Net Profit,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,
,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,
Balance Sheet,Reserves,,,,,,,
Balance Sheet,Borrowings,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,
Balance Sheet,CWIP,,,,,,,
Balance Sheet,Investments,,,,,,,
Balance Sheet,Other Assets,,,,,,,
Balance Sheet,Total Assets,,,,,,,
,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,
,,,,,,,,
Ratios,Debtor Days,,,,,,,
Ratios,Inventory Days,,,,,,,
Ratios,Days Payable,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,
Ratios,Working Capital Days,,,,,,,
Ratios,ROCE %,,,,,,,
,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,75.45%,75.45%,75.04%,75.04%,71.39%,71.39%,71.03%
Shareholding Pattern (Quarterly),FIIs,10.33%,9.69%,10.21%,10.22%,12.13%,11.10%,10.67%
Shareholding Pattern (Quarterly),DIIs,7.46%,8.05%,6.93%,4.32%,5.59%,5.23%,5.34%
Shareholding Pattern (Quarterly),Public,6.77%,6.82%,7.84%,10.41%,10.89%,12.28%,12.97%
Shareholding Pattern (Quarterly),No. of Shareholders,75145,73803,80839,99819,117870,143302,167314
,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,75.04%,,,,71.03%
Shareholding Pattern (Yearly),FIIs,,,10.21%,,,,10.67%
Shareholding Pattern (Yearly),DIIs,,,6.93%,,,,5.34%
Shareholding Pattern (Yearly),Public,,,7.84%,,,,12.97%
Shareholding Pattern (Yearly),No. of Shareholders,,,80839,,,,167314
,,,,,,,,
