Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,May 2025
Quarterly Results,Sales,16.33,13.32,25.80,27.45,26.39,18.81,24.97,26.28,23.22,17.80,20.19,22.11,28.80,,,,,,,,,
Quarterly Results,Expenses,17.64,13.24,24.76,26.49,26.60,18.68,24.81,26.22,23.73,17.33,23.42,22.22,28.58,,,,,,,,,
Quarterly Results,Operating Profit,-1.31,0.08,1.04,0.96,-0.21,0.13,0.16,0.06,-0.51,0.47,-3.23,-0.11,0.22,,,,,,,,,
Quarterly Results,OPM %,-8.02%,0.60%,4.03%,3.50%,-0.80%,0.69%,0.64%,0.23%,-2.20%,2.64%,-16.00%,-0.50%,0.76%,,,,,,,,,
Quarterly Results,Other Income,0.36,0.23,0.26,0.34,0.29,0.23,0.25,0.27,0.50,0.31,16.11,0.93,1.70,,,,,,,,,
Quarterly Results,Interest,0.06,0.07,0.09,0.12,0.26,0.21,0.23,0.33,0.25,0.31,0.39,0.23,0.15,,,,,,,,,
Quarterly Results,Depreciation,0.11,0.11,0.13,0.14,0.45,0.34,0.34,0.34,0.68,0.60,0.60,0.66,0.50,,,,,,,,,
Quarterly Results,Profit before tax,-1.12,0.13,1.08,1.04,-0.63,-0.19,-0.16,-0.34,-0.94,-0.13,11.89,-0.07,1.27,,,,,,,,,
Quarterly Results,Tax %,-28.57%,23.08%,50.00%,50.00%,14.29%,68.42%,25.00%,170.59%,-21.28%,161.54%,16.48%,528.57%,42.52%,,,,,,,,,
Quarterly Results,Net Profit,-0.80,0.11,0.55,0.51,-0.72,-0.32,-0.20,-0.92,-0.74,-0.33,9.93,-0.43,0.73,,,,,,,,,
Quarterly Results,EPS in Rs,-0.23,0.03,0.16,0.15,-0.21,-0.09,-0.06,-0.27,-0.21,-0.10,2.87,-0.12,0.21,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,60.92,,,,92.96,,,,93.28,,,,88.90,73.65,69.72,51.98,37.17,35.61,41.55,42.76,50.01,
Profit & Loss,Expenses,62.27,,,,91.10,,,,93.45,,,,91.55,67.01,64.25,52.36,38.44,35.02,40.98,42.08,49.95,
Profit & Loss,Operating Profit,-1.35,,,,1.86,,,,-0.17,,,,-2.65,6.64,5.47,-0.38,-1.27,0.59,0.57,0.68,0.06,
Profit & Loss,OPM %,-2.22%,,,,2.00%,,,,-0.18%,,,,-2.98%,9.02%,7.85%,-0.73%,-3.42%,1.66%,1.37%,1.59%,0.12%,
Profit & Loss,Other Income,2.74,,,,1.14,,,,1.25,,,,19.05,1.79,0.97,0.25,0.37,0.28,0.25,0.05,0.40,
Profit & Loss,Interest,0.15,,,,0.55,,,,1.02,,,,1.07,0.50,0.11,0.25,0.08,0.32,0.31,0.33,0.24,
