Section,,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,632,608,636,673,673,676,687,720,756,,,,
Quarterly Results,Expenses,535,511,515,524,534,548,561,589,608,,,,
Quarterly Results,Operating Profit,97,97,121,149,139,129,126,132,148,,,,
Quarterly Results,OPM %,15%,16%,19%,22%,21%,19%,18%,18%,20%,,,,
Quarterly Results,Other Income,13,28,12,13,26,22,21,38,26,,,,
Quarterly Results,Interest,12,13,12,12,12,12,4,3,3,,,,
Quarterly Results,Depreciation,20,20,20,18,18,20,19,20,21,,,,
Quarterly Results,Profit before tax,79,92,101,132,134,120,124,146,149,,,,
Quarterly Results,Tax %,38%,26%,25%,25%,29%,27%,26%,25%,21%,,,,
Quarterly Results,Net Profit,49,68,75,99,95,88,92,110,118,,,,
Quarterly Results,EPS in Rs,2.20,3.08,3.38,4.45,4.26,3.67,3.83,4.58,4.90,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,2306,,,,2590,,,,2839,553,643,966,1665
Profit & Loss,Expenses,1910,,,,2084,,,,2292,511,499,736,1378
Profit & Loss,Operating Profit,396,,,,505,,,,548,42,144,230,287
Profit & Loss,OPM %,17%,,,,20%,,,,19%,8%,22%,24%,17%
Profit & Loss,Other Income,58,,,,79,,,,94,7,-102,-3,-21
Profit & Loss,Interest,31,,,,49,,,,22,6,9,7,6
Profit & Loss,Depreciation,60,,,,76,,,,80,17,19,26,33
Profit & Loss,Profit before tax,363,,,,459,,,,539,26,14,195,226
Profit & Loss,Tax %,27%,,,,27%,,,,25%,45%,191%,23%,28%
Profit & Loss,Net Profit,266,,,,337,,,,407,14,-12,149,163
Profit & Loss,EPS in Rs,11.99,,,,15.14,,,,16.95,89.98,-40.20,951.96,937.73
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,12%,0%,0%,0%,0%
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,44,,,,44,,,,48,0.31,0.31,0.31,0.35
Balance Sheet,Reserves,1019,,,,1385,,,,2568,73,-105,324,764
Balance Sheet,Borrowings,503,,,,490,,,,102,147,483,51,66
Balance Sheet,Other Liabilities,638,,,,627,,,,609,108,222,220,524
Balance Sheet,Total Liabilities,2204,,,,2546,,,,3326,329,600,596,1353
Balance Sheet,Fixed Assets,664,,,,646,,,,678,104,119,86,138
Balance Sheet,CWIP,0,,,,0,,,,4,0,0,0,0
Balance Sheet,Investments,614,,,,796,,,,1290,0,13,0,120
Balance Sheet,Other Assets,926,,,,1103,,,,1355,225,468,510,1096
Balance Sheet,Total Assets,2204,,,,2546,,,,3326,329,600,596,1353
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,130,,,,508,,,,442,65,22,172,297
Cash Flows,Cash from Investing Activity,-896,,,,-326,,,,-677,-18,-16,-81,-158
Cash Flows,Cash from Financing Activity,333,,,,-66,,,,288,-21,136,-132,233
Cash Flows,Net Cash Flow,-433,,,,115,,,,52,25,143,-40,373
,,,,,,,,,,,,,,
Ratios,Debtor Days,102,,,,91,,,,97,60,127,108,97
Ratios,Inventory Days,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,102,,,,91,,,,97,60,127,108,97
Ratios,Working Capital Days,45,,,,40,,,,42,23,64,53,16
Ratios,ROCE %,33%,,,,29%,,,,25%,,37%,55%,46%
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,3.79%,4.82%,5.03%,5.24%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,3.84%,3.17%,3.99%,4.96%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,92.38%,92.01%,91.01%,89.80%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,203599,151440,153789,144708,,,,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,,5.24%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,,4.96%,,,,
Shareholding Pattern (Yearly),Public,,,,,,,,,89.80%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,144708,,,,
,,,,,,,,,,,,,,
