Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 20149m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2014,Jun 2025
Quarterly Results,Sales,92,59,55,122,142,143,129,141,148,176,171,133,118,,,,,,,,,,
Quarterly Results,Expenses,93,71,136,109,129,131,121,143,141,152,163,130,102,,,,,,,,,,
Quarterly Results,Operating Profit,-1,-12,-81,14,13,13,8,-2,7,24,8,3,15,,,,,,,,,,
Quarterly Results,OPM %,-1%,-20%,-148%,11%,9%,9%,7%,-1%,5%,14%,4%,3%,13%,,,,,,,,,,
Quarterly Results,Other Income,-62,9,137,4,8,3,10,20,14,2,11,13,8,,,,,,,,,,
Quarterly Results,Interest,29,27,12,12,9,9,11,11,13,13,10,9,12,,,,,,,,,,
Quarterly Results,Depreciation,2,1,1,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Quarterly Results,Profit before tax,-93,-31,42,4,10,5,6,6,7,13,7,6,10,,,,,,,,,,
Quarterly Results,Tax %,46%,0%,0%,0%,300%,0%,0%,0%,0%,36%,67%,20%,0%,,,,,,,,,,
Quarterly Results,Net Profit,-135,-31,42,4,-20,5,6,6,7,8,2,4,10,,,,,,,,,,
Quarterly Results,EPS in Rs,-0.97,-0.17,0.22,0.02,-0.11,0.03,0.03,0.03,0.03,0.04,0.01,0.02,0.05,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,329,,,,379,,,,561,,,,598,495,548,548,744,829,1202,1208,583,,
Profit & Loss,Expenses,366,,,,435,,,,527,,,,547,753,615,519,736,813,1139,1149,641,,
Profit & Loss,Operating Profit,-36,,,,-56,,,,34,,,,51,-258,-67,28,8,16,63,59,-58,,
Profit & Loss,OPM %,-11%,,,,-15%,,,,6%,,,,8%,-52%,-12%,5%,1%,2%,5%,5%,-10%,,
Profit & Loss,Other Income,-53,,,,155,,,,46,,,,34,67,121,46,83,105,70,-15,12,,
Profit & Loss,Interest,125,,,,67,,,,52,,,,45,231,301,272,298,104,95,115,126,,
Profit & Loss,Depreciation,6,,,,6,,,,5,,,,5,4,6,7,6,6,6,6,6,,
Profit & Loss,Profit before tax,-221,,,,25,,,,23,,,,35,-426,-253,-204,-213,11,31,-77,-178,,
Profit & Loss,Tax %,19%,,,,119%,,,,0%,,,,29%,3%,0%,0%,-35%,118%,3%,0%,1%,,
Profit & Loss,Net Profit,-264,,,,-5,,,,23,,,,25,-506,-266,-204,-137,-2,31,-77,-179,,
Profit & Loss,EPS in Rs,-1.88,,,,-0.03,,,,0.12,,,,0.13,-79.11,-21.32,-4.28,-1.02,-0.01,0.22,-0.55,-1.28,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,972,,,,1322,,,,1410,,,,1564,,86,331,937,972,972,972,972,44,
Balance Sheet,Reserves,-234,,,,-235,,,,-200,,,,-58,,-365,125,204,258,288,212,32,-268,
Balance Sheet,Borrowings,981,,,,409,,,,455,,,,358,,2422,1967,841,800,657,684,836,2023,
Balance Sheet,Other Liabilities,505,,,,506,,,,544,,,,523,,484,528,883,1121,1055,735,577,587,
Balance Sheet,Total Liabilities,2223,,,,2002,,,,2209,,,,2387,,2627,2951,2865,3151,2971,2603,2416,2387,
Balance Sheet,Fixed Assets,41,,,,36,,,,31,,,,26,,41,55,61,56,55,51,45,43,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,,29,10,0,0,0,0,0,27,
Balance Sheet,Investments,1,,,,0,,,,1,,,,0,,5,5,1,1,1,1,1,17,
Balance Sheet,Other Assets,2182,,,,1965,,,,2178,,,,2361,,2552,2880,2803,3094,2915,2551,2370,2300,
Balance Sheet,Total Assets,2223,,,,2002,,,,2209,,,,2387,,2627,2951,2865,3151,2971,2603,2416,2387,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-72,,,,21,,,,-121,,,,-133,,-299,,12,28,302,-7,-50,-376,
Cash Flows,Cash from Investing Activity,1,,,,12,,,,-24,,,,4,,22,,-6,21,-38,40,21,167,
Cash Flows,Cash from Financing Activity,68,,,,-6,,,,130,,,,118,,306,,35,-81,-257,-52,25,218,
Cash Flows,Net Cash Flow,-3,,,,27,,,,-15,,,,-11,,29,,42,-32,7,-19,-4,8,
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,413,,,,281,,,,195,,,,225,,168,194,237,160,147,145,252,181,
Ratios,Inventory Days,,,,,,,,,,,,,0,,679,421,,,,,,195,
Ratios,Days Payable,,,,,,,,,,,,,,,1895,1894,,,,,,519,
Ratios,Cash Conversion Cycle,413,,,,281,,,,195,,,,225,,-1048,-1280,237,160,147,145,252,-142,
Ratios,Working Capital Days,1057,,,,757,,,,624,,,,681,,404,642,429,228,307,313,611,292,
Ratios,ROCE %,-2%,,,,-3%,,,,5%,,,,5%,,2%,6%,4%,6%,7%,5%,-2%,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,47.62%,47.62%,31.08%,26.66%,27.75%,27.75%,26.97%,37.65%,33.94%,33.37%,33.37%,,,,,,,,,,27.35%
Shareholding Pattern (Quarterly),FIIs,,,0.20%,0.16%,0.19%,0.21%,0.34%,0.42%,0.47%,0.65%,0.76%,0.64%,0.65%,,,,,,,,,,0.65%
Shareholding Pattern (Quarterly),DIIs,,,40.79%,40.79%,40.79%,39.30%,37.53%,26.58%,25.16%,24.93%,19.00%,19.15%,19.14%,,,,,,,,,,15.75%
Shareholding Pattern (Quarterly),Public,,,11.38%,11.42%,27.94%,33.82%,34.38%,45.24%,47.41%,36.78%,46.30%,46.84%,46.85%,,,,,,,,,,56.25%
Shareholding Pattern (Quarterly),No. of Shareholders,,,51592,50912,50285,54828,82043,128326,162331,174456,268268,280710,287871,,,,,,,,,,302683
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,28.76%,,,,31.08%,,,,26.97%,,,,33.37%,,,,29.82%,28.76%,28.76%,28.76%,28.76%,,27.35%
Shareholding Pattern (Yearly),FIIs,0.20%,,,,0.19%,,,,0.47%,,,,0.65%,,,,0.12%,0.13%,0.05%,0.00%,0.00%,,0.65%
Shareholding Pattern (Yearly),DIIs,55.53%,,,,40.79%,,,,25.16%,,,,19.14%,,,,67.45%,67.29%,66.96%,66.55%,64.30%,,15.75%
Shareholding Pattern (Yearly),Public,15.51%,,,,27.94%,,,,47.41%,,,,46.85%,,,,2.61%,3.83%,4.23%,4.69%,6.94%,,56.25%
Shareholding Pattern (Yearly),No. of Shareholders,57903,,,,50285,,,,162331,,,,287871,,,,17037,20111,20452,20290,25118,,302683
,,,,,,,,,,,,,,,,,,,,,,,,
