Section,,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,34.99,18.32,14.16,32.12,38.04,18.52,14.65,25.78,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,30.01,15.59,11.88,27.37,33.45,16.34,15.46,25.13,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,4.98,2.73,2.28,4.75,4.59,2.18,-0.81,0.65,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,14.23%,14.90%,16.10%,14.79%,12.07%,11.77%,-5.53%,2.52%,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.77,0.66,0.66,0.00,0.67,-0.41,3.89,0.56,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,1.90,1.78,1.96,1.76,3.69,1.73,2.24,2.24,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.60,0.69,0.99,1.30,0.83,0.88,0.85,1.55,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,3.25,0.92,-0.01,1.69,0.74,-0.84,-0.01,-2.58,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,3.26,0.92,-0.01,1.69,0.74,-0.85,-0.02,-2.58,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.12,0.03,-0.00,0.06,0.03,-0.03,-0.00,-0.09,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,99.59,,,,96.99,150.17,194.34,179.94,189.06,156.37,84.92,98.52,99.24,108.64,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,84.80,,,,90.40,131.34,173.30,158.15,164.71,138.83,83.79,85.89,81.82,96.39,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,14.79,,,,6.59,18.83,21.04,21.79,24.35,17.54,1.13,12.63,17.42,12.25,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,14.85%,,,,6.79%,12.54%,10.83%,12.11%,12.88%,11.22%,1.33%,12.82%,17.55%,11.28%,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,2.05,,,,4.71,1.45,2.03,2.27,3.74,1.33,-3.19,-6.50,-7.81,-15.85,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,7.40,,,,9.89,6.56,7.97,12.80,17.15,17.96,16.06,12.31,11.19,8.93,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,2.83,,,,4.11,3.21,4.78,5.27,6.83,6.91,5.29,3.99,3.06,2.69,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,6.61,,,,-2.70,10.51,10.32,5.99,4.11,-6.00,-23.41,-10.17,-4.64,-15.22,,,,,,,,,,,,,,
