Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022,Apr 2023
Quarterly Results,Sales,34,33,36,29,26,25,26,20,19,20,23,21,,
Quarterly Results,Expenses,11,15,18,17,13,9,10,10,14,8,8,17,,
Quarterly Results,Operating Profit,23,18,18,13,13,16,15,10,5,12,15,4,,
Quarterly Results,OPM %,67%,54%,49%,43%,51%,63%,60%,48%,27%,61%,65%,19%,,
Quarterly Results,Other Income,9,14,3,-7,2,103,-2,209,10,6,3,40,,
Quarterly Results,Interest,5,12,9,12,3,2,1,1,1,1,1,0,,
Quarterly Results,Depreciation,5,6,6,4,4,4,4,4,4,4,4,4,,
Quarterly Results,Profit before tax,21,14,5,-11,8,112,8,214,10,13,13,39,,
Quarterly Results,Tax %,7%,0%,-48%,25%,22%,30%,16%,26%,51%,49%,33%,16%,,
Quarterly Results,Net Profit,19,14,8,-13,6,79,7,159,5,7,9,33,,
Quarterly Results,EPS in Rs,,,,,0.25,3.20,0.28,6.47,0.19,0.27,0.36,1.32,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,136,,,,97,,,,83,0,
Profit & Loss,Expenses,,,,61,,,,43,,,,46,0,
Profit & Loss,Operating Profit,,,,75,,,,54,,,,36,-0,
Profit & Loss,OPM %,,,,55%,,,,56%,,,,44%,,
Profit & Loss,Other Income,,,,15,,,,312,,,,58,0,
Profit & Loss,Interest,,,,38,,,,8,,,,3,0,
Profit & Loss,Depreciation,,,,22,,,,16,,,,17,0,
Profit & Loss,Profit before tax,,,,30,,,,341,,,,74,-0,
Profit & Loss,Tax %,,,,6%,,,,27%,,,,29%,0%,
Profit & Loss,Net Profit,,,,28,,,,250,,,,53,-0,
Profit & Loss,EPS in Rs,,,,,,,,10.19,,,,2.14,,
Profit & Loss,Dividend Payout %,,,,0%,,,,5%,,,,0%,0%,
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,0.00,,,,49,,,,49,0.00,
Balance Sheet,Reserves,,,,967,,,,1168,,,,1193,-0,
Balance Sheet,Borrowings,,,,108,,,,58,,,,0,0,
Balance Sheet,Other Liabilities,,,,359,,,,67,,,,83,0,
Balance Sheet,Total Liabilities,,,,1434,,,,1343,,,,1326,0,
Balance Sheet,Fixed Assets,,,,545,,,,786,,,,876,0,
Balance Sheet,CWIP,,,,0,,,,0,,,,0,0,
Balance Sheet,Investments,,,,7,,,,422,,,,121,0,
Balance Sheet,Other Assets,,,,882,,,,135,,,,329,0,
Balance Sheet,Total Assets,,,,1434,,,,1343,,,,1326,0,
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,118,,,,75,,,,85,0,
Cash Flows,Cash from Investing Activity,,,,-64,,,,-26,,,,28,0,
Cash Flows,Cash from Financing Activity,,,,-38,,,,-56,,,,-79,0,
Cash Flows,Net Cash Flow,,,,16,,,,-7,,,,35,0,
,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,54,,,,64,,,,7,,
Ratios,Inventory Days,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,54,,,,64,,,,7,,
Ratios,Working Capital Days,,,,1280,,,,177,,,,457,,
Ratios,ROCE %,,,,11%,,,,5%,,,,4%,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,69.91%,69.91%,69.79%,69.12%,69.12%,69.12%,70.23%,,69.91%
Shareholding Pattern (Quarterly),FIIs,,,,,,8.06%,7.68%,7.31%,7.24%,7.07%,6.62%,6.46%,,10.78%
Shareholding Pattern (Quarterly),DIIs,,,,,,2.00%,1.31%,1.26%,1.26%,1.26%,1.26%,1.26%,,2.22%
Shareholding Pattern (Quarterly),Public,,,,,,20.02%,21.09%,21.65%,22.38%,22.55%,22.99%,22.05%,,17.09%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,68322,66934,68769,67087,67015,68086,66607,,71654
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,69.79%,,,,70.23%,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,7.31%,,,,6.46%,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,1.26%,,,,1.26%,,
Shareholding Pattern (Yearly),Public,,,,,,,,21.65%,,,,22.05%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,68769,,,,66607,,
,,,,,,,,,,,,,,,
