Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Mar 2025
Quarterly Results,Sales,443.01,476.24,403.03,388.65,344.13,388.81,394.13,397.97,452.17,441.38,359.30,428.09,454.98,,,,,,,,,,,
Quarterly Results,Expenses,396.43,427.09,361.21,396.05,342.69,370.72,358.59,371.11,409.98,392.88,319.49,384.76,410.27,,,,,,,,,,,
Quarterly Results,Operating Profit,46.58,49.15,41.82,-7.40,1.44,18.09,35.54,26.86,42.19,48.50,39.81,43.33,44.71,,,,,,,,,,,
Quarterly Results,OPM %,10.51%,10.32%,10.38%,-1.90%,0.42%,4.65%,9.02%,6.75%,9.33%,10.99%,11.08%,10.12%,9.83%,,,,,,,,,,,
Quarterly Results,Other Income,0.53,0.52,0.36,10.71,13.24,17.92,0.47,10.61,0.48,1.47,0.55,0.69,0.57,,,,,,,,,,,
Quarterly Results,Interest,17.62,17.43,21.37,20.99,17.46,19.66,17.62,20.52,24.84,24.16,19.98,19.81,17.12,,,,,,,,,,,
Quarterly Results,Depreciation,14.28,14.26,14.70,14.79,14.78,14.85,15.33,15.31,15.37,14.70,15.46,15.55,15.61,,,,,,,,,,,
Quarterly Results,Profit before tax,15.21,17.98,6.11,-32.47,-17.56,1.50,3.06,1.64,2.46,11.11,4.92,8.66,12.55,,,,,,,,,,,
Quarterly Results,Tax %,36.09%,35.15%,36.17%,-30.80%,-47.10%,-144.67%,40.52%,38.41%,36.18%,94.69%,39.63%,35.45%,37.53%,,,,,,,,,,,
Quarterly Results,Net Profit,9.73,11.66,3.90,-22.47,-9.29,3.68,1.82,1.02,1.57,0.59,2.97,5.60,7.84,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.43,0.52,0.17,-1.00,-0.41,0.16,0.08,0.05,0.07,0.03,0.13,0.25,0.35,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,1665,,,,1520,,,,1682,,,,1622,1634,1638,1674,1635,1874,2779,2363,1541,1684,
Profit & Loss,Expenses,,1507,,,,1467,,,,1530,,,,1332,1345,1371,1436,1411,1638,2514,2143,1432,1507,
Profit & Loss,Operating Profit,,159,,,,53,,,,152,,,,290,289,267,239,224,236,264,220,109,176,
Profit & Loss,OPM %,,10%,,,,3%,,,,9%,,,,18%,18%,16%,14%,14%,13%,10%,9%,7%,10%,
Profit & Loss,Other Income,,11,,,,43,,,,15,,,,16,12,20,6,23,6,6,4,-22,3,
Profit & Loss,Interest,,79,,,,79,,,,87,,,,115,138,126,123,117,115,148,126,112,81,
Profit & Loss,Depreciation,,57,,,,59,,,,61,,,,76,84,77,57,62,64,63,61,60,61,
Profit & Loss,Profit before tax,,34,,,,-42,,,,18,,,,115,78,85,64,67,63,59,37,-85,37,
Profit & Loss,Tax %,,26%,,,,-43%,,,,73%,,,,25%,21%,22%,15%,18%,17%,19%,15%,-14%,,
Profit & Loss,Net Profit,,25,,,,-24,,,,5,,,,86,62,66,54,55,52,48,32,-73,17,
Profit & Loss,EPS in Rs,,1.12,,,,-1.08,,,,0.22,,,,3.82,2.77,2.95,2.42,2.47,2.33,2.12,1.42,-3.27,0.76,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,,,,3%,4%,3%,4%,2%,2%,2%,4%,0%,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,22,,,,22,,,,22,,22,,22,22,22,22,22,22,22,22,22,,
Balance Sheet,Reserves,,1065,,,,1042,,,,1047,,1055,,845,905,936,932,984,1036,1083,1114,1040,,
Balance Sheet,Borrowings,,860,,,,754,,,,636,,629,,879,858,925,962,878,955,903,779,903,,
Balance Sheet,Other Liabilities,,443,,,,371,,,,486,,476,,527,609,628,640,696,710,696,718,423,,
Balance Sheet,Total Liabilities,,2391,,,,2189,,,,2191,,2183,,2274,2394,2510,2556,2581,2724,2705,2633,2388,,
Balance Sheet,Fixed Assets,,723,,,,662,,,,643,,804,,914,948,934,906,881,852,825,785,772,,
Balance Sheet,CWIP,,85,,,,78,,,,66,,57,,139,122,91,99,102,100,100,115,99,,
Balance Sheet,Investments,,1,,,,1,,,,1,,1,,0,0,1,1,1,1,1,0,1,,
Balance Sheet,Other Assets,,1582,,,,1449,,,,1482,,1321,,1221,1324,1485,1551,1597,1771,1780,1733,1517,,
Balance Sheet,Total Assets,,2391,,,,2189,,,,2191,,2183,,2274,2394,2510,2556,2581,2724,2705,2633,2388,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,95,,,,134,,,,225,,,,361,255,144,169,199,65,239,285,21,,
Cash Flows,Cash from Investing Activity,,17,,,,52,,,,-17,,,,-99,-90,-60,-77,-18,-29,-26,-33,-29,,
Cash Flows,Cash from Financing Activity,,-119,,,,-186,,,,-205,,,,-282,-161,-61,-89,-204,-40,-201,-252,11,,
Cash Flows,Net Cash Flow,,-8,,,,-0,,,,2,,,,-20,4,23,3,-23,-4,12,-0,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,98,,,,67,,,,82,,,,79,84,99,107,112,119,73,61,89,,
Ratios,Inventory Days,,197,,,,212,,,,215,,,,216,240,253,260,270,226,151,192,185,,
Ratios,Days Payable,,112,,,,100,,,,127,,,,122,139,146,154,167,142,80,104,108,,
