Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Sep 2013,Sep 2014,Sep 2015,Mar 20166m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Mar 2016,Mar 2025
Quarterly Results,Sales,141,178,194,161,166,232,263,218,246,242,197,221,210,,,,,,,,,,,,
Quarterly Results,Expenses,39,91,54,49,48,110,135,69,97,88,46,54,57,,,,,,,,,,,,
Quarterly Results,Operating Profit,102,88,141,111,118,122,129,149,149,154,152,167,153,,,,,,,,,,,,
Quarterly Results,OPM %,72%,49%,72%,69%,71%,53%,49%,68%,61%,64%,77%,76%,73%,,,,,,,,,,,,
Quarterly Results,Other Income,3,9,1,5,12,5,4,5,5,5,5,6,7,,,,,,,,,,,,
Quarterly Results,Interest,42,40,43,44,45,51,38,36,35,32,32,30,28,,,,,,,,,,,,
Quarterly Results,Depreciation,14,13,14,14,15,15,15,16,17,18,18,18,18,,,,,,,,,,,,
Quarterly Results,Profit before tax,49,43,85,58,71,61,80,102,101,109,108,126,114,,,,,,,,,,,,
Quarterly Results,Tax %,6%,11%,4%,4%,6%,13%,24%,15%,25%,27%,26%,28%,26%,,,,,,,,,,,,
Quarterly Results,Net Profit,46,38,81,55,67,53,61,87,76,80,79,91,84,,,,,,,,,,,,
Quarterly Results,EPS in Rs,6.00,5.67,9.94,7.14,8.49,7.43,8.02,11.26,9.90,9.90,9.81,10.38,9.20,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,513,,,,759,,,,969,,,,197,238,519,301,336,401,448,535,370,871,,
Profit & Loss,Expenses,,193,,,,261,,,,389,,,,89,92,145,93,85,99,117,238,142,245,,
Profit & Loss,Operating Profit,,320,,,,498,,,,581,,,,109,146,373,209,251,301,331,297,229,626,,
Profit & Loss,OPM %,,62%,,,,66%,,,,60%,,,,55%,61%,72%,69%,75%,75%,74%,55%,62%,72%,,
Profit & Loss,Other Income,,21,,,,17,,,,19,,,,10,8,6,15,8,11,6,4,23,23,,
Profit & Loss,Interest,,183,,,,183,,,,142,,,,203,240,231,194,222,208,205,214,215,122,,
Profit & Loss,Depreciation,,55,,,,58,,,,66,,,,21,24,28,23,60,63,52,53,57,71,,
Profit & Loss,Profit before tax,,103,,,,274,,,,392,,,,-105,-110,120,6,-23,41,80,34,-20,456,,
Profit & Loss,Tax %,,10%,,,,6%,,,,23%,,,,4%,1%,-0%,48%,25%,13%,9%,19%,10%,,,
Profit & Loss,Net Profit,,93,,,,257,,,,304,,,,-109,-111,121,3,-29,36,72,27,-22,334,,
Profit & Loss,EPS in Rs,,13.48,,,,33.00,,,,39.09,,,,-12.84,-13.81,16.31,0.81,0.88,6.38,10.19,5.23,-0.66,39.29,,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,19,,,,19,,,,19,,19,,19,19,19,,19,19,19,19,19,,19,
Balance Sheet,Reserves,,-190,,,,-111,,,,37,,113,,-247,-299,-247,,-334,-311,-283,-240,-242,,-247,
Balance Sheet,Borrowings,,1631,,,,1482,,,,1298,,1116,,1925,1935,1855,,1723,1643,1756,1709,1715,,1865,
Balance Sheet,Other Liabilities,,690,,,,841,,,,1070,,1193,,560,595,610,,466,491,509,683,656,,602,
Balance Sheet,Total Liabilities,,2150,,,,2232,,,,2423,,2440,,2256,2250,2237,,1874,1842,2000,2171,2147,,2240,
Balance Sheet,Fixed Assets,,1124,,,,1098,,,,1354,,1351,,1247,1324,1299,,1217,1155,1108,1162,1108,,1287,
Balance Sheet,CWIP,,53,,,,133,,,,54,,36,,210,159,165,,55,46,44,44,44,,161,
Balance Sheet,Investments,,161,,,,55,,,,62,,74,,37,32,2,,23,9,143,198,226,,29,
Balance Sheet,Other Assets,,813,,,,946,,,,953,,980,,762,736,771,,579,632,705,767,769,,764,
Balance Sheet,Total Assets,,2150,,,,2232,,,,2423,,2440,,2256,2250,2237,,1874,1842,2000,2171,2147,,2240,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,326,,,,436,,,,583,,,,-68,170,331,,254,281,405,311,202,,223,
Cash Flows,Cash from Investing Activity,,-60,,,,-40,,,,-245,,,,-82,-17,25,,12,-24,-158,-83,-7,,-30,
Cash Flows,Cash from Financing Activity,,-283,,,,-354,,,,-338,,,,120,-182,-352,,-259,-265,-249,-222,-197,,-191,
Cash Flows,Net Cash Flow,,-17,,,,41,,,,1,,,,-30,-28,4,,7,-8,-2,5,-2,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,1,,,,1,,,,1,,,,8,1,2,,10,2,2,0,0,,1,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,,,,
