Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jan 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,38.52%,38.42%,38.42%,38.41%,38.30%,38.30%,38.30%,38.30%,38.30%,38.30%,38.30%,38.30%,,,,,
Shareholding Pattern (Quarterly),FIIs,6.16%,6.12%,6.13%,5.75%,5.50%,5.69%,5.94%,6.52%,6.56%,6.99%,7.09%,6.92%,,,,,
Shareholding Pattern (Quarterly),DIIs,29.08%,27.02%,26.66%,27.60%,27.87%,29.98%,29.23%,27.19%,27.73%,27.89%,27.86%,27.95%,,,,,
Shareholding Pattern (Quarterly),Government,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.05%,0.07%,0.07%,,,,,
Shareholding Pattern (Quarterly),Public,26.24%,28.43%,28.79%,28.23%,28.32%,26.04%,26.54%,27.97%,27.36%,26.76%,26.67%,26.76%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,77762,88895,83287,80016,83455,87598,94675,102708,91121,88899,86068,84772,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,38.41%,,,,38.30%,,,,38.30%,38.65%,38.52%,38.52%,38.52%,38.52%
Shareholding Pattern (Yearly),FIIs,,,,5.75%,,,,6.52%,,,,6.92%,0.00%,4.18%,5.13%,9.23%,8.26%
Shareholding Pattern (Yearly),DIIs,,,,27.60%,,,,27.19%,,,,27.95%,20.11%,19.05%,19.85%,22.57%,26.30%
Shareholding Pattern (Yearly),Government,,,,0.00%,,,,0.00%,,,,0.07%,0.38%,0.26%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,28.23%,,,,27.97%,,,,26.76%,40.86%,37.99%,36.50%,29.68%,26.92%
Shareholding Pattern (Yearly),No. of Shareholders,,,,80016,,,,102708,,,,84772,30518,30497,30302,46207,80208
,,,,,,,,,,,,,,,,,,
