Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,362,421,276,260,275,424,300,258,296,437,341,335,,
Quarterly Results,Expenses,316,355,252,240,279,380,275,246,256,378,329,349,,
Quarterly Results,Operating Profit,46,66,24,20,-4,44,24,12,40,60,13,-14,,
Quarterly Results,OPM %,13%,16%,9%,8%,-1%,10%,8%,5%,14%,14%,4%,-4%,,
Quarterly Results,Other Income,4,4,1,3,6,2,2,5,1,3,0,3,,
Quarterly Results,Interest,1,2,2,3,2,2,3,5,5,6,6,14,,
Quarterly Results,Depreciation,5,6,6,6,6,6,6,8,13,14,14,16,,
Quarterly Results,Profit before tax,44,63,16,15,-6,38,17,4,24,43,-7,-41,,
Quarterly Results,Tax %,24%,25%,23%,24%,-9%,29%,18%,120%,30%,12%,41%,1%,,
Quarterly Results,Net Profit,33,47,13,11,-6,27,14,-1,17,38,-10,-42,,
Quarterly Results,EPS in Rs,8.35,11.78,3.16,2.79,-1.40,6.73,3.48,-0.08,4.19,9.49,-2.55,-10.37,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,1319,,,,1257,,,,1410,,
Profit & Loss,Expenses,,,,1163,,,,1180,,,,1312,,
Profit & Loss,Operating Profit,,,,156,,,,77,,,,98,,
Profit & Loss,OPM %,,,,12%,,,,6%,,,,7%,,
Profit & Loss,Other Income,,,,12,,,,14,,,,8,,
Profit & Loss,Interest,,,,8,,,,12,,,,31,,
Profit & Loss,Depreciation,,,,23,,,,26,,,,57,,
Profit & Loss,Profit before tax,,,,138,,,,52,,,,18,,
Profit & Loss,Tax %,,,,24%,,,,34%,,,,88%,,
Profit & Loss,Net Profit,,,,104,,,,34,,,,2,,
Profit & Loss,EPS in Rs,,,,26.08,,,,8.72,,,,0.77,,
Profit & Loss,Dividend Payout %,,,,5%,,,,14%,,,,131%,,
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,40,,,,40,,,,40,,
Balance Sheet,Reserves,,,,770,,,,803,,,,801,,
Balance Sheet,Borrowings,,,,93,,,,165,,,,349,,
Balance Sheet,Other Liabilities,,,,259,,,,469,,,,623,,
Balance Sheet,Total Liabilities,,,,1162,,,,1477,,,,1813,,
Balance Sheet,Fixed Assets,,,,209,,,,445,,,,662,,
Balance Sheet,CWIP,,,,72,,,,137,,,,70,,
Balance Sheet,Investments,,,,1,,,,2,,,,3,,
Balance Sheet,Other Assets,,,,881,,,,893,,,,1078,,
Balance Sheet,Total Assets,,,,1162,,,,1477,,,,1813,,
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,0,,,,107,,,,101,,
Cash Flows,Cash from Investing Activity,,,,0,,,,-241,,,,-239,,
Cash Flows,Cash from Financing Activity,,,,0,,,,62,,,,152,,
Cash Flows,Net Cash Flow,,,,0,,,,-72,,,,14,,
,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,107,,,,136,,,,144,,
Ratios,Inventory Days,,,,126,,,,116,,,,130,,
Ratios,Days Payable,,,,78,,,,122,,,,188,,
Ratios,Cash Conversion Cycle,,,,154,,,,129,,,,86,,
Ratios,Working Capital Days,,,,131,,,,103,,,,96,,
Ratios,ROCE %,,,,,,,,7%,,,,4%,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,74.83%,74.87%,74.87%,74.90%,74.94%,74.95%,74.95%,74.95%,74.95%,74.95%,74.95%,74.95%,,
Shareholding Pattern (Quarterly),FIIs,2.27%,2.04%,1.37%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.40%,0.42%,0.10%,,
Shareholding Pattern (Quarterly),DIIs,1.68%,1.45%,1.19%,1.21%,0.85%,0.29%,0.23%,0.23%,0.00%,0.00%,0.21%,0.21%,,
Shareholding Pattern (Quarterly),Public,21.22%,21.63%,22.56%,23.89%,24.21%,24.76%,24.82%,24.83%,25.06%,24.67%,24.44%,24.75%,,
Shareholding Pattern (Quarterly),No. of Shareholders,94396,93166,93337,94596,93082,89895,88221,84822,81439,76492,74579,73649,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,74.90%,,,,74.95%,,,,74.95%,74.15%,74.77%
Shareholding Pattern (Yearly),FIIs,,,,0.00%,,,,0.00%,,,,0.10%,3.85%,2.62%
Shareholding Pattern (Yearly),DIIs,,,,1.21%,,,,0.23%,,,,0.21%,4.80%,1.57%
Shareholding Pattern (Yearly),Public,,,,23.89%,,,,24.83%,,,,24.75%,17.19%,21.03%
Shareholding Pattern (Yearly),No. of Shareholders,,,,94596,,,,84822,,,,73649,110826,92029
,,,,,,,,,,,,,,,
