Section,,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,97,96,110,107,119,101,103,110,113,,,
Quarterly Results,Expenses,84,80,89,87,92,81,84,89,90,,,
Quarterly Results,Operating Profit,13,16,21,21,27,20,18,20,23,,,
Quarterly Results,OPM %,13%,17%,19%,19%,23%,20%,18%,19%,20%,,,
Quarterly Results,Other Income,6,2,4,3,2,2,6,6,4,,,
Quarterly Results,Interest,4,4,5,5,5,5,5,4,4,,,
Quarterly Results,Depreciation,6,9,9,10,10,11,11,11,12,,,
Quarterly Results,Profit before tax,8,5,12,8,14,6,9,11,11,,,
Quarterly Results,Tax %,36%,26%,24%,24%,27%,34%,35%,19%,0%,,,
Quarterly Results,Net Profit,5,4,9,6,10,4,6,9,11,,,
Quarterly Results,EPS in Rs,7.87,0.74,1.69,1.34,1.98,0.67,1.09,1.51,1.84,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,
,,,,,,,,,,,,,
Profit & Loss,Sales,419,,,,432,,,,426,206,196,292
Profit & Loss,Expenses,335,,,,343,,,,344,193,162,232
Profit & Loss,Operating Profit,84,,,,89,,,,82,14,34,60
Profit & Loss,OPM %,20%,,,,21%,,,,19%,7%,17%,21%
Profit & Loss,Other Income,7,,,,10,,,,17,6,2,5
Profit & Loss,Interest,16,,,,22,,,,18,1,10,12
Profit & Loss,Depreciation,28,,,,38,,,,44,4,21,22
Profit & Loss,Profit before tax,46,,,,39,,,,36,14,6,32
Profit & Loss,Tax %,25%,,,,25%,,,,20%,38%,69%,27%
Profit & Loss,Net Profit,35,,,,29,,,,29,8,2,23
Profit & Loss,EPS in Rs,44.63,,,,5.83,,,,5.10,10.39,1.40,28.96
Profit & Loss,Dividend Payout %,43%,,,,0%,,,,0%,0%,104%,35%
,,,,,,,,,,,,,
Balance Sheet,Equity Capital,7,,,,10,,,,11,7,7,7
Balance Sheet,Reserves,209,,,,237,,,,453,182,176,192
Balance Sheet,Borrowings,151,,,,204,,,,189,7,88,130
Balance Sheet,Other Liabilities,90,,,,113,,,,92,55,76,93
Balance Sheet,Total Liabilities,458,,,,564,,,,745,251,347,422
Balance Sheet,Fixed Assets,202,,,,247,,,,258,38,118,165
Balance Sheet,CWIP,2,,,,40,,,,38,0,0,1
Balance Sheet,Investments,0,,,,0,,,,0,0,0,0
Balance Sheet,Other Assets,254,,,,278,,,,449,213,229,256
Balance Sheet,Total Assets,458,,,,564,,,,745,251,347,422
,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,68,,,,36,,,,68,10,33,29
Cash Flows,Cash from Investing Activity,-27,,,,-26,,,,-154,-57,-3,-12
Cash Flows,Cash from Financing Activity,-41,,,,-12,,,,126,25,-24,-19
Cash Flows,Net Cash Flow,-1,,,,-3,,,,41,-22,6,-2
,,,,,,,,,,,,,
Ratios,Debtor Days,14,,,,22,,,,21,22,26,24
Ratios,Inventory Days,217,,,,260,,,,275,306,357,299
Ratios,Days Payable,78,,,,91,,,,67,111,159,123
Ratios,Cash Conversion Cycle,153,,,,191,,,,228,217,224,200
Ratios,Working Capital Days,66,,,,81,,,,100,103,103,90
Ratios,ROCE %,18%,,,,14%,,,,10%,,8%,15%
,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,56.81%,56.81%,56.81%,56.72%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,2.62%,5.06%,5.14%,4.82%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,22.30%,20.86%,20.37%,20.82%,,,
Shareholding Pattern (Quarterly),Public,,,,,,18.28%,17.26%,17.68%,17.63%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,131349,82124,80243,77944,,,
,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,56.72%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,,4.82%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,,20.82%,,,
Shareholding Pattern (Yearly),Public,,,,,,,,,17.63%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,77944,,,
,,,,,,,,,,,,,
