Section,,Jun 2025
Quarterly Results,Sales,
Quarterly Results,Expenses,
Quarterly Results,Operating Profit,
Quarterly Results,OPM %,
Quarterly Results,Other Income,
Quarterly Results,Interest,
Quarterly Results,Depreciation,
Quarterly Results,Profit before tax,
Quarterly Results,Tax %,
Quarterly Results,Net Profit,
Quarterly Results,EPS in Rs,
Quarterly Results,Raw PDF,
,,
Profit & Loss,Sales,
Profit & Loss,Expenses,
Profit & Loss,Operating Profit,
Profit & Loss,OPM %,
Profit & Loss,Other Income,
Profit & Loss,Interest,
Profit & Loss,Depreciation,
Profit & Loss,Profit before tax,
Profit & Loss,Tax %,
Profit & Loss,Net Profit,
Profit & Loss,EPS in Rs,
Profit & Loss,Dividend Payout %,
,,
Balance Sheet,Equity Capital,
Balance Sheet,Reserves,
Balance Sheet,Borrowings,
Balance Sheet,Other Liabilities,
Balance Sheet,Total Liabilities,
Balance Sheet,Fixed Assets,
Balance Sheet,CWIP,
Balance Sheet,Investments,
Balance Sheet,Other Assets,
Balance Sheet,Total Assets,
,,
Cash Flows,Cash from Operating Activity,
Cash Flows,Cash from Investing Activity,
Cash Flows,Cash from Financing Activity,
Cash Flows,Net Cash Flow,
,,
Ratios,Debtor Days,
Ratios,Inventory Days,
Ratios,Days Payable,
Ratios,Cash Conversion Cycle,
Ratios,Working Capital Days,
Ratios,ROCE %,
,,
Shareholding Pattern (Quarterly),Promoters,75.00%
Shareholding Pattern (Quarterly),FIIs,8.42%
Shareholding Pattern (Quarterly),DIIs,6.90%
Shareholding Pattern (Quarterly),Public,9.66%
Shareholding Pattern (Quarterly),No. of Shareholders,231810
,,
Shareholding Pattern (Yearly),Promoters,75.00%
Shareholding Pattern (Yearly),FIIs,8.42%
Shareholding Pattern (Yearly),DIIs,6.90%
Shareholding Pattern (Yearly),Public,9.66%
Shareholding Pattern (Yearly),No. of Shareholders,231810
,,
