Section,,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2015,Mar 2016,Mar 2017,TTM,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,29.55,40.87,38.04,28.19,38.67,28.43,13.18,24.75,15.88,33.45,17.60,34.66,35.63,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,26.65,31.08,28.68,26.39,32.22,28.32,15.43,27.03,16.56,27.55,14.34,32.35,32.90,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,2.90,9.79,9.36,1.80,6.45,0.11,-2.25,-2.28,-0.68,5.90,3.26,2.31,2.73,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,9.81%,23.95%,24.61%,6.39%,16.68%,0.39%,-17.07%,-9.21%,-4.28%,17.64%,18.52%,6.66%,7.66%,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.17,0.69,0.23,0.52,0.24,0.14,0.36,0.60,0.43,0.49,0.16,0.31,0.43,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,-0.09,0.48,0.23,0.36,0.11,0.60,0.12,0.07,0.09,0.13,0.08,0.30,0.28,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.61,0.71,0.72,0.69,0.69,0.66,0.58,0.57,0.57,0.57,0.46,0.46,0.46,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,2.55,9.29,8.64,1.27,5.89,-1.01,-2.59,-2.32,-0.91,5.69,2.88,1.86,2.42,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,32.94%,35.74%,34.84%,-8.66%,29.71%,-33.66%,-30.89%,-23.28%,-26.37%,26.19%,18.06%,25.27%,26.45%,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,3.54,6.95,6.82,3.15,5.55,1.14,-1.78,-1.06,-0.66,5.21,3.29,2.59,3.61,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.16,0.31,0.31,0.14,0.25,0.05,-0.08,-0.05,-0.03,0.23,0.15,0.12,0.16,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,124,,,,133,,,,87,,,,116,114,91,121,,,,,,,,,,,,,,
Profit & Loss,Expenses,,105,,,,116,,,,87,,,,99,106,80,107,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,19,,,,18,,,,1,,,,17,7,11,14,,,,,,,,,,,,,,
Profit & Loss,OPM %,,15%,,,,13%,,,,1%,,,,15%,7%,12%,12%,,,,,,,,,,,,,,
Profit & Loss,Other Income,,1,,,,1,,,,2,,,,-0,0,0,1,,,,,,,,,,,,,,
Profit & Loss,Interest,,2,,,,1,,,,0,,,,3,3,1,1,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,2,,,,3,,,,2,,,,5,3,2,2,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,16,,,,15,,,,-0,,,,9,2,8,13,,,,,,,,,,,,,,
Profit & Loss,Tax %,,35%,,,,29%,,,,-67%,,,,40%,33%,33%,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,16,,,,17,,,,2,,,,8,6,12,15,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,0.72,,,,0.75,,,,0.08,,,,159.60,0.29,0.52,0.66,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,,,,0%,0%,0%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,22,,,,22,,,,22,,22,,0.05,22,22,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,111,,,,128,,,,129,,135,,102,87,95,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,17,,,,3,,,,2,,2,,31,20,30,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,21,,,,12,,,,14,,17,,13,15,20,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,171,,,,166,,,,168,,176,,147,144,168,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,22,,,,20,,,,18,,17,,25,22,20,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,0,,,,0,,,,0,,0,,0,0,0,,,,,,,,,,,,,,,
Balance Sheet,Investments,,62,,,,68,,,,70,,72,,48,53,57,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,87,,,,77,,,,80,,87,,74,69,91,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,171,,,,166,,,,168,,176,,147,144,168,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,18,,,,25,,,,-8,,,,3,16,-12,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,-4,,,,-1,,,,2,,,,0,-0,-0,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,-14,,,,-15,,,,-2,,,,1,-14,9,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,-1,,,,8,,,,-8,,,,3,2,-3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,98,,,,76,,,,161,,,,39,45,108,,,,,,,,,,,,,,,
Ratios,Inventory Days,,297,,,,168,,,,189,,,,475,229,463,,,,,,,,,,,,,,,
Ratios,Days Payable,,64,,,,18,,,,8,,,,65,44,96,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,331,,,,227,,,,342,,,,449,229,475,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,142,,,,120,,,,227,,,,144,109,191,,,,,,,,,,,,,,,
Ratios,ROCE %,,12%,,,,11%,,,,0%,,,,,3%,7%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,,,,,51.88%,51.88%,51.70%,51.70%,51.70%,51.70%,51.70%,51.53%,51.38%,50.94%,50.83%,50.69%,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,,,,,,0.23%,0.21%,0.26%,0.22%,0.22%,0.19%,0.18%,0.05%,0.04%,0.04%,0.04%,0.04%,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,,,,,47.89%,47.90%,48.04%,48.08%,48.08%,48.11%,48.12%,48.41%,48.58%,49.01%,49.13%,49.27%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,,,,,68553,73208,73357,73343,70708,70675,68412,70768,69237,70706,71780,71030,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,53.62%,,,,50.58%,,,,54.49%,,,,,,61.63%,,,,,51.70%,,,,51.53%,,,,50.69%,54.49%,51.88%
Shareholding Pattern (Yearly),FIIs,,0.00%,,,,0.00%,,,,0.00%,,,,,,0.11%,,,,,0.22%,,,,0.05%,,,,0.04%,0.00%,0.15%
Shareholding Pattern (Yearly),Public,,46.38%,,,,49.42%,,,,45.51%,,,,,,38.25%,,,,,48.08%,,,,48.41%,,,,49.27%,45.51%,47.96%
Shareholding Pattern (Yearly),No. of Shareholders,,10913,,,,10522,,,,10174,,,,,,9465,,,,,73343,,,,70768,,,,71030,13183,58478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
