Section,,Sep 2021,Dec 2021,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Jun 2022,Mar 2017
Quarterly Results,Sales,5.14,5.78,11.63,11.67,12.21,27.16,39.66,47.21,49.94,52.75,61.57,61.61,67.59,,,,,,,,
Quarterly Results,Expenses,5.60,6.26,11.00,10.58,12.20,24.60,34.25,41.19,44.55,45.85,53.21,52.54,58.19,,,,,,,,
Quarterly Results,Operating Profit,-0.46,-0.48,0.63,1.09,0.01,2.56,5.41,6.02,5.39,6.90,8.36,9.07,9.40,,,,,,,,
Quarterly Results,OPM %,-8.95%,-8.30%,5.42%,9.34%,0.08%,9.43%,13.64%,12.75%,10.79%,13.08%,13.58%,14.72%,13.91%,,,,,,,,
Quarterly Results,Other Income,0.03,0.04,-0.87,0.05,0.04,0.16,0.50,0.27,0.28,0.32,0.35,0.71,0.31,,,,,,,,
Quarterly Results,Interest,0.24,0.29,0.47,0.55,0.84,1.88,3.29,3.72,3.66,4.07,4.15,4.14,3.98,,,,,,,,
Quarterly Results,Depreciation,0.31,0.31,0.21,0.20,0.21,0.82,1.53,1.55,1.69,1.67,1.88,1.95,1.95,,,,,,,,
Quarterly Results,Profit before tax,-0.98,-1.04,-0.92,0.39,-1.00,0.02,1.09,1.02,0.32,1.48,2.68,3.69,3.78,,,,,,,,
Quarterly Results,Tax %,0.00%,0.00%,0.00%,0.00%,-903.00%,0.00%,0.00%,0.00%,0.00%,5.41%,8.96%,7.86%,0.00%,,,,,,,,
Quarterly Results,Net Profit,-0.98,-1.04,-0.92,0.39,8.03,0.02,1.09,1.02,0.32,1.40,2.44,3.40,3.79,,,,,,,,
Quarterly Results,EPS in Rs,-98.00,-104.00,-0.91,0.39,7.95,0.01,1.07,1.00,0.32,1.37,2.40,3.34,3.75,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,46,,,,164,,,,244,126,10,9,4,10,24,,
Profit & Loss,Expenses,,,,,44,,,,143,,,,210,141,15,15,8,13,25,,
Profit & Loss,Operating Profit,,,,,3,,,,20,,,,34,-15,-5,-7,-4,-3,-1,,
Profit & Loss,OPM %,,,,,6%,,,,12%,,,,14%,-12%,-56%,-78%,-115%,-29%,-5%,,
Profit & Loss,Other Income,,,,,-1,,,,1,,,,1,8,3,-3,-12,-10,150,,
Profit & Loss,Interest,,,,,2,,,,13,,,,16,9,2,2,2,3,1,,
Profit & Loss,Depreciation,,,,,1,,,,6,,,,7,2,3,3,2,2,1,,
Profit & Loss,Profit before tax,,,,,-1,,,,3,,,,12,-19,-7,-15,-22,-18,147,,
Profit & Loss,Tax %,,,,,-765%,,,,0%,,,,5%,0%,0%,0%,0%,0%,0%,,
Profit & Loss,Net Profit,,,,,8,,,,3,,,,11,-19,-7,-15,-22,-18,147,,
Profit & Loss,EPS in Rs,,,,,7.77,,,,3.28,,,,10.85,-5.62,-2.23,-4.37,-6.41,-5.49,145.50,,
Profit & Loss,Dividend Payout %,,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,,
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,10,,,,10,,,,10,34,34,34,34,34,10,,
Balance Sheet,Reserves,,,,,4,,,,19,,,,28,119,-129,-145,-166,-185,-4,,
Balance Sheet,Borrowings,,,,,31,,,,162,,,,183,56,27,22,22,22,33,,
Balance Sheet,Other Liabilities,,,,,5,,,,39,,,,64,95,133,141,165,182,4,,
Balance Sheet,Total Liabilities,,,,,51,,,,230,,,,285,303,64,52,55,53,43,,
Balance Sheet,Fixed Assets,,,,,20,,,,115,,,,118,76,39,35,32,30,33,,
Balance Sheet,CWIP,,,,,0,,,,5,,,,3,7,5,3,3,3,0,,
Balance Sheet,Investments,,,,,3,,,,6,,,,3,1,1,1,0,0,0,,
Balance Sheet,Other Assets,,,,,27,,,,105,,,,161,218,19,14,20,21,10,,
Balance Sheet,Total Assets,,,,,51,,,,230,,,,285,303,64,52,55,53,43,,
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,-3,,,,-9,,,,-6,-1,,3,7,3,-6,,
Cash Flows,Cash from Investing Activity,,,,,8,,,,-39,,,,-0,16,,4,0,0,-2,,
Cash Flows,Cash from Financing Activity,,,,,-4,,,,49,,,,9,-15,,-7,-2,-3,4,,
Cash Flows,Net Cash Flow,,,,,1,,,,0,,,,3,-0,,0,5,-1,-4,,
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,81,,,,152,,,,152,189,225,177,415,180,70,,
Ratios,Inventory Days,,,,,36,,,,58,,,,55,31,121,24,101,54,46,,
Ratios,Days Payable,,,,,29,,,,101,,,,123,170,696,617,1883,695,19,,
Ratios,Cash Conversion Cycle,,,,,88,,,,110,,,,84,51,-349,-416,-1367,-461,96,,
Ratios,Working Capital Days,,,,,88,,,,121,,,,108,26,-4330,-5548,-15007,-6142,88,,
Ratios,ROCE %,,,,,5%,,,,13%,,,,14%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,90.49%,90.49%,90.49%,90.49%,90.00%,78.96%,77.45%,75.00%,75.00%,75.00%,75.00%,,,,,,,90.50%,
Shareholding Pattern (Quarterly),FIIs,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.33%,0.29%,0.21%,0.21%,,,,,,,0.00%,
Shareholding Pattern (Quarterly),DIIs,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.40%,0.47%,,,,,,,0.00%,
Shareholding Pattern (Quarterly),Public,,,9.51%,9.51%,9.50%,9.50%,10.01%,21.04%,22.41%,24.66%,24.71%,24.39%,24.32%,,,,,,,9.50%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,5777,5213,4938,4785,4663,4778,4537,4604,4443,4535,4602,,,,,,,5187,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,90.49%,,,,77.45%,,,,75.00%,,50.52%,50.52%,50.52%,50.17%,99.51%,,50.52%
