Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,1212,1414,1661,1948,2056,2416,2848,3288,3562,4206,4799,5405,5833,,,,
Quarterly Results,Expenses,1662,1721,1973,2314,2282,2464,2895,3237,3476,4029,4573,5243,5761,,,,
Quarterly Results,Operating Profit,-450,-307,-312,-366,-226,-48,-47,51,86,177,226,162,72,,,,
Quarterly Results,OPM %,-37%,-22%,-19%,-19%,-11%,-2%,-2%,2%,2%,4%,5%,3%,1%,,,,
Quarterly Results,Other Income,130,168,170,173,171,181,212,219,235,236,221,252,368,,,,
Quarterly Results,Interest,2,5,12,16,15,18,16,18,20,25,30,43,56,,,,
Quarterly Results,Depreciation,38,42,107,155,134,130,128,128,140,149,180,247,287,,,,
Quarterly Results,Profit before tax,-359,-186,-261,-364,-204,-15,21,124,161,239,237,124,97,,,,
Quarterly Results,Tax %,0%,0%,-4%,-5%,-8%,-113%,-71%,-11%,-9%,-6%,26%,52%,60%,,,,
Quarterly Results,Net Profit,-360,-186,-251,-347,-188,2,36,138,175,253,176,59,39,,,,
Quarterly Results,EPS in Rs,-0.46,-0.24,-0.29,-0.41,-0.22,0.00,0.04,0.16,0.20,0.29,0.20,0.06,0.04,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,4192,,,,7079,,,,12114,,,,20243,466,1313,2605,1994
Profit & Loss,Expenses,6043,,,,8290,,,,12071,,,,19606,558,3556,4909,2461
Profit & Loss,Operating Profit,-1851,,,,-1211,,,,43,,,,637,-92,-2243,-2305,-467
Profit & Loss,OPM %,-44%,,,,-17%,,,,0%,,,,3%,-20%,-171%,-88%,-23%
Profit & Loss,Other Income,793,,,,682,,,,846,,,,1077,21,1285,16,-200
Profit & Loss,Interest,12,,,,49,,,,72,,,,154,6,9,13,10
Profit & Loss,Depreciation,150,,,,437,,,,526,,,,863,29,43,84,138
Profit & Loss,Profit before tax,-1220,,,,-1015,,,,291,,,,697,-107,-1010,-2386,-815
Profit & Loss,Tax %,0%,,,,-4%,,,,-21%,,,,24%,0%,0%,0%,0%
Profit & Loss,Net Profit,-1222,,,,-971,,,,351,,,,527,-107,-1010,-2386,-816
Profit & Loss,EPS in Rs,-1.54,,,,-1.14,,,,0.40,,,,0.55,-3070.18,-28574.18,-70096.54,-23123.76
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,764,,,,836,,,,868,,,,907,0.03,0.03,0.03,0.00
Balance Sheet,Reserves,15741,,,,18624,,,,19545,,,,29410,1036,2356,457,7644
Balance Sheet,Borrowings,70,,,,507,,,,749,,,,2045,186,348,326,527
Balance Sheet,Other Liabilities,751,,,,1632,,,,2194,,,,3261,152,709,2117,532
Balance Sheet,Total Liabilities,17327,,,,21599,,,,23356,,,,35623,1374,3413,2900,8704
Balance Sheet,Fixed Assets,1404,,,,6344,,,,6448,,,,9532,190,389,1591,1539
Balance Sheet,CWIP,1,,,,7,,,,18,,,,51,1,1,1,0
Balance Sheet,Investments,4718,,,,6765,,,,11645,,,,13192,829,2145,324,2205
Balance Sheet,Other Assets,11204,,,,8483,,,,5245,,,,12848,354,879,985,4959
Balance Sheet,Total Assets,17327,,,,21599,,,,23356,,,,35623,1374,3413,2900,8704
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-693,,,,-844,,,,646,,,,308,,,-2144,-1018
Cash Flows,Cash from Investing Activity,-7971,,,,797,,,,-348,,,,-7993,,,1740,-5245
Cash Flows,Cash from Financing Activity,8750,,,,-127,,,,-207,,,,8042,,,359,6402
Cash Flows,Net Cash Flow,86,,,,-174,,,,91,,,,357,,,-45,139
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,14,,,,24,,,,24,,,,35,20,20,17,24
Ratios,Inventory Days,28,,,,22,,,,11,,,,12,,,,28
Ratios,Days Payable,298,,,,178,,,,112,,,,101,,,,565
Ratios,Cash Conversion Cycle,-257,,,,-132,,,,-77,,,,-54,20,20,17,-513
Ratios,Working Capital Days,317,,,,208,,,,46,,,,93,-28,-23,-18,100
Ratios,ROCE %,-13%,,,,-6%,,,,1%,,,,3%,,-115%,-135%,-12%
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,9.98%,57.87%,56.74%,54.61%,54.43%,54.72%,54.88%,55.11%,54.11%,52.53%,47.31%,44.36%,,,,
Shareholding Pattern (Quarterly),DIIs,,2.62%,6.41%,7.43%,8.04%,9.93%,13.04%,15.47%,15.28%,15.79%,17.32%,20.51%,23.47%,,,,
Shareholding Pattern (Quarterly),Government,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.10%,,,,
Shareholding Pattern (Quarterly),Public,,84.59%,33.24%,33.57%,35.15%,33.56%,30.42%,27.98%,28.05%,28.64%,28.86%,26.09%,26.08%,,,,
Shareholding Pattern (Quarterly),Others,,2.81%,2.48%,2.26%,2.22%,2.09%,1.82%,1.66%,1.58%,1.45%,1.27%,6.07%,5.98%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,1545396,1820855,1810844,1910058,1710368,1708100,1727996,1916416,2140942,2356308,2520804,2791930,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),FIIs,10.44%,,,,54.61%,,,,55.11%,,,,44.36%,,,,
Shareholding Pattern (Yearly),DIIs,3.05%,,,,8.04%,,,,15.28%,,,,23.47%,,,,
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.10%,,,,
Shareholding Pattern (Yearly),Public,83.60%,,,,35.15%,,,,28.05%,,,,26.08%,,,,
Shareholding Pattern (Yearly),Others,2.91%,,,,2.22%,,,,1.58%,,,,5.98%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,1420336,,,,1910058,,,,1916416,,,,2791930,,,,
,,,,,,,,,,,,,,,,,,
