Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021
Quarterly Results,Sales,30.94,18.35,23.12,15.62,43.69,27.49,30.04,15.21,26.76,,,,,,
Quarterly Results,Expenses,30.14,18.31,22.50,15.12,41.04,26.18,29.60,13.83,25.99,,,,,,
Quarterly Results,Operating Profit,0.80,0.04,0.62,0.50,2.65,1.31,0.44,1.38,0.77,,,,,,
Quarterly Results,OPM %,2.59%,0.22%,2.68%,3.20%,6.07%,4.77%,1.46%,9.07%,2.88%,,,,,,
Quarterly Results,Other Income,0.61,0.16,0.69,0.48,0.44,0.24,0.36,0.32,0.37,,,,,,
Quarterly Results,Interest,0.29,0.29,0.37,0.61,0.51,0.63,0.67,0.66,0.64,,,,,,
Quarterly Results,Depreciation,0.08,0.07,0.16,0.11,0.13,0.11,0.11,0.11,0.11,,,,,,
Quarterly Results,Profit before tax,1.04,-0.16,0.78,0.26,2.45,0.81,0.02,0.93,0.39,,,,,,
Quarterly Results,Tax %,23.08%,-6.25%,23.08%,26.92%,26.12%,25.93%,100.00%,24.73%,35.90%,,,,,,
Quarterly Results,Net Profit,0.81,-0.15,0.60,0.20,1.82,0.60,0.00,0.69,0.25,,,,,,
Quarterly Results,EPS in Rs,0.78,-0.14,0.58,0.19,1.75,0.58,0.00,0.66,0.22,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,103.61,,,,100.79,,,,99.50,,,,,,
Profit & Loss,Expenses,99.91,,,,96.96,,,,95.58,,,,,,
Profit & Loss,Operating Profit,3.70,,,,3.83,,,,3.92,,,,,,
Profit & Loss,OPM %,3.57%,,,,3.80%,,,,3.94%,,,,,,
Profit & Loss,Other Income,1.20,,,,1.77,,,,1.28,,,,,,
Profit & Loss,Interest,0.92,,,,1.79,,,,2.62,,,,,,
Profit & Loss,Depreciation,0.31,,,,0.47,,,,0.44,,,,,,
Profit & Loss,Profit before tax,3.67,,,,3.34,,,,2.14,,,,,,
Profit & Loss,Tax %,25.61%,,,,26.05%,,,,28.04%,,,,,,
Profit & Loss,Net Profit,2.73,,,,2.47,,,,1.55,,,,,,
Profit & Loss,EPS in Rs,2.62,,,,2.37,,,,1.36,,,,,,
Profit & Loss,Dividend Payout %,38.17%,,,,21.09%,,,,36.84%,,,,,,
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,10.42,,,,10.42,,,,11.42,,,,,,
Balance Sheet,Reserves,27.87,,,,32.19,,,,38.76,,,,,,
Balance Sheet,Borrowings,9.16,,,,21.41,,,,22.35,,,,,,
Balance Sheet,Other Liabilities,8.19,,,,15.93,,,,12.17,,,,,,
Balance Sheet,Total Liabilities,55.64,,,,79.95,,,,84.70,,,,,,
Balance Sheet,Fixed Assets,10.82,,,,15.54,,,,15.15,,,,,,
Balance Sheet,CWIP,2.71,,,,0.00,,,,0.30,,,,,,
Balance Sheet,Investments,0.07,,,,4.86,,,,4.62,,,,,,
Balance Sheet,Other Assets,42.04,,,,59.55,,,,64.63,,,,,,
Balance Sheet,Total Assets,55.64,,,,79.95,,,,84.70,,,,,,
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,2.59,,,,5.17,,,,3.24,,,,,,
Cash Flows,Cash from Investing Activity,0.53,,,,-12.83,,,,-8.22,,,,,,
Cash Flows,Cash from Financing Activity,-3.11,,,,8.27,,,,4.38,,,,,,
Cash Flows,Net Cash Flow,0.01,,,,0.62,,,,-0.59,,,,,,
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,81.69,,,,118.02,,,,95.27,,,,,,
Ratios,Inventory Days,60.21,,,,63.54,,,,79.37,,,,,,
Ratios,Days Payable,11.82,,,,58.12,,,,45.01,,,,,,
Ratios,Cash Conversion Cycle,130.09,,,,123.44,,,,129.62,,,,,,
Ratios,Working Capital Days,131.93,,,,134.79,,,,137.89,,,,,,
Ratios,ROCE %,,,,,9.20%,,,,6.96%,,,,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,74.85%,,74.85%,74.85%,74.85%,74.85%,74.85%,74.66%,74.95%,74.95%,74.95%,74.85%,74.85%,,
Shareholding Pattern (Quarterly),Public,25.15%,,25.15%,25.16%,25.16%,25.16%,25.16%,25.35%,25.05%,25.06%,25.06%,25.15%,25.14%,,
Shareholding Pattern (Quarterly),No. of Shareholders,197,,218,486,1305,1442,2416,2303,2721,2794,2902,3355,3471,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,74.85%,,,,74.85%,,,,74.95%,,,,74.85%,72.37%,72.37%
Shareholding Pattern (Yearly),Public,25.15%,,,,25.16%,,,,25.05%,,,,25.14%,27.63%,27.62%
Shareholding Pattern (Yearly),No. of Shareholders,197,,,,1305,,,,2721,,,,3471,209,190
,,,,,,,,,,,,,,,,
