Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 2011,Sep 2014,Sep 2015,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,Sep 2021,TTM,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,3801,4258,4657,4015,4858,4873,5808,3710,4152,5204,4457,3587,4259,,,,,,,,,,,,,,,
Quarterly Results,Expenses,3332,3846,4141,3416,4237,4307,5108,3256,3516,4512,3912,3186,3792,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,469,412,516,599,621,567,700,453,637,692,545,401,468,,,,,,,,,,,,,,,
Quarterly Results,OPM %,12%,10%,11%,15%,13%,12%,12%,12%,15%,13%,12%,11%,11%,,,,,,,,,,,,,,,
Quarterly Results,Other Income,77,77,373,102,117,132,146,256,479,157,544,415,326,,,,,,,,,,,,,,,
Quarterly Results,Interest,13,4,13,4,10,4,5,3,21,5,18,3,2,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,79,79,80,76,78,88,79,60,63,86,62,69,69,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,455,406,796,621,649,607,762,646,1032,758,1009,743,723,,,,,,,,,,,,,,,
Quarterly Results,Tax %,25%,26%,18%,26%,27%,25%,25%,22%,22%,24%,18%,17%,19%,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,340,301,652,463,472,456,572,506,803,578,831,615,582,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,9.55,8.44,18.32,12.99,13.24,12.79,16.04,14.19,22.54,16.22,23.33,17.25,16.34,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,16138,,,,19554,,,,22240,,,11955,10678,10563,10837,11065,12795,13084,9946,13198,17507,,,,,
Profit & Loss,Expenses,,,14278,,,,17067,,,,19136,,,10784,10559,9565,9815,10008,11468,11594,8944,11746,15402,,,,,
Profit & Loss,Operating Profit,,,1860,,,,2487,,,,3104,,,1171,119,998,1021,1056,1327,1490,1003,1452,2105,,,,,
Profit & Loss,OPM %,,,12%,,,,13%,,,,14%,,,10%,1%,9%,9%,10%,10%,11%,10%,11%,12%,,,,,
Profit & Loss,Other Income,,,487,,,,496,,,,925,,,299,985,943,3156,818,280,398,315,321,1442,,,,,
Profit & Loss,Interest,,,36,,,,23,,,,60,,,26,31,30,11,8,8,12,30,24,29,,,,,
Profit & Loss,Depreciation,,,317,,,,321,,,,330,,,154,229,224,228,198,198,199,252,297,285,,,,,
Profit & Loss,Profit before tax,,,1993,,,,2640,,,,3639,,,1290,844,1688,3938,1669,1402,1678,1036,1452,3232,,,,,
