Section,,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2023
Quarterly Results,Sales,0.63,1.02,0.97,1.02,1.02,
Quarterly Results,Expenses,0.76,1.13,1.02,1.06,2.68,
Quarterly Results,Operating Profit,-0.13,-0.11,-0.05,-0.04,-1.66,
Quarterly Results,OPM %,-20.63%,-10.78%,-5.15%,-3.92%,-162.75%,
Quarterly Results,Other Income,0.13,0.19,0.01,0.01,0.40,
Quarterly Results,Interest,0.06,0.07,0.01,0.02,0.01,
Quarterly Results,Depreciation,0.10,0.11,0.12,0.12,0.12,
Quarterly Results,Profit before tax,-0.16,-0.10,-0.17,-0.17,-1.39,
Quarterly Results,Tax %,-50.00%,10.00%,-58.82%,0.00%,-33.09%,
Quarterly Results,Net Profit,-0.09,-0.11,-0.07,-0.16,-0.94,
Quarterly Results,EPS in Rs,,,,-0.01,-0.07,
Quarterly Results,Raw PDF,,,,,,
,,,,,,,
Profit & Loss,Sales,,2.79,,,3.95,33.45
Profit & Loss,Expenses,,3.77,,,5.81,30.08
Profit & Loss,Operating Profit,,-0.98,,,-1.86,3.37
Profit & Loss,OPM %,,-35.13%,,,-47.09%,10.07%
Profit & Loss,Other Income,,0.45,,,0.44,1.84
Profit & Loss,Interest,,0.34,,,0.15,0.33
Profit & Loss,Depreciation,,0.39,,,0.46,0.31
Profit & Loss,Profit before tax,,-1.26,,,-2.03,4.57
Profit & Loss,Tax %,,-24.60%,,,-31.53%,17.51%
Profit & Loss,Net Profit,,-0.95,,,-1.40,3.76
Profit & Loss,EPS in Rs,,,,,-0.11,
Profit & Loss,Dividend Payout %,,0.00%,,,0.00%,0.00%
,,,,,,,
Balance Sheet,Equity Capital,,13.69,,,13.69,13.69
Balance Sheet,Reserves,,430.57,,,424.34,431.51
Balance Sheet,Borrowings,,79.16,,,126.11,10.82
Balance Sheet,Other Liabilities,,78.94,,,72.19,136.21
Balance Sheet,Total Liabilities,,602.36,,,636.33,592.23
Balance Sheet,Fixed Assets,,322.71,,,323.90,321.95
Balance Sheet,CWIP,,210.25,,,253.08,186.50
Balance Sheet,Investments,,0.53,,,0.00,0.38
Balance Sheet,Other Assets,,68.87,,,59.35,83.40
Balance Sheet,Total Assets,,602.36,,,636.33,592.23
,,,,,,,
Cash Flows,Cash from Operating Activity,,-43.73,,,-6.09,11.47
Cash Flows,Cash from Investing Activity,,-25.07,,,-43.88,-11.82
Cash Flows,Cash from Financing Activity,,68.00,,,50.07,1.10
Cash Flows,Net Cash Flow,,-0.81,,,0.09,0.75
,,,,,,,
Ratios,Debtor Days,,39.25,,,63.76,6.00
Ratios,Inventory Days,,,,,6304.71,
Ratios,Days Payable,,,,,9450.83,
Ratios,Cash Conversion Cycle,,39.25,,,-3082.36,6.00
Ratios,Working Capital Days,,-1859.01,,,-1054.34,-590.22
Ratios,ROCE %,,-0.19%,,,-0.35%,
,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,80.22%,80.22%,
Shareholding Pattern (Quarterly),FIIs,,,,0.58%,0.58%,
Shareholding Pattern (Quarterly),Public,,,,19.20%,19.19%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,13306,13167,
,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,80.22%,
Shareholding Pattern (Yearly),FIIs,,,,,0.58%,
Shareholding Pattern (Yearly),Public,,,,,19.19%,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,13167,
,,,,,,,
