Section,,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Jun 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,301,374,437,325,397,457,363,445,579,509,524,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,284,356,414,313,381,433,344,422,550,484,496,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,18,18,23,13,16,25,18,23,29,25,28,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,6%,5%,5%,4%,4%,5%,5%,5%,5%,5%,5%,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,1,0,30,1,1,-1,2,1,1,1,-0,,,,,,,,,,,,,,,,
Quarterly Results,Interest,1,1,3,4,5,6,3,2,4,4,2,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,2,3,4,3,3,4,3,4,4,4,5,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,16,15,46,6,9,15,14,18,21,18,21,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,24%,27%,11%,34%,35%,31%,16%,27%,28%,27%,20%,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,12,11,41,4,6,10,12,13,15,13,17,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,5.07,4.67,17.62,1.77,2.45,4.37,4.74,5.14,5.85,4.71,5.91,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,1476,,,,1541,,,,2057,76,104,165,175,228,320,307,358,457,,,,,,,
Profit & Loss,Expenses,,,1397,,,,1470,,,,1952,72,97,153,179,205,300,296,347,443,,,,,,,
Profit & Loss,Operating Profit,,,79,,,,71,,,,105,4,7,12,-4,23,20,11,11,14,,,,,,,
Profit & Loss,OPM %,,,5%,,,,5%,,,,5%,5%,7%,7%,-2%,10%,6%,3%,3%,3%,,,,,,,
Profit & Loss,Other Income,,,32,,,,4,,,,2,0,0,1,5,1,2,2,4,1,,,,,,,
Profit & Loss,Interest,,,8,,,,18,,,,12,2,2,4,6,7,8,6,8,8,,,,,,,
Profit & Loss,Depreciation,,,11,,,,13,,,,17,1,1,2,2,2,3,3,2,2,,,,,,,
Profit & Loss,Profit before tax,,,92,,,,44,,,,78,2,4,8,-7,15,11,4,5,4,,,,,,,
Profit & Loss,Tax %,,,18%,,,,28%,,,,26%,29%,34%,37%,7%,20%,33%,33%,32%,33%,,,,,,,
Profit & Loss,Net Profit,,,75,,,,32,,,,58,1,3,5,-7,12,7,3,3,3,,,,,,,
Profit & Loss,EPS in Rs,,,32.35,,,,12.65,,,,20.64,,0.73,1.22,-1.76,3.00,1.85,0.66,0.73,0.65,,,,,,,
Profit & Loss,Dividend Payout %,,,8%,,,,20%,,,,17%,71%,41%,25%,-7%,10%,19%,38%,34%,38%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,12,,,,13,,,,14,6,10,10,10,10,10,11,11,11,,,,,,,
Balance Sheet,Reserves,,,253,,,,345,,,,579,5,9,13,8,19,25,25,27,29,,,,,,,
Balance Sheet,Borrowings,,,156,,,,103,,,,113,14,19,20,36,60,58,50,76,75,,,,,,,
Balance Sheet,Other Liabilities,,,52,,,,22,,,,32,7,9,13,7,16,30,16,27,26,,,,,,,
