Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Apr 2025,Mar 2017,Mar 2018
Quarterly Results,Sales,581,598,662,679,660,619,675,729,731,868,883,880,933,,,,,,
Quarterly Results,Expenses,551,560,620,635,611,569,621,672,670,795,813,806,856,,,,,,
Quarterly Results,Operating Profit,30,38,42,44,49,50,54,57,61,73,70,73,77,,,,,,
Quarterly Results,OPM %,5%,6%,6%,6%,7%,8%,8%,8%,8%,8%,8%,8%,8%,,,,,,
Quarterly Results,Other Income,1,1,2,1,1,1,2,1,3,3,3,6,3,,,,,,
Quarterly Results,Interest,5,7,9,10,10,11,13,15,18,20,21,20,20,,,,,,
Quarterly Results,Depreciation,7,9,10,10,9,11,12,14,18,20,20,20,20,,,,,,
Quarterly Results,Profit before tax,20,23,25,25,31,29,31,29,28,36,32,39,41,,,,,,
Quarterly Results,Tax %,38%,35%,25%,33%,35%,21%,21%,24%,17%,25%,28%,27%,24%,,,,,,
Quarterly Results,Net Profit,12,15,19,17,20,23,25,22,23,27,23,29,31,,,,,,
Quarterly Results,EPS in Rs,1.09,1.32,1.68,1.51,1.79,2.07,2.19,1.95,2.00,2.38,2.00,2.44,2.62,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2040,,,,2598,,,,2755,,,,3564,492,772,1407,,,
Profit & Loss,Expenses,1927,,,,2425,,,,2533,,,,3271,459,717,1319,,,
Profit & Loss,Operating Profit,113,,,,173,,,,222,,,,293,33,55,88,,,
Profit & Loss,OPM %,6%,,,,7%,,,,8%,,,,8%,7%,7%,6%,,,
Profit & Loss,Other Income,4,,,,5,,,,7,,,,15,1,1,3,,,
Profit & Loss,Interest,20,,,,36,,,,57,,,,80,8,11,19,,,
Profit & Loss,Depreciation,25,,,,37,,,,55,,,,80,7,11,19,,,
Profit & Loss,Profit before tax,71,,,,104,,,,117,,,,148,18,34,52,,,
Profit & Loss,Tax %,38%,,,,32%,,,,21%,,,,26%,35%,35%,29%,,,
Profit & Loss,Net Profit,45,,,,71,,,,93,,,,110,12,22,37,,,
Profit & Loss,EPS in Rs,3.96,,,,6.31,,,,8.12,,,,9.33,1.76,2.07,3.52,,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,,,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,23,,,,23,,,,23,,,,24,13,21,21,,,
