Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,829,887,899,996,993,1034,1097,1301,1359,1339,,,
Quarterly Results,Expenses,810,867,873,968,964,1005,1067,1258,1309,1290,,,
Quarterly Results,Operating Profit,19,20,26,29,29,29,30,42,50,49,,,
Quarterly Results,OPM %,2%,2%,3%,3%,3%,3%,3%,3%,4%,4%,,,
Quarterly Results,Other Income,2,1,1,2,2,9,13,11,8,7,,,
Quarterly Results,Interest,13,13,14,18,16,17,10,11,10,10,,,
Quarterly Results,Depreciation,5,7,6,6,6,7,7,7,8,8,,,
Quarterly Results,Profit before tax,2,1,7,7,8,14,27,35,39,37,,,
Quarterly Results,Tax %,-44%,490%,6%,23%,16%,-56%,25%,25%,25%,16%,,,
Quarterly Results,Net Profit,4,-4,6,5,7,21,21,26,29,31,,,
Quarterly Results,EPS in Rs,8.05,-9.05,15.18,3.19,4.22,4.82,4.62,5.43,5.85,5.91,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,,3300,,,,3922,,,,5096,1350,1773,2522
Profit & Loss,Expenses,,3236,,,,3810,,,,4924,1326,1758,2498
Profit & Loss,Operating Profit,,64,,,,112,,,,172,23,15,24
Profit & Loss,OPM %,,2%,,,,3%,,,,3%,2%,1%,1%
Profit & Loss,Other Income,,6,,,,14,,,,40,5,11,4
Profit & Loss,Interest,,49,,,,66,,,,42,13,20,29
Profit & Loss,Depreciation,,24,,,,25,,,,31,12,16,20
Profit & Loss,Profit before tax,,-4,,,,36,,,,139,4,-11,-20
Profit & Loss,Tax %,,201%,,,,-12%,,,,23%,67%,42%,49%
Profit & Loss,Net Profit,,-11,,,,40,,,,107,1,-15,-29
Profit & Loss,EPS in Rs,,-28.12,,,,8.99,,,,21.80,93.81,-1550.90,-77.71
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,0%,0%,0%
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,4,,,,43,,,,44,0.10,0.10,4
Balance Sheet,Reserves,,-73,,,,1595,,,,1681,-16,-32,-62
Balance Sheet,Borrowings,,1101,,,,338,,,,385,603,720,974
Balance Sheet,Other Liabilities,,275,,,,369,,,,593,162,147,210
Balance Sheet,Total Liabilities,,1308,,,,2345,,,,2703,749,836,1125
Balance Sheet,Fixed Assets,,268,,,,289,,,,560,186,189,262
Balance Sheet,CWIP,,0,,,,0,,,,0,2,2,1
Balance Sheet,Investments,,0,,,,0,,,,58,0,0,0
Balance Sheet,Other Assets,,1040,,,,2056,,,,2085,560,645,863
Balance Sheet,Total Assets,,1308,,,,2345,,,,2703,749,836,1125
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,-45,,,,-37,,,,-77,-37,-69,-35
Cash Flows,Cash from Investing Activity,,-49,,,,-704,,,,220,-203,-31,-162
Cash Flows,Cash from Financing Activity,,73,,,,863,,,,-74,217,89,211
Cash Flows,Net Cash Flow,,-21,,,,122,,,,69,-23,-11,14
,,,,,,,,,,,,,,
Ratios,Debtor Days,,57,,,,57,,,,59,63,50,54
Ratios,Inventory Days,,41,,,,43,,,,52,57,54,49
Ratios,Days Payable,,25,,,,24,,,,31,32,22,22
Ratios,Cash Conversion Cycle,,73,,,,77,,,,80,88,82,81
Ratios,Working Capital Days,,72,,,,71,,,,92,88,85,79
Ratios,ROCE %,,5%,,,,7%,,,,9%,,1%,1%
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,52.44%,52.44%,52.44%,52.44%,52.42%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,23.30%,23.32%,23.82%,22.20%,19.92%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,2.28%,2.06%,7.73%,8.78%,9.63%,,,
Shareholding Pattern (Quarterly),Public,,,,,,21.99%,22.18%,16.02%,16.59%,18.03%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,80864,66400,36767,33172,33159,,,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,52.44%,,,,52.42%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,23.30%,,,,19.92%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,2.28%,,,,9.63%,,,
Shareholding Pattern (Yearly),Public,,,,,,21.99%,,,,18.03%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,80864,,,,33159,,,
,,,,,,,,,,,,,,
