Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,11.52,11.41,12.26,13.60,14.00,14.96,16.71,19.38,18.83,20.40,19.27,20.29,,,,,
Quarterly Results,Expenses,10.32,10.55,11.26,11.89,12.66,14.03,15.18,17.53,17.24,19.06,18.61,17.49,,,,,
Quarterly Results,Operating Profit,1.20,0.86,1.00,1.71,1.34,0.93,1.53,1.85,1.59,1.34,0.66,2.80,,,,,
Quarterly Results,OPM %,10.42%,7.54%,8.16%,12.57%,9.57%,6.22%,9.16%,9.55%,8.44%,6.57%,3.43%,13.80%,,,,,
Quarterly Results,Other Income,0.07,0.05,0.06,0.14,0.07,0.15,0.35,0.16,0.07,0.12,0.22,0.52,,,,,
Quarterly Results,Interest,0.02,0.08,0.06,0.17,0.19,0.46,0.35,0.25,0.23,0.38,0.34,0.46,,,,,
Quarterly Results,Depreciation,0.20,0.23,0.44,0.47,0.34,0.40,0.68,0.54,0.53,0.82,0.86,0.86,,,,,
Quarterly Results,Profit before tax,1.05,0.60,0.56,1.21,0.88,0.22,0.85,1.22,0.90,0.26,-0.32,2.00,,,,,
Quarterly Results,Tax %,25.71%,28.33%,42.86%,27.27%,26.14%,59.09%,12.94%,21.31%,26.67%,26.92%,-9.38%,45.50%,,,,,
Quarterly Results,Net Profit,0.77,0.44,0.32,0.87,0.65,0.10,0.76,0.92,0.67,0.19,-0.29,1.08,,,,,
Quarterly Results,EPS in Rs,0.76,0.43,0.31,0.86,0.64,0.10,0.75,0.91,0.66,0.19,-0.29,1.06,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,48.79,,,,65.04,,,,78.49,17.71,45.07,40.03,36.14,41.61
Profit & Loss,Expenses,,,,44.03,,,,59.40,,,,72.09,14.51,34.67,34.43,33.17,37.42
Profit & Loss,Operating Profit,,,,4.76,,,,5.64,,,,6.40,3.20,10.40,5.60,2.97,4.19
Profit & Loss,OPM %,,,,9.76%,,,,8.67%,,,,8.15%,18.07%,23.08%,13.99%,8.22%,10.07%
Profit & Loss,Other Income,,,,0.32,,,,0.75,,,,0.92,0.08,0.31,0.28,0.36,0.66
Profit & Loss,Interest,,,,0.33,,,,1.24,,,,1.41,0.62,0.55,0.48,0.49,0.56
Profit & Loss,Depreciation,,,,1.34,,,,1.95,,,,3.06,1.00,2.27,1.69,1.21,1.06
Profit & Loss,Profit before tax,,,,3.41,,,,3.20,,,,2.85,1.66,7.89,3.71,1.63,3.23
Profit & Loss,Tax %,,,,29.62%,,,,22.81%,,,,42.11%,36.14%,28.77%,41.78%,29.45%,34.98%
Profit & Loss,Net Profit,,,,2.40,,,,2.44,,,,1.65,1.06,5.62,2.23,1.12,2.14
Profit & Loss,EPS in Rs,,,,2.36,,,,2.40,,,,1.62,1.04,5.51,2.19,1.10,2.11
Profit & Loss,Dividend Payout %,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,10.16,,,,10.16,,,,10.16,3.39,3.39,3.39,3.39,10.16
Balance Sheet,Reserves,,,,13.57,,,,16.29,,,,18.17,6.16,11.79,14.21,15.44,10.96
Balance Sheet,Borrowings,,,,8.09,,,,12.38,,,,12.40,5.98,2.62,3.84,3.40,0.68
Balance Sheet,Other Liabilities,,,,6.54,,,,12.58,,,,11.20,4.89,8.08,5.29,6.45,5.81
Balance Sheet,Total Liabilities,,,,38.36,,,,51.41,,,,51.93,20.42,25.88,26.73,28.68,27.61
Balance Sheet,Fixed Assets,,,,3.02,,,,4.16,,,,11.44,4.29,3.38,2.80,2.28,2.06
