Section,,Mar 2006,Dec 20069m,Dec 2007,Dec 2008,Dec 2009,Dec 2010,Dec 2011,Dec 2006,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,831,670,841,911,921,973,958,,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,775,629,771,813,753,822,1071,,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,56,41,69,98,168,151,-114,,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,7%,6%,8%,11%,18%,16%,-12%,,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,38,31,4,33,15,33,530,,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,5,2,4,2,1,1,1,,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,24,15,22,23,20,18,19,,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,65,54,47,106,163,166,396,,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,38%,34%,38%,37%,34%,32%,23%,,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,40,36,30,67,108,113,304,,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,13.38,11.07,25.13,40.36,42.23,114.17,,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,32%,134%,90%,76%,62%,71%,53%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,12,,27,27,27,27,27,27,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,305,,283,291,321,340,459,286,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,56,,4,3,2,1,0,6,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,259,,227,212,232,301,313,272,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,632,,541,533,581,669,799,591,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,157,,163,163,155,147,170,166,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,10,,18,11,6,20,15,8,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,111,,26,55,121,189,267,43,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,355,,334,305,299,313,347,373,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,632,,541,533,581,669,799,591,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,62,,46,81,170,164,21,65,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-1,,-11,-52,-71,-80,142,46,,,,,,,,,,,,,,,,,,
