Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,2857,3333,3473,3884,3382,4376,4415,5223,4525,5535,6065,7278,6182,,,,
Quarterly Results,Expenses,2639,3068,3207,3557,3125,4053,4101,4853,4229,5159,5738,6848,5782,,,,
Quarterly Results,Operating Profit,218,264,266,327,257,323,314,370,296,376,327,430,399,,,,
Quarterly Results,OPM %,8%,8%,8%,8%,8%,7%,7%,7%,7%,7%,5%,6%,6%,,,,
Quarterly Results,Other Income,11,8,8,7,-19,12,13,20,39,22,26,40,41,,,,
Quarterly Results,Interest,76,71,74,77,80,82,82,82,78,85,90,88,96,,,,
Quarterly Results,Depreciation,58,59,60,62,63,64,67,70,74,75,85,89,93,,,,
Quarterly Results,Profit before tax,96,142,140,195,95,188,178,239,184,237,178,294,251,,,,
Quarterly Results,Tax %,25%,24%,25%,24%,26%,24%,24%,24%,25%,25%,27%,26%,25%,,,,
Quarterly Results,Net Profit,72,108,106,148,70,144,135,180,137,178,130,219,188,,,,
Quarterly Results,EPS in Rs,0.70,1.05,1.03,1.44,0.68,1.40,1.31,1.75,1.34,1.72,1.27,2.12,1.82,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,10818,,,,14071,,,,18548,,,,25045,10505,9771,10101,8573
Profit & Loss,Expenses,9965,,,,12906,,,,17180,,,,23528,9732,9151,9302,7949
Profit & Loss,Operating Profit,853,,,,1165,,,,1368,,,,1517,774,620,799,624
Profit & Loss,OPM %,8%,,,,8%,,,,7%,,,,6%,7%,6%,8%,7%
Profit & Loss,Other Income,38,,,,5,,,,74,,,,145,32,42,80,45
Profit & Loss,Interest,360,,,,353,,,,379,,,,359,390,418,419,405
Profit & Loss,Depreciation,232,,,,245,,,,274,,,,343,202,224,239,225
Profit & Loss,Profit before tax,299,,,,572,,,,789,,,,960,214,21,221,39
Profit & Loss,Tax %,25%,,,,24%,,,,24%,,,,26%,34%,123%,36%,115%
Profit & Loss,Net Profit,224,,,,432,,,,596,,,,714,141,-5,142,-6
Profit & Loss,EPS in Rs,2.18,,,,4.20,,,,5.80,,,,6.93,1.70,-0.04,1.70,-0.06
Profit & Loss,Dividend Payout %,0%,,,,12%,,,,21%,,,,22%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,1030,,,,1030,,,,1030,,,,1031,839,839,839,1030
Balance Sheet,Reserves,2107,,,,2605,,,,3159,,,,3772,1012,1046,1203,1796
Balance Sheet,Borrowings,4029,,,,4295,,,,4486,,,,4959,4196,3907,3759,4081
Balance Sheet,Other Liabilities,1779,,,,2783,,,,4142,,,,5363,2503,2268,2417,1958
Balance Sheet,Total Liabilities,8945,,,,10713,,,,12818,,,,15126,8551,8060,8219,8865
Balance Sheet,Fixed Assets,1921,,,,1903,,,,2299,,,,2846,1879,2152,2167,1899
Balance Sheet,CWIP,2,,,,20,,,,49,,,,8,18,22,24,53
Balance Sheet,Investments,1,,,,4,,,,4,,,,5,1,3,0,0
Balance Sheet,Other Assets,7021,,,,8785,,,,10465,,,,12267,6654,5884,6027,6913
Balance Sheet,Total Assets,8945,,,,10713,,,,12818,,,,15126,8551,8060,8219,8865
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,264,,,,1013,,,,1322,,,,1209,,,320,629
Cash Flows,Cash from Investing Activity,64,,,,-384,,,,-137,,,,-177,,,34,-217
Cash Flows,Cash from Financing Activity,-544,,,,-638,,,,-1148,,,,-840,,,-343,-208
Cash Flows,Net Cash Flow,-216,,,,-8,,,,37,,,,193,,,11,204
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,4,,,,6,,,,6,,,,6,6,5,8,5
Ratios,Inventory Days,232,,,,216,,,,191,,,,162,208,200,205,272
Ratios,Days Payable,26,,,,37,,,,45,,,,39,31,19,24,35
Ratios,Cash Conversion Cycle,210,,,,185,,,,153,,,,129,184,187,189,241
Ratios,Working Capital Days,146,,,,124,,,,96,,,,74,121,123,122,157
Ratios,ROCE %,9%,,,,13%,,,,14%,,,,14%,,7%,11%,7%
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,60.54%,60.54%,60.54%,60.55%,60.55%,60.55%,60.55%,60.63%,60.59%,62.90%,62.85%,62.85%,,,,
Shareholding Pattern (Quarterly),FIIs,,2.77%,2.75%,28.72%,29.65%,27.09%,26.56%,26.21%,21.10%,21.19%,15.74%,16.37%,16.89%,,,,
Shareholding Pattern (Quarterly),DIIs,,1.96%,2.58%,2.89%,2.63%,5.17%,4.86%,5.48%,11.00%,11.75%,13.74%,13.57%,11.97%,,,,
Shareholding Pattern (Quarterly),Public,,34.73%,34.14%,7.84%,7.17%,7.20%,8.03%,7.75%,7.26%,6.46%,7.62%,7.21%,8.29%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,261952,216073,211215,224401,253152,355696,371648,370812,403405,553774,570984,786781,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,60.54%,,,,60.55%,,,,60.63%,,,,62.85%,,,,60.53%
Shareholding Pattern (Yearly),FIIs,3.05%,,,,29.65%,,,,21.10%,,,,16.89%,,,,4.80%
Shareholding Pattern (Yearly),DIIs,1.74%,,,,2.63%,,,,11.00%,,,,11.97%,,,,1.67%
Shareholding Pattern (Yearly),Public,34.67%,,,,7.17%,,,,7.26%,,,,8.29%,,,,33.00%
Shareholding Pattern (Yearly),No. of Shareholders,271583,,,,224401,,,,370812,,,,786781,,,,276620
,,,,,,,,,,,,,,,,,,
