Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,57.64%,57.64%,57.64%,57.64%,55.25%,55.25%,55.25%,55.25%,55.25%,53.35%,53.35%,53.35%,
Shareholding Pattern (Quarterly),FIIs,1.71%,3.18%,3.93%,4.06%,5.01%,5.60%,6.28%,7.75%,6.99%,7.97%,8.09%,7.27%,
Shareholding Pattern (Quarterly),DIIs,22.39%,32.69%,31.93%,31.76%,32.47%,32.09%,31.68%,29.91%,30.43%,31.86%,31.62%,32.05%,
Shareholding Pattern (Quarterly),Public,18.26%,6.48%,6.51%,6.53%,7.28%,7.06%,6.79%,7.11%,7.34%,6.83%,6.94%,7.32%,
Shareholding Pattern (Quarterly),No. of Shareholders,46042,46752,46794,45757,48497,49141,48169,49806,48930,47628,49162,50977,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,57.64%,,,,55.25%,,,,53.35%,57.64%
Shareholding Pattern (Yearly),FIIs,,,,4.06%,,,,7.75%,,,,7.27%,1.92%
Shareholding Pattern (Yearly),DIIs,,,,31.76%,,,,29.91%,,,,32.05%,20.37%
Shareholding Pattern (Yearly),Public,,,,6.53%,,,,7.11%,,,,7.32%,20.07%
Shareholding Pattern (Yearly),No. of Shareholders,,,,45757,,,,49806,,,,50977,51555
,,,,,,,,,,,,,,
