Section,,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2015,Mar 2016,Mar 2017,Mar 2018,TTM,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,280,358,333,437,280,253,256,249,152,307,268,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,169,211,178,274,169,170,201,242,104,301,192,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,111,146,155,163,111,83,55,6,48,7,76,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,40%,41%,46%,37%,40%,33%,22%,3%,32%,2%,28%,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,49,45,47,51,49,53,45,34,-24,26,19,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,19,16,17,20,19,32,26,19,22,24,25,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,140,176,185,194,140,104,74,22,2,9,70,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,35%,40%,35%,28%,35%,15%,25%,38%,11%,15%,27%,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,91,105,120,140,91,89,55,13,2,7,51,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,3.52,4.08,4.67,5.42,3.52,3.44,2.15,0.57,0.08,0.31,2.16,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,1438,,,,1034,,,,822,632,978,1314,976,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,838,,,,779,,,,443,562,678,786,839,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,600,,,,256,,,,379,70,300,528,137,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,42%,,,,25%,,,,46%,11%,31%,40%,14%,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,191,,,,181,,,,317,252,221,178,55,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,0,,,,0,,,,0,0,3,0,0,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,67,,,,96,,,,45,53,55,62,90,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,724,,,,340,,,,650,270,463,643,102,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,34%,,,,27%,,,,34%,36%,34%,35%,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,478,,,,248,,,,428,173,307,417,74,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,18.57,,,,10.46,,,,12.73,5.14,11.54,16.20,3.12,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,32%,,,,57%,,,,33%,49%,48%,34%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,258,,,,237,,237,,168,168,133,258,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,2825,,,,2526,,2468,,3212,3284,2672,2537,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,0,,,,0,,0,,0,0,0,0,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,522,,,,534,,560,,273,281,285,442,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,3605,,,,3298,,3266,,3653,3733,3090,3236,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,430,,,,587,,585,,299,316,326,348,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,297,,,,242,,257,,54,82,116,238,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,115,,,,7,,194,,0,0,0,23,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,2763,,,,2461,,2230,,3300,3335,2648,2627,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,3605,,,,3298,,3266,,3653,3733,3090,3236,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,424,,,,58,,,,28,-24,118,529,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,-254,,,,588,,,,181,145,-588,-397,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,-173,,,,-562,,,,-171,-101,-81,-213,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,-3,,,,84,,,,37,20,-550,-82,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,33,,,,47,,,,48,82,90,53,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,596,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,203,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,33,,,,47,,,,48,82,482,53,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,-22,,,,1,,,,60,91,85,6,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,24%,,,,11%,,,,,8%,15%,23%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,,,,64.68%,64.68%,64.68%,64.68%,64.68%,64.68%,64.68%,64.68%,64.68%,64.68%,64.68%,64.68%,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,,,,,5.76%,5.80%,5.93%,5.97%,6.16%,5.72%,4.71%,2.35%,3.48%,4.87%,3.12%,3.25%,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,,,,,12.00%,12.09%,12.07%,12.06%,12.33%,12.73%,11.29%,12.35%,10.00%,7.92%,8.24%,7.65%,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,,,,17.56%,17.42%,17.32%,17.28%,16.84%,16.88%,19.29%,20.60%,21.83%,22.52%,23.94%,24.41%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,,,,256898,254449,250478,248085,242817,227319,239111,252665,266381,288421,305063,331637,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,65.69%,,,,64.35%,,,,,,65.58%,65.69%,,,,,64.68%,,,,64.68%,,,,64.68%,64.35%,64.68%
Shareholding Pattern (Yearly),FIIs,,,,3.89%,,,,2.92%,,,,,,2.47%,3.74%,,,,,5.97%,,,,2.35%,,,,3.25%,4.72%,5.57%
Shareholding Pattern (Yearly),DIIs,,,,13.66%,,,,14.85%,,,,,,16.62%,13.66%,,,,,12.06%,,,,12.35%,,,,7.65%,13.82%,12.20%
Shareholding Pattern (Yearly),Public,,,,16.76%,,,,17.87%,,,,,,15.34%,16.91%,,,,,17.28%,,,,20.60%,,,,24.41%,17.11%,17.54%
Shareholding Pattern (Yearly),No. of Shareholders,,,,284961,,,,269874,,,,,,283990,289832,,,,,248085,,,,252665,,,,331637,257062,256026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
