Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2020,Mar 2021,Mar 2018,Mar 2019
Quarterly Results,Sales,51,46,54,57,62,72,58,55,72,47,72,67,122,,,,,,,,,
Quarterly Results,Expenses,39,35,37,45,44,52,42,40,51,37,51,52,93,,,,,,,,,
Quarterly Results,Operating Profit,12,11,17,12,18,20,16,15,22,10,21,15,29,,,,,,,,,
Quarterly Results,OPM %,23%,24%,32%,21%,30%,28%,27%,28%,30%,21%,29%,23%,24%,,,,,,,,,
Quarterly Results,Other Income,2,1,2,4,0,3,3,4,4,4,8,10,11,,,,,,,,,
Quarterly Results,Interest,4,4,5,4,3,4,4,4,3,3,3,1,1,,,,,,,,,
Quarterly Results,Depreciation,4,4,4,4,4,4,4,4,4,4,4,5,8,,,,,,,,,
Quarterly Results,Profit before tax,6,4,10,8,11,15,11,10,18,6,22,19,31,,,,,,,,,
Quarterly Results,Tax %,24%,29%,26%,22%,20%,24%,23%,22%,20%,23%,21%,24%,21%,,,,,,,,,
Quarterly Results,Net Profit,5,3,8,6,9,11,8,8,15,5,17,14,25,,,,,,,,,
Quarterly Results,EPS in Rs,3.53,2.20,5.83,4.55,6.87,8.43,6.08,5.95,10.19,3.39,11.56,9.50,16.40,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,179,,,,219,,,,257,,,,308,138,119,101,96,99,73,163,,
Profit & Loss,Expenses,137,,,,161,,,,184,,,,233,115,99,83,82,84,59,128,,
Profit & Loss,Operating Profit,42,,,,59,,,,73,,,,75,23,20,18,13,15,14,35,,
Profit & Loss,OPM %,24%,,,,27%,,,,28%,,,,24%,17%,16%,17%,14%,15%,20%,21%,,
Profit & Loss,Other Income,5,,,,7,,,,13,,,,33,-2,1,-0,3,2,2,5,,
Profit & Loss,Interest,15,,,,16,,,,15,,,,9,8,5,3,3,3,6,13,,
Profit & Loss,Depreciation,15,,,,17,,,,17,,,,21,4,4,6,5,6,7,14,,
Profit & Loss,Profit before tax,17,,,,34,,,,54,,,,78,9,11,8,8,8,2,12,,
Profit & Loss,Tax %,25%,,,,23%,,,,22%,,,,22%,16%,46%,24%,24%,22%,29%,65%,,
Profit & Loss,Net Profit,13,,,,26,,,,42,,,,61,8,6,6,6,6,2,4,,
Profit & Loss,EPS in Rs,9.78,,,,19.29,,,,29.24,,,,40.72,7.30,5.52,4.92,4.79,4.56,1.31,3.32,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,5,,,,13,,,,14,,,,15,4,4,5,5,5,,5,,
Balance Sheet,Reserves,163,,,,293,,,,631,,,,1372,58,65,108,115,122,,150,,
Balance Sheet,Borrowings,196,,,,177,,,,182,,,,61,68,69,25,60,122,,181,,
Balance Sheet,Other Liabilities,61,,,,70,,,,68,,,,136,24,27,21,23,31,,61,,
Balance Sheet,Total Liabilities,426,,,,553,,,,896,,,,1584,154,165,160,202,279,,397,,
Balance Sheet,Fixed Assets,237,,,,228,,,,233,,,,449,50,48,43,44,49,,211,,
Balance Sheet,CWIP,23,,,,67,,,,159,,,,185,9,18,35,66,136,,37,,
Balance Sheet,Investments,0,,,,0,,,,0,,,,3,0,0,0,0,0,,0,,
Balance Sheet,Other Assets,166,,,,258,,,,504,,,,947,96,99,82,92,95,,149,,
Balance Sheet,Total Assets,426,,,,553,,,,896,,,,1584,154,165,160,202,279,,397,,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,25,,,,47,,,,-96,,,,14,12,27,13,14,11,,4,,
Cash Flows,Cash from Investing Activity,-28,,,,-116,,,,-60,,,,-502,-11,-21,-9,-45,-72,,-20,,
Cash Flows,Cash from Financing Activity,3,,,,74,,,,284,,,,544,-1,-4,-6,31,61,,17,,
Cash Flows,Net Cash Flow,-1,,,,6,,,,127,,,,55,-1,2,-2,-0,0,,1,,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,125,,,,109,,,,158,,,,170,110,97,115,118,100,,141,,
Ratios,Inventory Days,541,,,,521,,,,440,,,,1423,256,274,430,529,598,,465,,
Ratios,Days Payable,156,,,,141,,,,91,,,,333,95,83,110,145,135,,240,,
Ratios,Cash Conversion Cycle,510,,,,490,,,,507,,,,1261,271,289,435,502,563,,367,,
Ratios,Working Capital Days,233,,,,206,,,,306,,,,398,160,170,203,219,198,,185,,
Ratios,ROCE %,10%,,,,12%,,,,11%,,,,8%,,13%,9%,7%,5%,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,67.80%,69.41%,67.93%,67.93%,67.93%,67.03%,66.96%,62.95%,62.88%,59.81%,59.75%,59.75%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,1.72%,1.75%,3.82%,3.35%,4.53%,3.37%,3.07%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,0.00%,0.00%,0.24%,0.32%,0.46%,0.44%,1.25%,4.64%,6.50%,7.60%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,32.20%,30.58%,32.07%,32.07%,31.83%,30.92%,30.83%,32.79%,32.52%,31.02%,30.37%,29.60%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,3855,4588,5227,5544,5969,6789,8161,10305,15276,15954,17939,20057,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,67.80%,,,,67.93%,,,,62.95%,,,,59.75%,,,,,62.77%,62.77%,67.76%,62.77%,62.77%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,3.82%,,,,3.07%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.44%,,,,7.60%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,32.20%,,,,32.07%,,,,32.79%,,,,29.60%,,,,,37.23%,37.23%,32.24%,37.23%,37.23%
Shareholding Pattern (Yearly),No. of Shareholders,3584,,,,5544,,,,10305,,,,20057,,,,,771,1324,2079,1226,1262
,,,,,,,,,,,,,,,,,,,,,,,
