Section,,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Mar 2017,Mar 2018,Mar 2019,TTM,Dec 2022
Quarterly Results,Sales,1571.81,1742.23,1442.96,85.82,409.19,950.09,831.62,297.99,833.14,1255.38,607.42,272.88,177.61,,,,,
Quarterly Results,Expenses,1314.38,1421.14,1294.86,195.71,461.38,907.58,754.67,396.61,814.13,1138.16,1255.28,274.93,195.92,,,,,
Quarterly Results,Operating Profit,257.43,321.09,148.10,-109.89,-52.19,42.51,76.95,-98.62,19.01,117.22,-647.86,-2.05,-18.31,,,,,
Quarterly Results,OPM %,16.38%,18.43%,10.26%,-128.05%,-12.75%,4.47%,9.25%,-33.10%,2.28%,9.34%,-106.66%,-0.75%,-10.31%,,,,,
Quarterly Results,Other Income,11.44,11.06,-46.84,10.56,14.80,13.18,11.82,11.18,2.57,14.92,-959.36,27.87,154.16,,,,,
Quarterly Results,Interest,74.77,66.35,93.08,82.06,86.82,88.10,92.70,99.12,75.07,82.96,64.40,61.45,53.34,,,,,
Quarterly Results,Depreciation,173.20,178.70,191.61,171.37,138.31,143.67,145.06,167.33,165.79,161.31,118.99,100.33,90.04,,,,,
Quarterly Results,Profit before tax,20.90,87.10,-183.43,-352.76,-262.52,-176.08,-148.99,-353.89,-219.28,-112.13,-1790.61,-135.96,-7.53,,,,,
Quarterly Results,Tax %,43.21%,32.03%,-18.96%,0.05%,-1.80%,-1.41%,0.01%,-1.64%,-4.59%,-0.41%,4.99%,-0.00%,-0.00%,,,,,
Quarterly Results,Net Profit,11.87,59.20,-148.65,-352.95,-257.80,-173.60,-149.00,-348.08,-209.22,-111.67,-1879.91,-135.96,-7.53,,,,,
Quarterly Results,EPS in Rs,0.59,2.94,-7.37,-17.49,-12.78,-8.60,-7.38,-17.25,-10.37,-5.53,-93.17,-6.74,-0.37,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,6297,,,,2277,,,,2994,,,3893,4912,5728,2313,
Profit & Loss,Expenses,,,5270,,,,2256,,,,3557,,,3555,4477,5174,2864,
Profit & Loss,Operating Profit,,,1027,,,,21,,,,-563,,,338,436,554,-551,
Profit & Loss,OPM %,,,16%,,,,1%,,,,-19%,,,9%,9%,10%,-24%,
Profit & Loss,Other Income,,,-55,,,,9,,,,-942,,,85,12,10,-762,
Profit & Loss,Interest,,,306,,,,350,,,,322,,,123,108,117,262,
Profit & Loss,Depreciation,,,702,,,,598,,,,613,,,89,154,207,471,
Profit & Loss,Profit before tax,,,-36,,,,-918,,,,-2440,,,210,186,240,-2046,
Profit & Loss,Tax %,,,50%,,,,-1%,,,,3%,,,49%,32%,19%,,
Profit & Loss,Net Profit,,,-53,,,,-933,,,,-2549,,,76,126,189,-2135,
Profit & Loss,EPS in Rs,,,-2.63,,,,-46.26,,,,-126.32,,,4.01,6.62,9.71,-105.81,
Profit & Loss,Dividend Payout %,,,-0%,,,,-0%,,,,-0%,,,20%,18%,14%,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,40,,,,40,,,,40,,40,38,38,39,,
Balance Sheet,Reserves,,,1597,,,,661,,,,-1922,,-2067,1345,1492,1788,,
Balance Sheet,Borrowings,,,2757,,,,2954,,,,2169,,1610,682,783,904,,
Balance Sheet,Other Liabilities,,,2904,,,,2571,,,,4175,,4186,1543,1485,2330,,
Balance Sheet,Total Liabilities,,,7298,,,,6227,,,,4463,,3769,3608,3798,5061,,
Balance Sheet,Fixed Assets,,,2675,,,,2330,,,,668,,422,740,924,1274,,
Balance Sheet,CWIP,,,178,,,,61,,,,59,,59,190,290,158,,
Balance Sheet,Investments,,,345,,,,323,,,,32,,32,216,217,349,,
Balance Sheet,Other Assets,,,4099,,,,3513,,,,3705,,3256,2462,2366,3280,,
Balance Sheet,Total Assets,,,7298,,,,6227,,,,4463,,3769,3608,3798,5061,,
