Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jan 2016
Quarterly Results,Sales,941,1033,1142,1128,1222,1233,1305,1204,1246,1341,1400,1335,1475,,,,,,,,,
Quarterly Results,Expenses,768,842,898,874,946,963,997,925,955,1037,1092,1027,1118,,,,,,,,,
Quarterly Results,Operating Profit,172,192,244,254,276,271,308,279,291,304,308,307,358,,,,,,,,,
Quarterly Results,OPM %,18%,19%,21%,23%,23%,22%,24%,23%,23%,23%,22%,23%,24%,,,,,,,,,
Quarterly Results,Other Income,10,8,31,12,15,15,18,18,26,23,24,18,20,,,,,,,,,
Quarterly Results,Interest,16,15,15,19,21,21,23,25,28,34,35,37,41,,,,,,,,,
Quarterly Results,Depreciation,47,47,49,57,56,59,55,63,65,62,65,70,82,,,,,,,,,
Quarterly Results,Profit before tax,119,137,211,190,214,206,248,209,225,232,232,219,254,,,,,,,,,
Quarterly Results,Tax %,42%,19%,20%,19%,19%,11%,9%,10%,15%,13%,14%,12%,22%,,,,,,,,,
Quarterly Results,Net Profit,69,111,169,154,173,184,227,188,191,202,199,193,197,,,,,,,,,
Quarterly Results,EPS in Rs,3.37,5.41,8.26,7.52,8.47,9.00,11.09,9.20,9.33,9.85,9.72,9.44,9.65,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,3701,,,,4525,,,,5018,,,,5483,1095,1364,1614,1878,2281,2861,3128,2583,
Profit & Loss,Expenses,3038,,,,3538,,,,3845,,,,4207,989,1236,1434,1642,2064,2566,2694,2394,
Profit & Loss,Operating Profit,664,,,,987,,,,1173,,,,1276,106,128,180,236,217,295,434,189,
Profit & Loss,OPM %,18%,,,,22%,,,,23%,,,,23%,10%,9%,11%,13%,10%,10%,14%,7%,
Profit & Loss,Other Income,26,,,,59,,,,70,,,,84,39,6,-19,7,18,16,7,21,
Profit & Loss,Interest,76,,,,84,,,,112,,,,146,31,45,33,28,55,81,94,82,
Profit & Loss,Depreciation,183,,,,210,,,,242,,,,278,57,68,76,80,100,137,186,184,
Profit & Loss,Profit before tax,430,,,,752,,,,889,,,,936,57,21,51,135,80,93,161,-56,
Profit & Loss,Tax %,20%,,,,19%,,,,11%,,,,16%,38%,71%,59%,39%,36%,37%,26%,-75%,
Profit & Loss,Net Profit,342,,,,607,,,,790,,,,791,29,-19,21,83,51,59,119,-14,
Profit & Loss,EPS in Rs,16.73,,,,29.67,,,,38.62,,,,38.66,974.49,-0.84,1.04,4.06,2.51,2.90,5.82,-0.70,
Profit & Loss,Dividend Payout %,6%,,,,8%,,,,10%,,,,12%,0%,0%,0%,0%,0%,35%,17%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,204,,,,204,,,,204,,,,204,0.33,200,204,204,204,204,204,204,
Balance Sheet,Reserves,1284,,,,1927,,,,2679,,,,3422,580,568,672,759,831,877,932,916,
Balance Sheet,Borrowings,723,,,,884,,,,1627,,,,2428,333,362,258,217,802,813,952,826,
Balance Sheet,Other Liabilities,931,,,,1155,,,,1123,,,,1210,242,241,424,468,692,746,813,833,
Balance Sheet,Total Liabilities,3143,,,,4170,,,,5633,,,,7265,1156,1371,1557,1648,2529,2640,2901,2779,
Balance Sheet,Fixed Assets,1980,,,,2336,,,,2651,,,,4282,738,913,1054,1082,1848,1838,2092,1961,
Balance Sheet,CWIP,67,,,,259,,,,514,,,,70,20,20,14,53,35,56,12,20,
Balance Sheet,Investments,132,,,,252,,,,844,,,,1084,51,52,87,96,9,17,86,120,
Balance Sheet,Other Assets,964,,,,1323,,,,1624,,,,1829,346,385,402,417,637,729,711,678,
Balance Sheet,Total Assets,3143,,,,4170,,,,5633,,,,7265,1156,1371,1557,1648,2529,2640,2901,2779,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,485,,,,1085,,,,1067,,,,986,110,77,174,219,182,279,443,304,
Cash Flows,Cash from Investing Activity,-267,,,,-1176,,,,-1458,,,,-1325,-168,-223,-150,-146,-520,-162,-189,-113,
Cash Flows,Cash from Financing Activity,-159,,,,88,,,,488,,,,544,57,140,18,-45,315,-27,-247,-194,
Cash Flows,Net Cash Flow,59,,,,-4,,,,97,,,,205,-1,-6,42,28,-22,89,7,-2,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,43,,,,35,,,,31,,,,37,45,38,34,30,45,34,31,39,
Ratios,Inventory Days,30,,,,31,,,,42,,,,35,64,56,48,45,56,48,35,32,
Ratios,Days Payable,180,,,,224,,,,205,,,,185,198,146,152,173,200,177,177,221,
Ratios,Cash Conversion Cycle,-108,,,,-158,,,,-132,,,,-112,-90,-51,-70,-98,-100,-95,-111,-150,
Ratios,Working Capital Days,-0,,,,-11,,,,-9,,,,66,2,-3,-2,-9,-4,-8,-17,-17,
Ratios,ROCE %,25%,,,,32%,,,,27%,,,,21%,8%,7%,9%,14%,9%,9%,14%,2%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,63.85%,63.85%,63.85%,63.85%,63.85%,63.85%,63.85%,63.85%,63.85%,63.85%,63.85%,63.85%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,10.03%,9.55%,10.24%,10.36%,11.10%,11.59%,11.51%,10.91%,10.01%,9.69%,9.45%,9.66%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,17.85%,16.62%,14.58%,14.14%,11.95%,10.89%,10.23%,9.51%,8.22%,7.90%,8.68%,8.52%,,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,7.59%,9.28%,10.70%,11.01%,12.45%,13.05%,13.78%,15.12%,17.29%,17.94%,17.39%,17.34%,,,,,,,,,
Shareholding Pattern (Quarterly),Others,,0.69%,0.69%,0.63%,0.63%,0.63%,0.62%,0.62%,0.62%,0.62%,0.62%,0.62%,0.62%,,,,,,,,,
