Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2021,Apr 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Quarterly Results,Sales,303.10,324.29,302.43,192.75,294.66,257.59,261.37,267.76,276.73,286.15,331.16,345.58,319.26,,,,,,,,,,,,,
Quarterly Results,Expenses,252.61,264.98,279.05,194.17,284.67,257.48,271.58,287.26,270.75,274.97,291.34,286.06,282.80,,,,,,,,,,,,,
Quarterly Results,Operating Profit,50.49,59.31,23.38,-1.42,9.99,0.11,-10.21,-19.50,5.98,11.18,39.82,59.52,36.46,,,,,,,,,,,,,
Quarterly Results,OPM %,16.66%,18.29%,7.73%,-0.74%,3.39%,0.04%,-3.91%,-7.28%,2.16%,3.91%,12.02%,17.22%,11.42%,,,,,,,,,,,,,
Quarterly Results,Other Income,11.24,10.20,123.14,7.68,-1.34,9.40,9.78,4.62,3.22,6.21,2.62,5.41,2.66,,,,,,,,,,,,,
Quarterly Results,Interest,8.52,6.63,7.83,8.09,13.79,16.76,17.71,17.92,17.98,16.76,18.46,16.44,15.66,,,,,,,,,,,,,
Quarterly Results,Depreciation,9.51,9.56,9.84,10.04,14.49,16.28,16.82,17.18,17.75,17.29,17.24,17.13,17.09,,,,,,,,,,,,,
Quarterly Results,Profit before tax,43.70,53.32,128.85,-11.87,-19.63,-23.53,-34.96,-49.98,-26.53,-16.66,6.74,31.36,6.37,,,,,,,,,,,,,
Quarterly Results,Tax %,24.67%,22.04%,3.86%,-21.99%,-9.53%,-6.25%,-12.93%,-10.32%,-10.55%,-3.36%,55.19%,20.85%,69.23%,,,,,,,,,,,,,
Quarterly Results,Net Profit,32.93,41.57,123.88,-9.27,-17.75,-22.06,-30.44,-44.82,-23.72,-16.10,3.02,24.82,1.96,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,3.95,4.98,14.85,-1.11,-2.13,-2.65,-3.65,-5.37,-2.52,-1.71,0.32,2.64,0.21,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1110,,,,1114,,,,1063,,,,1282,395,671,698,884,928,895,768,992,,,,,
Profit & Loss,Expenses,939,,,,1022,,,,1086,,,,1135,334,448,663,842,853,823,698,760,,,,,
Profit & Loss,Operating Profit,171,,,,93,,,,-23,,,,147,61,223,35,42,74,72,71,231,,,,,
Profit & Loss,OPM %,15%,,,,8%,,,,-2%,,,,11%,15%,33%,5%,5%,8%,8%,9%,23%,,,,,
Profit & Loss,Other Income,60,,,,137,,,,26,,,,17,1,1,6,5,5,3,5,8,,,,,
Profit & Loss,Interest,25,,,,36,,,,70,,,,67,6,13,35,26,35,37,36,19,,,,,
Profit & Loss,Depreciation,37,,,,44,,,,68,,,,69,14,18,27,29,30,32,32,35,,,,,
Profit & Loss,Profit before tax,169,,,,149,,,,-135,,,,28,41,193,-21,-8,14,5,7,185,,,,,
Profit & Loss,Tax %,19%,,,,8%,,,,-10%,,,,51%,33%,33%,-34%,-32%,41%,21%,33%,26%,,,,,
Profit & Loss,Net Profit,137,,,,137,,,,-121,,,,14,28,129,-14,-5,8,4,5,137,,,,,
Profit & Loss,EPS in Rs,16.39,,,,16.42,,,,-12.88,,,,1.46,4.43,20.58,-2.21,-0.84,1.33,0.61,0.55,16.49,,,,,
Profit & Loss,Dividend Payout %,20%,,,,3%,,,,0%,,,,0%,23%,19%,0%,0%,38%,0%,0%,21%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,42,,,,42,,,,47,,,,47,31,31,31,31,31,31,42,42,,,,,
Balance Sheet,Reserves,580,,,,702,,,,671,,,,726,146,246,232,226,232,241,250,470,,,,,
Balance Sheet,Borrowings,639,,,,816,,,,773,,,,660,54,224,304,335,363,376,316,208,,,,,
Balance Sheet,Other Liabilities,168,,,,155,,,,153,,,,140,69,122,60,60,72,67,80,142,,,,,
Balance Sheet,Total Liabilities,1428,,,,1715,,,,1643,,,,1573,301,623,627,652,698,714,688,862,,,,,
Balance Sheet,Fixed Assets,390,,,,979,,,,989,,,,977,136,363,350,376,390,399,385,377,,,,,
Balance Sheet,CWIP,435,,,,79,,,,83,,,,39,37,5,17,5,18,12,23,76,,,,,
Balance Sheet,Investments,0,,,,154,,,,69,,,,75,0,1,1,0,0,0,0,1,,,,,
Balance Sheet,Other Assets,604,,,,503,,,,502,,,,482,129,254,258,272,290,303,280,407,,,,,
Balance Sheet,Total Assets,1428,,,,1715,,,,1643,,,,1573,301,623,627,652,698,714,688,862,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,62,,,,58,,,,44,,,,112,46,83,47,23,52,68,81,146,,,,,
Cash Flows,Cash from Investing Activity,-392,,,,-199,,,,42,,,,-56,-54,-222,-36,-27,-57,-36,-20,-147,,,,,
