Section,,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,TTM,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,32.39,28.46,28.42,27.50,32.79,33.04,34.38,35.90,39.26,43.13,43.82,42.14,43.11,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,30.36,27.62,26.91,28.05,30.79,27.79,29.75,33.24,34.55,37.04,36.60,34.07,32.59,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,2.03,0.84,1.51,-0.55,2.00,5.25,4.63,2.66,4.71,6.09,7.22,8.07,10.52,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,6.27%,2.95%,5.31%,-2.00%,6.10%,15.89%,13.47%,7.41%,12.00%,14.12%,16.48%,19.15%,24.40%,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,1.89,1.88,2.19,1.78,2.56,0.30,0.70,0.71,0.56,0.58,0.78,0.92,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,1.22,1.35,2.15,1.63,1.20,1.71,0.89,1.36,2.20,2.54,4.13,5.93,7.49,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.98,0.96,0.93,0.88,0.74,0.84,0.69,0.61,0.56,0.53,0.48,0.49,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,1.72,0.41,0.62,-1.28,2.62,3.00,3.75,1.40,2.51,3.60,3.39,2.57,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,0.00%,0.00%,109.68%,0.00%,0.00%,0.00%,21.60%,8.57%,42.63%,20.83%,32.45%,21.79%,32.29%,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,1.71,0.42,-0.06,-1.28,2.61,3.00,2.95,1.28,1.45,2.85,2.29,2.02,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.31,0.08,-0.01,-0.23,0.47,0.54,0.53,0.23,0.26,0.51,0.41,0.36,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,127,,,,133,,,,164,,,67,125,87,116,124,97,94,80,126,172,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,112,,,,115,,,,140,,,50,78,74,87,114,100,95,83,112,140,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,14,,,,17,,,,24,,,17,48,13,29,10,-3,-1,-3,14,32,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,11%,,,,13%,,,,15%,,,25%,38%,15%,25%,8%,-3%,-2%,-3%,11%,19%,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,1,,,,0,,,,0,,,2,0,0,1,-8,-2,-1,0,0,3,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,8,,,,6,,,,9,,,3,8,6,3,6,6,5,3,3,20,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,4,,,,3,,,,2,,,3,4,5,6,8,8,8,6,6,2,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,4,,,,8,,,,13,,,13,36,2,21,-12,-19,-15,-12,6,13,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,17%,,,,10%,,,,21%,,,35%,38%,41%,38%,-30%,-7%,0%,0%,-5%,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,3,,,,7,,,,10,,,8,22,1,13,-8,-18,-15,-12,6,10,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,0.60,,,,1.31,,,,1.79,,,1.52,3.97,0.22,2.29,-1.52,-3.22,-2.76,-2.12,1.06,1.70,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,0%,,,,0%,,,,0%,,,26%,20%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,6,,,,6,,,,6,,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,19,,,,27,,,,39,,11,22,38,39,52,55,38,22,19,16,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,85,,,,45,,,,232,,269,43,40,5,39,33,58,62,20,79,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,145,,,,209,,,,258,,209,83,125,92,163,118,135,110,168,128,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,255,,,,286,,,,535,,495,154,209,142,260,212,237,200,212,228,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,7,,,,7,,,,6,,6,24,33,36,36,42,37,28,21,8,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,0,,,,0,,,,1,,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,0,,,,0,,,,24,,0,0,0,0,0,10,0,0,0,0,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,248,,,,278,,,,504,,488,129,175,105,222,159,200,172,190,220,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,255,,,,286,,,,535,,495,154,209,142,260,212,237,200,212,228,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,-20,,,,51,,,,-174,,,25,56,-28,13,-5,-16,-1,-16,-21,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,20,,,,-2,,,,-23,,,-4,-10,-5,-31,2,-9,-11,58,-35,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,-1,,,,-46,,,,188,,,-15,-14,0,32,1,20,-1,-34,57,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,-1,,,,3,,,,-10,,,6,33,-32,15,-3,-6,-13,8,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,388,,,,407,,,,296,,,288,167,118,233,109,262,202,402,265,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,2729,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,388,,,,407,,,,296,,,288,167,-2607,233,109,262,202,402,265,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,39,,,,-97,,,,45,,,15,-126,-135,-82,-115,-117,-129,-148,-9,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,11%,,,,15%,,,,12%,,,24%,57%,11%,32%,3%,-12%,-10%,-12%,12%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,,,,,,,,,,,73.70%,73.70%,73.60%,73.60%,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.11%,0.06%,0.00%,0.10%,0.07%,0.00%,0.03%,0.91%,0.02%,0.29%,0.02%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.23%,0.05%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,,,,,,,,,,,26.30%,26.19%,26.34%,26.40%,26.37%,26.39%,26.48%,26.45%,25.57%,26.46%,25.95%,26.40%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,,,,,,,,,,,44496,43644,43094,42860,42694,41565,41329,42819,43880,45841,43041,44333,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,75.00%,,,,74.03%,,,,,,,,,,,,,,,,73.60%,,,,73.53%,,,,73.53%,73.80%,73.80%,73.80%,73.70%
Shareholding Pattern (Yearly),FIIs,,,,,,,0.00%,,,,0.00%,,,,,,,,,,,,,,,,0.00%,,,,0.03%,,,,0.02%,0.00%,0.00%,0.00%,0.15%
Shareholding Pattern (Yearly),DIIs,,,,,,,0.00%,,,,0.12%,,,,,,,,,,,,,,,,0.00%,,,,0.00%,,,,0.05%,0.01%,0.09%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,,25.00%,,,,25.84%,,,,,,,,,,,,,,,,26.40%,,,,26.45%,,,,26.40%,26.19%,26.11%,26.20%,26.15%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,10090,,,,26898,,,,,,,,,,,,,,,,42860,,,,42819,,,,44333,27602,27776,33685,44398
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
