Section,,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,TTM,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022
Quarterly Results,Sales,56.36,6.52,6.81,7.92,2.66,6.03,0.18,10.98,4.65,25.98,0.90,1.98,3.80,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,11.94,11.66,9.09,11.93,8.78,7.52,3.26,10.32,4.12,12.70,4.11,3.77,4.21,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,44.42,-5.14,-2.28,-4.01,-6.12,-1.49,-3.08,0.66,0.53,13.28,-3.21,-1.79,-0.41,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,78.81%,-78.83%,-33.48%,-50.63%,-230.08%,-24.71%,-1711.11%,6.01%,11.40%,51.12%,-356.67%,-90.40%,-10.79%,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,-8.76,18.70,0.34,0.16,22.65,0.37,0.08,2.70,0.08,-1.90,0.76,5.43,0.03,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,5.43,0.69,3.26,4.02,2.31,1.23,1.10,1.15,1.03,0.96,0.99,1.18,1.03,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.16,0.16,0.27,0.22,0.27,0.25,0.11,0.12,0.12,0.12,0.11,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,30.07,12.71,-5.47,-8.09,13.95,-2.60,-4.21,2.09,-0.54,10.30,-3.55,2.32,-1.55,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,0.00%,5.04%,0.00%,-7.91%,0.00%,0.77%,0.00%,0.00%,0.00%,0.00%,0.00%,26.29%,0.00%,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,30.08,12.08,-5.47,-7.45,13.95,-2.62,-4.21,2.08,-0.54,10.30,-3.55,1.72,-1.55,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,17.08,6.86,-3.11,-4.23,7.92,-1.49,-2.39,1.18,-0.31,5.85,-2.02,0.98,-0.88,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,76.08,,,,23.42,,,,41.79,,,,86.47,96.08,71.34,68.90,70.29,51.59,44.73,36.96,81.92,32.66,,,,,,,,,,,,,
Profit & Loss,Expenses,,41.36,,,,37.29,,,,30.36,,,,115.49,130.04,77.40,83.65,71.27,59.40,56.97,53.66,71.33,24.79,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,34.72,,,,-13.87,,,,11.43,,,,-29.02,-33.96,-6.06,-14.75,-0.98,-7.81,-12.24,-16.70,10.59,7.87,,,,,,,,,,,,,
Profit & Loss,OPM %,,45.64%,,,,-59.22%,,,,27.35%,,,,-33.56%,-35.35%,-8.49%,-21.41%,-1.39%,-15.14%,-27.36%,-45.18%,12.93%,24.10%,,,,,,,,,,,,,
Profit & Loss,Other Income,,9.80,,,,23.52,,,,0.95,,,,32.86,18.26,0.75,-4.27,13.68,1.25,1.30,15.62,11.10,4.32,,,,,,,,,,,,,
Profit & Loss,Interest,,15.99,,,,10.85,,,,4.28,,,,13.48,16.87,28.45,53.35,45.99,25.43,24.71,27.45,24.55,4.16,,,,,,,,,,,,,
Profit & Loss,Depreciation,,0.62,,,,1.01,,,,0.47,,,,2.03,1.53,1.05,1.25,1.09,1.21,1.04,0.87,0.75,0.51,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,27.91,,,,-2.21,,,,7.63,,,,-11.67,-34.10,-34.81,-73.62,-34.38,-33.20,-36.69,-29.40,-3.61,7.52,,,,,,,,,,,,,
Profit & Loss,Tax %,,2.29%,,,,-28.05%,,,,0.00%,,,,0.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,124.10%,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,27.26,,,,-1.59,,,,7.63,,,,-11.71,-34.10,-34.81,-73.62,-34.37,-33.20,-36.69,-29.40,-8.09,6.92,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,15.48,,,,-0.90,,,,4.33,,,,-6.65,-19.37,-19.77,-41.81,-19.52,-17.58,-20.84,-16.70,-4.59,3.93,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,17.59,,,,17.59,,,,17.59,,17.59,,17.59,17.59,17.59,17.59,17.59,17.59,17.59,17.59,17.59,,,,,,,,,,,,,,
Balance Sheet,Reserves,,-225.54,,,,-231.61,,,,-221.52,,-222.85,,27.21,-8.01,-43.14,-116.99,-151.60,-186.84,-223.41,-242.47,-252.51,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,0.00,,,,2.00,,,,2.00,,2.33,,97.76,143.40,356.66,351.61,168.55,59.92,48.95,47.40,0.00,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,401.60,,,,386.37,,,,350.54,,351.63,,140.42,209.89,227.84,278.49,404.70,456.77,455.75,488.10,502.04,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,193.65,,,,174.35,,,,148.61,,148.70,,282.98,362.87,558.95,530.70,439.24,347.44,298.88,310.62,267.12,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,15.15,,,,8.38,,,,7.93,,7.38,,26.60,25.04,26.97,26.09,25.06,19.71,18.93,18.07,15.78,,,,,,,,,,,,,,
Balance Sheet,CWIP,,0.32,,,,0.00,,,,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,,,,,,,,,,,,,,
Balance Sheet,Investments,,11.38,,,,2.26,,,,1.19,,1.70,,6.29,6.29,6.29,6.29,6.29,6.29,6.29,12.12,11.72,,,,,,,,,,,,,,
