Section,,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,,,
Quarterly Results,Expenses,,,,,,,
Quarterly Results,Operating Profit,,,,,,,
Quarterly Results,OPM %,,,,,,,
Quarterly Results,Other Income,,,,,,,
Quarterly Results,Interest,,,,,,,
Quarterly Results,Depreciation,,,,,,,
Quarterly Results,Profit before tax,,,,,,,
Quarterly Results,Tax %,,,,,,,
Quarterly Results,Net Profit,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,
Quarterly Results,Raw PDF,,,,,,,
,,,,,,,,
Profit & Loss,Sales,,,,,,,
Profit & Loss,Expenses,,,,,,,
Profit & Loss,Operating Profit,,,,,,,
Profit & Loss,OPM %,,,,,,,
Profit & Loss,Other Income,,,,,,,
Profit & Loss,Interest,,,,,,,
Profit & Loss,Depreciation,,,,,,,
Profit & Loss,Profit before tax,,,,,,,
Profit & Loss,Tax %,,,,,,,
Profit & Loss,Net Profit,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,
,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,
Balance Sheet,Reserves,,,,,,,
Balance Sheet,Borrowings,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,
Balance Sheet,CWIP,,,,,,,
Balance Sheet,Investments,,,,,,,
Balance Sheet,Other Assets,,,,,,,
Balance Sheet,Total Assets,,,,,,,
,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,
,,,,,,,,
Ratios,Debtor Days,,,,,,,
Ratios,Inventory Days,,,,,,,
Ratios,Days Payable,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,
Ratios,Working Capital Days,,,,,,,
Ratios,ROCE %,,,,,,,
,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,67.81%,67.81%,67.81%,67.81%,67.81%,67.81%,67.81%
Shareholding Pattern (Quarterly),FIIs,4.66%,3.06%,1.11%,1.08%,0.10%,0.89%,0.17%
Shareholding Pattern (Quarterly),DIIs,4.94%,4.96%,4.16%,4.08%,4.10%,4.14%,4.09%
Shareholding Pattern (Quarterly),Government,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.24%
Shareholding Pattern (Quarterly),Public,22.59%,24.17%,26.90%,27.02%,27.99%,26.90%,27.68%
Shareholding Pattern (Quarterly),No. of Shareholders,49189,71442,84560,97471,114344,122627,127958
,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,67.81%,,,,67.81%
Shareholding Pattern (Yearly),FIIs,,,1.11%,,,,0.17%
Shareholding Pattern (Yearly),DIIs,,,4.16%,,,,4.09%
Shareholding Pattern (Yearly),Government,,,0.00%,,,,0.24%
Shareholding Pattern (Yearly),Public,,,26.90%,,,,27.68%
Shareholding Pattern (Yearly),No. of Shareholders,,,84560,,,,127958
,,,,,,,,
