Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Sales,291,279,346,385,455,501,557,605,649,718,752,821,957,,,,,,,,,
Quarterly Results,Expenses,146,113,132,182,193,225,252,270,276,325,289,293,336,,,,,,,,,
Quarterly Results,Operating Profit,145,166,213,203,262,276,305,335,372,392,463,528,621,,,,,,,,,
Quarterly Results,OPM %,50%,59%,62%,53%,58%,55%,55%,55%,57%,55%,62%,64%,65%,,,,,,,,,
Quarterly Results,Other Income,5,1,1,0,0,0,0,1,1,0,1,1,1,,,,,,,,,
Quarterly Results,Interest,92,102,126,140,164,177,196,221,243,271,311,333,358,,,,,,,,,
Quarterly Results,Depreciation,4,3,7,15,19,16,23,25,24,23,25,26,29,,,,,,,,,
Quarterly Results,Profit before tax,56,61,81,48,78,84,86,89,107,99,128,171,236,,,,,,,,,
Quarterly Results,Tax %,25%,24%,30%,22%,17%,24%,24%,24%,22%,23%,24%,25%,25%,,,,,,,,,
Quarterly Results,Net Profit,42,46,56,37,65,64,65,68,83,76,97,128,178,,,,,,,,,
Quarterly Results,EPS in Rs,0.51,0.56,0.68,0.45,0.79,0.77,0.79,0.82,1.00,0.92,1.18,1.55,2.15,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,969,,,,1465,,,,2313,,,,3248,162,198,189,229,351,589,717,737,
Profit & Loss,Expenses,368,,,,620,,,,1023,,,,1242,41,48,120,97,140,191,203,201,
Profit & Loss,Operating Profit,602,,,,845,,,,1290,,,,2005,121,150,69,132,211,398,514,536,
Profit & Loss,OPM %,62%,,,,58%,,,,56%,,,,62%,75%,76%,37%,58%,60%,68%,72%,73%,
Profit & Loss,Other Income,12,,,,1,,,,1,,,,3,6,8,2,6,1,3,2,0,
Profit & Loss,Interest,332,,,,534,,,,837,,,,1274,2,5,12,38,97,207,283,290,
Profit & Loss,Depreciation,10,,,,44,,,,88,,,,102,3,4,3,4,6,7,11,11,
Profit & Loss,Profit before tax,273,,,,268,,,,366,,,,633,123,149,56,96,108,187,222,236,
Profit & Loss,Tax %,25%,,,,24%,,,,24%,,,,24%,33%,36%,22%,39%,40%,27%,27%,25%,
Profit & Loss,Net Profit,205,,,,205,,,,279,,,,479,82,95,44,58,65,136,161,177,
Profit & Loss,EPS in Rs,2.49,,,,2.48,,,,3.39,,,,5.80,1.00,1.16,0.53,0.71,0.79,1.65,1.96,2.15,
Profit & Loss,Dividend Payout %,4%,,,,5%,,,,4%,,,,3%,6%,6%,12%,9%,8%,5%,2%,4%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,35,,,,41,,,,82,,,,83,35,35,35,35,35,35,35,35,
Balance Sheet,Reserves,1887,,,,3524,,,,3754,,,,4222,941,1030,1068,1126,1217,1348,1504,1682,
Balance Sheet,Borrowings,4808,,,,7511,,,,10407,,,,15577,0,50,141,728,1566,2769,2837,3774,
Balance Sheet,Other Liabilities,422,,,,725,,,,906,,,,950,15,49,77,98,153,126,66,322,
Balance Sheet,Total Liabilities,7153,,,,11801,,,,15150,,,,20831,991,1164,1320,1986,2971,4277,4441,5813,
Balance Sheet,Fixed Assets,34,,,,291,,,,350,,,,344,12,9,8,13,15,14,32,28,
Balance Sheet,CWIP,2,,,,17,,,,19,,,,0,0,0,0,0,0,0,0,0,
Balance Sheet,Investments,377,,,,216,,,,216,,,,160,31,117,110,68,56,9,361,807,
Balance Sheet,Other Assets,6739,,,,11278,,,,14565,,,,20326,948,1038,1202,1905,2900,4254,4048,4978,
Balance Sheet,Total Assets,7153,,,,11801,,,,15150,,,,20831,991,1164,1320,1986,2971,4277,4441,5813,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-1341,,,,-3007,,,,-3700,,,,-4312,-102,59,-73,-511,-857,-1115,210,-319,
Cash Flows,Cash from Investing Activity,467,,,,65,,,,-7,,,,60,102,-88,2,46,40,41,-352,-465,
Cash Flows,Cash from Financing Activity,1026,,,,4096,,,,2870,,,,5118,-6,44,69,460,835,1196,54,892,
Cash Flows,Net Cash Flow,152,,,,1154,,,,-837,,,,867,-6,15,-1,-6,18,122,-88,108,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,3,,,,8,,,,22,,,,7,20,48,16,1,1,5,0,1,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,3,,,,8,,,,22,,,,7,20,48,16,1,1,5,0,1,
Ratios,Working Capital Days,-130,,,,-121,,,,-80,,,,-75,892,553,293,101,-153,-54,-18,-139,
Ratios,ROCE %,10%,,,,9%,,,,10%,,,,11%,13%,15%,6%,9%,9%,11%,12%,11%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,74.68%,74.64%,69.91%,69.91%,69.91%,69.88%,69.88%,69.88%,69.88%,69.87%,69.87%,,,,,,,,,59.95%
Shareholding Pattern (Quarterly),FIIs,,,0.09%,0.34%,0.21%,0.08%,0.63%,0.81%,0.85%,1.01%,1.07%,1.04%,0.98%,,,,,,,,,4.67%
Shareholding Pattern (Quarterly),DIIs,,,8.32%,11.53%,13.62%,14.34%,14.35%,14.15%,14.18%,14.10%,14.55%,14.51%,14.52%,,,,,,,,,21.86%
Shareholding Pattern (Quarterly),Public,,,16.90%,13.50%,16.27%,15.68%,15.11%,15.17%,15.09%,15.00%,14.51%,14.59%,14.62%,,,,,,,,,13.53%
Shareholding Pattern (Quarterly),No. of Shareholders,,,9667,8800,7353,7432,7053,7261,29874,31030,30984,32211,49562,,,,,,,,,50591
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,74.72%,,,,69.91%,,,,69.88%,,,,69.87%,,,,73.92%,74.94%,74.94%,74.94%,74.87%,59.95%
Shareholding Pattern (Yearly),FIIs,0.10%,,,,0.21%,,,,0.85%,,,,0.98%,,,,9.08%,7.88%,3.25%,3.43%,0.78%,4.67%
Shareholding Pattern (Yearly),DIIs,6.72%,,,,13.62%,,,,14.18%,,,,14.52%,,,,0.00%,0.06%,0.01%,0.00%,2.98%,21.86%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,18.46%,,,,16.27%,,,,15.09%,,,,14.62%,,,,17.00%,17.10%,21.80%,21.63%,21.36%,13.53%
Shareholding Pattern (Yearly),No. of Shareholders,9494,,,,7353,,,,29874,,,,49562,,,,4189,7445,5291,4441,5266,50591
,,,,,,,,,,,,,,,,,,,,,,,
