Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2014,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2016
Quarterly Results,Sales,13.86,9.12,6.93,7.10,8.26,11.30,5.99,8.16,6.72,7.47,6.79,5.70,4.65,,,,,,,,,
Quarterly Results,Expenses,42.20,27.25,23.31,23.90,30.41,22.32,21.39,24.86,20.29,17.78,19.98,19.85,18.77,,,,,,,,,
Quarterly Results,Operating Profit,-28.34,-18.13,-16.38,-16.80,-22.15,-11.02,-15.40,-16.70,-13.57,-10.31,-13.19,-14.15,-14.12,,,,,,,,,
Quarterly Results,OPM %,-204.47%,-198.79%,-236.36%,-236.62%,-268.16%,-97.52%,-257.10%,-204.66%,-201.93%,-138.02%,-194.26%,-248.25%,-303.66%,,,,,,,,,
Quarterly Results,Other Income,10.27,9.70,6.75,4.01,16.77,5.42,20.50,7.61,8.25,6.33,5.55,9.05,10.37,,,,,,,,,
Quarterly Results,Interest,2.32,1.40,0.32,0.12,0.09,0.15,0.12,0.07,0.03,0.04,0.07,0.03,0.03,,,,,,,,,
Quarterly Results,Depreciation,0.18,0.15,0.14,0.16,0.13,0.14,0.14,0.14,0.12,0.11,0.13,0.12,0.12,,,,,,,,,
Quarterly Results,Profit before tax,-20.57,-9.98,-10.09,-13.07,-5.60,-5.89,4.84,-9.30,-5.47,-4.13,-7.84,-5.25,-3.90,,,,,,,,,
Quarterly Results,Tax %,5.93%,0.00%,0.00%,0.00%,0.89%,0.00%,0.00%,0.00%,1.10%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
Quarterly Results,Net Profit,-21.79,-9.98,-10.09,-13.07,-5.65,-5.89,4.84,-9.30,-5.53,-4.13,-7.84,-5.25,-3.90,,,,,,,,,
Quarterly Results,EPS in Rs,-0.66,-0.30,-0.31,-0.40,-0.17,-0.18,0.15,-0.28,-0.17,-0.13,-0.24,-0.16,-0.12,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,69,,,,31,,,,32,,,,25,7848,6220,3656,3225,3565,3875,1815,353,
Profit & Loss,Expenses,170,,,,103,,,,88,,,,76,7991,6317,3846,3434,4304,4011,2033,601,
Profit & Loss,Operating Profit,-100,,,,-71,,,,-56,,,,-52,-142,-97,-190,-208,-739,-137,-218,-248,
Profit & Loss,OPM %,-144%,,,,-227%,,,,-173%,,,,-210%,-2%,-2%,-5%,-6%,-21%,-4%,-12%,-70%,
Profit & Loss,Other Income,143,,,,37,,,,42,,,,31,186,130,138,135,99,140,243,113,
Profit & Loss,Interest,16,,,,4,,,,2,,,,0,177,155,135,152,141,123,90,56,
Profit & Loss,Depreciation,1,,,,1,,,,1,,,,0,52,52,32,31,27,12,9,4,
Profit & Loss,Profit before tax,26,,,,-39,,,,-16,,,,-21,-186,-174,-219,-257,-809,-132,-74,-195,
Profit & Loss,Tax %,5%,,,,0%,,,,0%,,,,0%,15%,6%,-2%,-4%,1%,2%,84%,1%,
Profit & Loss,Net Profit,25,,,,-39,,,,-16,,,,-21,-215,-185,-214,-248,-814,-135,-136,-197,
Profit & Loss,EPS in Rs,0.74,,,,-1.18,,,,-0.48,,,,-0.64,-6.52,-5.61,-6.51,-7.53,-24.72,-4.11,-4.14,-5.98,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,66,,,,66,,,,66,,,,66,45,45,,45,66,66,66,66,45
Balance Sheet,Reserves,-281,,,,-319,,,,-335,,,,-357,1398,1213,,505,170,38,-108,-306,759
Balance Sheet,Borrowings,414,,,,355,,,,355,,,,355,1112,1251,,1337,1252,898,505,538,1281
Balance Sheet,Other Liabilities,292,,,,404,,,,370,,,,369,1951,1438,,1297,1390,989,584,352,1481
Balance Sheet,Total Liabilities,491,,,,506,,,,456,,,,433,4506,3947,,3184,2877,1992,1047,649,3566
Balance Sheet,Fixed Assets,4,,,,3,,,,3,,,,2,909,811,,638,165,142,55,36,727
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,11,1,,5,2,0,0,0,4
Balance Sheet,Investments,97,,,,44,,,,26,,,,36,175,235,,121,122,0,0,0,50
Balance Sheet,Other Assets,390,,,,459,,,,427,,,,395,3411,2900,,2420,2587,1850,992,614,2784
Balance Sheet,Total Assets,491,,,,506,,,,456,,,,433,4506,3947,,3184,2877,1992,1047,649,3566
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,101,,,,74,,,,-36,,,,-28,-798,-369,,77,-351,441,62,-15,-186
Cash Flows,Cash from Investing Activity,21,,,,-14,,,,31,,,,23,842,288,,-3,94,11,393,20,349
Cash Flows,Cash from Financing Activity,-139,,,,-62,,,,-0,,,,-0,-138,-2,,-135,235,-477,-490,-22,-88
Cash Flows,Net Cash Flow,-17,,,,-2,,,,-6,,,,-5,-95,-84,,-61,-22,-25,-35,-16,75
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,145,,,,295,,,,210,,,,246,40,51,,146,132,54,39,90,155
Ratios,Inventory Days,18,,,,,,,,,,,,,25,20,,22,37,10,6,5,30
Ratios,Days Payable,2594,,,,,,,,,,,,,81,83,,113,105,69,78,236,110
Ratios,Cash Conversion Cycle,-2431,,,,295,,,,210,,,,246,-16,-12,,55,64,-6,-33,-141,74
Ratios,Working Capital Days,-920,,,,-3955,,,,-3641,,,,-4327,19,42,,11,48,-12,-14,-85,64
Ratios,ROCE %,-24%,,,,-32%,,,,-28%,,,,-36%,-2%,-2%,,-5%,-38%,-1%,0%,-37%,-4%
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,62.89%,62.89%,62.89%,62.89%,62.89%,62.89%,62.89%,62.89%,62.89%,62.89%,62.89%,62.89%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.00%,0.00%,0.06%,0.16%,0.01%,0.01%,0.00%,0.00%,0.00%,0.01%,0.00%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.16%,0.15%,0.15%,0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.04%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,36.95%,36.97%,36.95%,36.88%,36.94%,37.09%,37.09%,37.10%,37.11%,37.10%,37.04%,37.05%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,190341,191605,190648,190761,190249,189514,190061,189824,189806,190235,190980,193251,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,62.89%,,,,62.89%,,,,62.89%,,,,62.89%,,,,58.04%,62.89%,62.89%,62.89%,62.89%,
Shareholding Pattern (Yearly),FIIs,0.02%,,,,0.06%,,,,0.00%,,,,0.00%,,,,1.93%,1.17%,0.55%,0.00%,0.00%,
Shareholding Pattern (Yearly),DIIs,0.16%,,,,0.15%,,,,0.00%,,,,0.04%,,,,2.00%,1.74%,1.66%,1.06%,0.79%,
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.12%,0.20%,0.00%,0.00%,
Shareholding Pattern (Yearly),Public,36.94%,,,,36.88%,,,,37.10%,,,,37.05%,,,,38.03%,34.08%,34.70%,36.05%,36.32%,
