Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,113,132,136,138,143,175,183,182,184,238,242,237,222,,,
Quarterly Results,Expenses,67,76,76,76,82,102,105,103,111,139,138,130,131,,,
Quarterly Results,Operating Profit,46,56,60,62,61,73,77,80,73,98,104,107,91,,,
Quarterly Results,OPM %,41%,42%,44%,45%,43%,42%,42%,44%,40%,41%,43%,45%,41%,,,
Quarterly Results,Other Income,2,2,2,2,4,3,6,5,13,8,7,7,19,,,
Quarterly Results,Interest,1,1,1,1,1,1,2,2,2,1,3,4,4,,,
Quarterly Results,Depreciation,3,4,4,4,4,5,5,5,5,6,6,7,7,,,
Quarterly Results,Profit before tax,44,53,58,58,60,71,78,78,79,99,102,104,99,,,
Quarterly Results,Tax %,21%,25%,25%,26%,28%,25%,26%,26%,28%,26%,25%,26%,26%,,,
Quarterly Results,Net Profit,35,40,43,43,43,53,58,58,57,73,76,77,74,,,
Quarterly Results,EPS in Rs,4.15,4.77,5.15,5.18,5.11,6.36,6.89,6.92,6.76,8.83,9.17,9.28,8.85,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,424,,,,559,,,,752,,,,980,280,336,273
Profit & Loss,Expenses,240,,,,310,,,,421,,,,539,179,225,195
Profit & Loss,Operating Profit,184,,,,249,,,,331,,,,441,102,110,78
Profit & Loss,OPM %,43%,,,,45%,,,,44%,,,,45%,36%,33%,28%
Profit & Loss,Other Income,1,,,,0,,,,0,,,,1,4,1,6
Profit & Loss,Interest,2,,,,4,,,,6,,,,12,6,3,3
Profit & Loss,Depreciation,16,,,,17,,,,19,,,,25,16,21,17
Profit & Loss,Profit before tax,168,,,,228,,,,306,,,,405,83,87,64
Profit & Loss,Tax %,24%,,,,26%,,,,26%,,,,26%,30%,29%,29%
Profit & Loss,Net Profit,127,,,,169,,,,226,,,,301,58,62,45
Profit & Loss,EPS in Rs,15.20,,,,20.19,,,,26.88,,,,36.12,11.01,11.35,8.20
Profit & Loss,Dividend Payout %,36%,,,,30%,,,,26%,,,,39%,0%,0%,31%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,21,,,,21,,,,21,,,,42,13,14,14
Balance Sheet,Reserves,323,,,,447,,,,628,,,,632,110,172,228
Balance Sheet,Borrowings,39,,,,37,,,,52,,,,79,1,42,33
Balance Sheet,Other Liabilities,97,,,,119,,,,179,,,,208,106,182,65
Balance Sheet,Total Liabilities,480,,,,624,,,,880,,,,961,231,409,339
Balance Sheet,Fixed Assets,124,,,,136,,,,152,,,,188,50,74,54
Balance Sheet,CWIP,0,,,,0,,,,1,,,,0,32,65,69
Balance Sheet,Investments,104,,,,106,,,,112,,,,244,75,103,104
Balance Sheet,Other Assets,253,,,,383,,,,614,,,,530,75,166,111
Balance Sheet,Total Assets,480,,,,624,,,,880,,,,961,231,409,339
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,146,,,,84,,,,278,,,,244,67,140,-18
Cash Flows,Cash from Investing Activity,-77,,,,-42,,,,-237,,,,46,-42,-152,74
Cash Flows,Cash from Financing Activity,-46,,,,-64,,,,-72,,,,-279,-14,28,-19
Cash Flows,Net Cash Flow,22,,,,-22,,,,-32,,,,11,11,17,37
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,13,,,,11,,,,14,,,,13,14,10,15
Ratios,Inventory Days,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,13,,,,11,,,,14,,,,13,14,10,15
Ratios,Working Capital Days,26,,,,117,,,,202,,,,111,-57,-34,-26
Ratios,ROCE %,50%,,,,51%,,,,51%,,,,56%,,48%,25%
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,48.82%,48.74%,48.74%,48.74%,48.75%,48.69%,48.20%,48.02%,48.09%,47.99%,47.99%,47.29%,,,
