Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,74.21%,74.21%,74.21%,74.21%,74.21%,74.21%,74.21%,74.21%,74.21%,73.37%,73.37%,73.37%,,,
Shareholding Pattern (Quarterly),FIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.07%,0.32%,0.09%,0.00%,0.00%,,,
Shareholding Pattern (Quarterly),DIIs,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,,,
Shareholding Pattern (Quarterly),Public,25.68%,25.79%,25.79%,25.79%,25.79%,25.79%,25.73%,25.68%,25.47%,26.54%,26.63%,26.63%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,4262,5071,5676,5585,5686,5902,7020,7403,8022,8757,17189,15472,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,74.21%,,,,74.21%,,,,73.37%,73.12%,73.86%,74.21%
Shareholding Pattern (Yearly),FIIs,,,,0.00%,,,,0.07%,,,,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,,0.00%,,,,0.05%,,,,0.00%,0.00%,0.00%,0.05%
Shareholding Pattern (Yearly),Public,,,,25.79%,,,,25.68%,,,,26.63%,26.88%,26.14%,25.75%
Shareholding Pattern (Yearly),No. of Shareholders,,,,5585,,,,7403,,,,15472,400,289,4034
,,,,,,,,,,,,,,,,
