Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Jan 2025
Quarterly Results,Sales,485,399,418,414,415,425,371,377,374,349,340,352,210,,,,,,,
Quarterly Results,Expenses,365,324,305,305,315,351,288,369,316,300,246,263,384,,,,,,,
Quarterly Results,Operating Profit,119,75,113,109,101,73,83,7,58,49,93,88,-174,,,,,,,
Quarterly Results,OPM %,25%,19%,27%,26%,24%,17%,22%,2%,15%,14%,28%,25%,-83%,,,,,,,
Quarterly Results,Other Income,8,6,10,7,9,10,8,12,10,8,12,16,4,,,,,,,
Quarterly Results,Interest,61,72,35,34,35,39,37,37,38,37,36,36,38,,,,,,,
Quarterly Results,Depreciation,65,65,59,58,56,57,54,54,53,53,49,48,44,,,,,,,
Quarterly Results,Profit before tax,2,-56,28,23,19,-13,1,-71,-23,-32,20,21,-252,,,,,,,
Quarterly Results,Tax %,634%,-14%,32%,11%,35%,20%,36%,-14%,-32%,-86%,32%,27%,-23%,,,,,,,
Quarterly Results,Net Profit,-9,-48,19,21,12,-15,1,-61,-15,-4,14,15,-194,,,,,,,
Quarterly Results,EPS in Rs,-0.78,-3.98,1.58,1.70,1.02,-1.27,0.05,-5.02,-1.27,-0.37,1.14,1.24,-15.17,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,1772,,,,1671,,,,1471,,,,1308,1473,1806,1800,1759,1250,
Profit & Loss,Expenses,,1361,,,,1273,,,,1273,,,,1154,1262,1376,1336,1321,1193,
Profit & Loss,Operating Profit,,411,,,,398,,,,197,,,,154,211,429,465,437,57,
Profit & Loss,OPM %,,23%,,,,24%,,,,13%,,,,12%,14%,24%,26%,25%,5%,
Profit & Loss,Other Income,,24,,,,34,,,,38,,,,15,9,13,30,38,40,
Profit & Loss,Interest,,250,,,,144,,,,148,,,,78,83,137,130,133,147,
Profit & Loss,Depreciation,,252,,,,231,,,,213,,,,100,113,227,245,260,193,
Profit & Loss,Profit before tax,,-67,,,,58,,,,-125,,,,-10,24,79,120,82,-243,
Profit & Loss,Tax %,,24%,,,,36%,,,,-36%,,,,109%,73%,16%,31%,34%,,
Profit & Loss,Net Profit,,-82,,,,37,,,,-80,,,,-22,6,66,83,55,-170,
Profit & Loss,EPS in Rs,,-6.79,,,,3.04,,,,-6.60,,,,-1.79,0.52,5.50,6.89,4.55,-13.16,
