Section,,Sep 2021,Jun 2022,Sep 2022,Mar 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,13.63,17.87,13.84,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,13.16,18.69,13.44,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,0.47,-0.82,0.40,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,3.45%,-4.59%,2.89%,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.04,0.04,0.10,,,,,,,,,,,,,,,,
Quarterly Results,Interest,0.95,0.65,0.75,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.45,0.45,0.45,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,-0.89,-1.88,-0.70,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,-0.89,-1.88,-0.70,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,-1.87,-3.96,-1.47,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,52.26,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,53.26,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,-1.00,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,-1.91%,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,2.01,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,2.50,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,1.80,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,-3.29,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,0.00%,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,-3.29,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,-6.93,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,0.00%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,60.24%,60.25%,,60.25%,60.25%,60.25%,60.25%,60.25%,60.25%,60.24%,60.24%,60.24%,60.24%,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.03%,0.03%,,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,,,,,
Shareholding Pattern (Quarterly),Public,,39.73%,39.72%,,39.74%,39.73%,39.74%,39.73%,39.74%,39.72%,39.74%,39.74%,39.73%,39.73%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,4147,4210,,4417,4349,4449,4418,4566,5571,5411,5515,5595,5759,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,60.24%,,60.25%,,,,60.25%,,,,60.24%,60.24%,60.24%,60.24%,60.24%,60.24%
Shareholding Pattern (Yearly),DIIs,,,,0.03%,,0.03%,,,,0.03%,,,,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%
Shareholding Pattern (Yearly),Public,,,,39.73%,,39.73%,,,,39.72%,,,,39.73%,39.73%,39.73%,39.73%,39.73%,39.73%
Shareholding Pattern (Yearly),No. of Shareholders,,,,4104,,4349,,,,5571,,,,5759,3085,3138,3514,3524,3537
,,,,,,,,,,,,,,,,,,,,
