Section,,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,11.12,10.02,11.40,,,,,,,,,,,,,,
Quarterly Results,Expenses,9.62,9.08,9.65,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,1.50,0.94,1.75,,,,,,,,,,,,,,
Quarterly Results,OPM %,13.49%,9.38%,15.35%,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.07,0.37,0.33,,,,,,,,,,,,,,
Quarterly Results,Interest,0.57,0.40,0.39,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.55,0.55,0.51,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,0.45,0.36,1.18,,,,,,,,,,,,,,
Quarterly Results,Tax %,33.33%,25.00%,31.36%,,,,,,,,,,,,,,
Quarterly Results,Net Profit,0.35,0.71,0.93,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.32,0.65,0.76,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,43.63,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,37.85,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,5.78,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,13.25%,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,0.97,,,,,,,,,,,,,,
Profit & Loss,Interest,,,1.91,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,2.05,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,2.79,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,30.11%,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,2.55,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,2.24,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,0.00%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,11.26,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,35.10,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,25.88,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,16.53,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,88.77,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,19.58,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,2.71,,,,,,,,,,,,,,
Balance Sheet,Investments,,,0.19,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,66.29,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,88.77,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,-2.78,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,-0.94,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,17.96,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,14.23,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,119.97,,,,,,,,,,,,,,
Ratios,Inventory Days,,,453.33,,,,,,,,,,,,,,
Ratios,Days Payable,,,61.37,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,511.92,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,328.36,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,72.73%,72.73%,70.93%,72.73%,72.73%,72.73%,72.73%,72.73%,72.73%,72.73%,72.73%,72.73%,,,,,
Shareholding Pattern (Quarterly),FIIs,3.61%,4.03%,4.82%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.61%,,,,,
Shareholding Pattern (Quarterly),Public,23.66%,23.26%,24.26%,27.27%,27.27%,27.27%,27.27%,27.28%,27.26%,27.27%,27.27%,23.66%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,1660,1594,1936,133,150,236,258,279,535,1061,1462,1580,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,70.93%,,,,72.73%,,,,72.73%,,72.73%,72.73%,72.73%,72.73%,72.73%
Shareholding Pattern (Yearly),FIIs,,,4.82%,,,,0.00%,,,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,24.26%,,,,27.27%,,,,27.27%,,27.27%,27.27%,27.27%,27.27%,27.26%
Shareholding Pattern (Yearly),No. of Shareholders,,,1936,,,,258,,,,1462,,645,204,94,87,86
,,,,,,,,,,,,,,,,,,
