Section,,Jun 2017,Sep 2017,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Jun 2022,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,122.72,149.32,91.14,94.78,97.44,90.16,98.73,76.14,70.25,60.68,95.19,75.26,91.58,,,,,,,
Quarterly Results,Expenses,104.73,133.88,88.26,96.47,97.51,90.41,93.13,73.64,70.56,52.93,85.33,67.99,82.61,,,,,,,
Quarterly Results,Operating Profit,17.99,15.44,2.88,-1.69,-0.07,-0.25,5.60,2.50,-0.31,7.75,9.86,7.27,8.97,,,,,,,
Quarterly Results,OPM %,14.66%,10.34%,3.16%,-1.78%,-0.07%,-0.28%,5.67%,3.28%,-0.44%,12.77%,10.36%,9.66%,9.79%,,,,,,,
Quarterly Results,Other Income,0.10,0.29,0.02,0.16,15.50,0.51,0.47,0.28,3.64,0.27,0.52,0.18,1.12,,,,,,,
Quarterly Results,Interest,6.60,6.71,4.28,3.31,2.49,2.91,2.94,3.05,2.51,2.50,3.09,2.57,3.69,,,,,,,
Quarterly Results,Depreciation,4.55,4.53,3.89,3.68,3.63,3.71,3.53,3.87,3.72,3.65,3.61,3.55,3.54,,,,,,,
Quarterly Results,Profit before tax,6.94,4.49,-5.27,-8.52,9.31,-6.36,-0.40,-4.14,-2.90,1.87,3.68,1.33,2.86,,,,,,,
Quarterly Results,Tax %,13.11%,28.73%,-19.73%,9.86%,32.33%,-7.23%,545.00%,78.99%,-276.90%,27.81%,24.73%,-33.08%,-115.73%,,,,,,,
Quarterly Results,Net Profit,6.03,3.20,-4.24,-9.38,6.29,-5.90,-2.59,-7.41,5.13,1.36,2.77,1.77,6.17,,,,,,,
Quarterly Results,EPS in Rs,2.79,1.48,-3.27,-7.24,4.85,-4.55,-2.00,-5.72,3.96,1.05,2.14,1.37,4.76,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,411,,,,335,,,,323,553,,,,,,
Profit & Loss,Expenses,,,,,403,,,,326,,,,289,483,,,,,,
Profit & Loss,Operating Profit,,,,,8,,,,9,,,,34,69,,,,,,
Profit & Loss,OPM %,,,,,2%,,,,3%,,,,10%,12%,,,,,,
Profit & Loss,Other Income,,,,,16,,,,3,,,,2,2,,,,,,
Profit & Loss,Interest,,,,,13,,,,11,,,,12,27,,,,,,
Profit & Loss,Depreciation,,,,,14,,,,15,,,,14,18,,,,,,
Profit & Loss,Profit before tax,,,,,-3,,,,-14,,,,10,27,,,,,,
Profit & Loss,Tax %,,,,,90%,,,,-22%,,,,-24%,44%,,,,,,
Profit & Loss,Net Profit,,,,,-7,,,,-11,,,,12,15,,,,,,
Profit & Loss,EPS in Rs,,,,,-5.04,,,,-8.31,,,,9.30,6.97,,,,,,
Profit & Loss,Dividend Payout %,,,,,0%,,,,0%,,,,7%,0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,13,,,,13,22,,,,,,
Balance Sheet,Reserves,,,,,,,,,110,,,,123,152,,,,,,
Balance Sheet,Borrowings,,,,,,,,,105,,,,106,234,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,61,,,,63,110,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,289,,,,304,517,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,181,,,,168,296,,,,,,
Balance Sheet,CWIP,,,,,,,,,0,,,,1,0,,,,,,
Balance Sheet,Investments,,,,,,,,,2,,,,2,1,,,,,,
Balance Sheet,Other Assets,,,,,,,,,106,,,,133,221,,,,,,
Balance Sheet,Total Assets,,,,,,,,,289,,,,304,517,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,67,,,,4,,,,13,57,,,,,,
Cash Flows,Cash from Investing Activity,,,,,-6,,,,2,,,,-3,-15,,,,,,
Cash Flows,Cash from Financing Activity,,,,,-64,,,,-12,,,,-10,-39,,,,,,
Cash Flows,Net Cash Flow,,,,,-2,,,,-6,,,,-0,3,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,35,,,,46,38,,,,,,
Ratios,Inventory Days,,,,,,,,,99,,,,163,116,,,,,,
Ratios,Days Payable,,,,,,,,,36,,,,52,50,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,98,,,,157,104,,,,,,
Ratios,Working Capital Days,,,,,,,,,66,,,,91,50,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,9%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,74.04%,74.04%,74.04%,74.04%,74.04%,74.04%,74.04%,74.04%,74.04%,74.04%,74.04%,,74.04%,,,,,
Shareholding Pattern (Quarterly),FIIs,,,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.23%,0.00%,0.00%,0.00%,,0.00%,,,,,
Shareholding Pattern (Quarterly),DIIs,,,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,,0.01%,,,,,
Shareholding Pattern (Quarterly),Public,,,25.94%,25.96%,25.96%,25.95%,25.93%,25.96%,25.95%,25.72%,25.94%,25.94%,25.96%,,25.96%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,10519,10273,9915,9534,9615,9332,9366,8566,9029,8375,8607,,10614,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,74.04%,,,,74.04%,,,,74.04%,74.94%,,73.92%,74.00%,74.04%,74.04%,74.04%
Shareholding Pattern (Yearly),DIIs,,,,,0.01%,,,,0.01%,,,,0.01%,0.02%,,0.04%,0.01%,0.01%,0.01%,0.01%
Shareholding Pattern (Yearly),Public,,,,,25.96%,,,,25.95%,,,,25.96%,25.04%,,26.04%,25.99%,25.96%,25.96%,25.96%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,9915,,,,9366,,,,8607,9138,,8780,7584,7360,6858,10522
,,,,,,,,,,,,,,,,,,,,,
