Section,,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,,,
Quarterly Results,Expenses,,,,,,,
Quarterly Results,Operating Profit,,,,,,,
Quarterly Results,OPM %,,,,,,,
Quarterly Results,Other Income,,,,,,,
Quarterly Results,Interest,,,,,,,
Quarterly Results,Depreciation,,,,,,,
Quarterly Results,Profit before tax,,,,,,,
Quarterly Results,Tax %,,,,,,,
Quarterly Results,Net Profit,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,
Quarterly Results,Raw PDF,,,,,,,
,,,,,,,,
Profit & Loss,Sales,,,,,,,
Profit & Loss,Expenses,,,,,,,
Profit & Loss,Operating Profit,,,,,,,
Profit & Loss,OPM %,,,,,,,
Profit & Loss,Other Income,,,,,,,
Profit & Loss,Interest,,,,,,,
Profit & Loss,Depreciation,,,,,,,
Profit & Loss,Profit before tax,,,,,,,
Profit & Loss,Tax %,,,,,,,
Profit & Loss,Net Profit,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,
,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,
Balance Sheet,Reserves,,,,,,,
Balance Sheet,Borrowings,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,
Balance Sheet,CWIP,,,,,,,
Balance Sheet,Investments,,,,,,,
Balance Sheet,Other Assets,,,,,,,
Balance Sheet,Total Assets,,,,,,,
,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,
,,,,,,,,
Ratios,Debtor Days,,,,,,,
Ratios,Inventory Days,,,,,,,
Ratios,Days Payable,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,
Ratios,Working Capital Days,,,,,,,
Ratios,ROCE %,,,,,,,
,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,42.60%,37.88%,33.16%,33.16%,23.79%,23.79%,23.24%
Shareholding Pattern (Quarterly),FIIs,3.08%,1.80%,1.94%,1.86%,3.03%,3.24%,2.15%
Shareholding Pattern (Quarterly),DIIs,6.32%,6.32%,6.32%,6.32%,6.32%,6.32%,6.17%
Shareholding Pattern (Quarterly),Public,48.00%,54.01%,58.57%,58.66%,66.86%,66.66%,68.45%
Shareholding Pattern (Quarterly),No. of Shareholders,185686,173287,159966,152243,144045,138829,139580
,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,33.16%,,,,23.24%
Shareholding Pattern (Yearly),FIIs,,,1.94%,,,,2.15%
Shareholding Pattern (Yearly),DIIs,,,6.32%,,,,6.17%
Shareholding Pattern (Yearly),Public,,,58.57%,,,,68.45%
Shareholding Pattern (Yearly),No. of Shareholders,,,159966,,,,139580
,,,,,,,,
