Section,,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,977,837,1392,916,1088,1358,1946,,,,
Quarterly Results,Expenses,860,741,1224,796,950,1178,1710,,,,
Quarterly Results,Operating Profit,117,96,169,120,138,179,236,,,,
Quarterly Results,OPM %,12%,11%,12%,13%,13%,13%,12%,,,,
Quarterly Results,Other Income,6,19,24,14,8,10,16,,,,
Quarterly Results,Interest,43,42,41,44,46,49,59,,,,
Quarterly Results,Depreciation,13,12,13,13,13,14,16,,,,
Quarterly Results,Profit before tax,68,61,139,77,87,126,177,,,,
Quarterly Results,Tax %,32%,20%,29%,33%,36%,26%,28%,,,,
Quarterly Results,Net Profit,46,49,100,52,55,93,127,,,,
Quarterly Results,EPS in Rs,18.67,19.60,8.04,4.17,4.41,6.94,9.43,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,
,,,,,,,,,,,,
Profit & Loss,Sales,,,4077,,,,5308,1881,2172,2284,3152
Profit & Loss,Expenses,,,3518,,,,4634,1603,1888,2091,2788
Profit & Loss,Operating Profit,,,559,,,,673,278,284,194,364
Profit & Loss,OPM %,,,14%,,,,13%,15%,13%,8%,12%
Profit & Loss,Other Income,,,56,,,,48,22,19,73,19
Profit & Loss,Interest,,,246,,,,198,146,138,139,189
Profit & Loss,Depreciation,,,50,,,,56,32,34,38,46
Profit & Loss,Profit before tax,,,318,,,,467,121,132,90,148
Profit & Loss,Tax %,,,27%,,,,30%,15%,25%,28%,27%
Profit & Loss,Net Profit,,,233,,,,327,102,98,65,108
Profit & Loss,EPS in Rs,,,18.81,,,,24.33,242.83,129.70,28.50,47.18
Profit & Loss,Dividend Payout %,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,25,,,,27,4,8,23,23
Balance Sheet,Reserves,,,1114,,,,1854,435,560,640,749
Balance Sheet,Borrowings,,,667,,,,661,346,429,477,621
Balance Sheet,Other Liabilities,,,2814,,,,3691,1253,1185,1702,2053
Balance Sheet,Total Liabilities,,,4621,,,,6233,2038,2182,2842,3445
Balance Sheet,Fixed Assets,,,374,,,,425,321,317,334,379
Balance Sheet,CWIP,,,6,,,,12,11,4,17,4
Balance Sheet,Investments,,,5,,,,0,0,3,3,3
Balance Sheet,Other Assets,,,4236,,,,5795,1705,1858,2487,3059
Balance Sheet,Total Assets,,,4621,,,,6233,2038,2182,2842,3445
,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,35,,,,287,188,65,50,143
Cash Flows,Cash from Investing Activity,,,-78,,,,-498,-50,-3,-81,-105
Cash Flows,Cash from Financing Activity,,,28,,,,242,-146,5,-0,29
Cash Flows,Net Cash Flow,,,-15,,,,32,-7,66,-32,67
,,,,,,,,,,,,
Ratios,Debtor Days,,,92,,,,91,93,82,102,75
Ratios,Inventory Days,,,63,,,,77,107,80,86,63
Ratios,Days Payable,,,276,,,,332,316,292,329,263
Ratios,Cash Conversion Cycle,,,-121,,,,-165,-116,-129,-141,-126
Ratios,Working Capital Days,,,103,,,,90,69,88,101,87
Ratios,ROCE %,,,35%,,,,31%,,30%,21%,27%
,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,71.12%,71.12%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,1.00%,0.61%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,15.15%,14.08%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,12.74%,14.20%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,142684,129923,,,,
,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,71.12%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,0.61%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,14.08%,,,,
Shareholding Pattern (Yearly),Public,,,,,,,14.20%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,129923,,,,
,,,,,,,,,,,,
