Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,1309,1462,1417,1496,1418,1200,1093,1341,1413,1514,1451,1316,1325,,,,,,,
Quarterly Results,Expenses,982,1163,1094,1027,954,837,858,924,1005,1005,918,958,961,,,,,,,
Quarterly Results,Operating Profit,327,299,324,469,465,363,236,417,407,510,533,357,365,,,,,,,
Quarterly Results,OPM %,25%,20%,23%,31%,33%,30%,22%,31%,29%,34%,37%,27%,28%,,,,,,,
Quarterly Results,Other Income,68,44,39,46,55,51,94,25,113,49,43,45,88,,,,,,,
Quarterly Results,Interest,76,50,47,38,50,35,56,40,40,40,43,64,39,,,,,,,
Quarterly Results,Depreciation,160,172,190,195,196,197,200,251,241,220,234,255,243,,,,,,,
Quarterly Results,Profit before tax,159,121,126,282,274,182,74,151,239,298,298,84,171,,,,,,,
Quarterly Results,Tax %,7%,10%,9%,6%,-39%,5%,11%,11%,-29%,2%,2%,10%,-8%,,,,,,,
Quarterly Results,Net Profit,148,109,114,267,380,172,66,134,307,291,291,76,185,,,,,,,
Quarterly Results,EPS in Rs,3.18,2.34,2.46,5.72,8.16,3.68,1.41,2.88,6.60,6.26,6.26,1.62,3.97,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,4988,,,,5794,,,,5047,,,,5606,4311,4050,3447,3469,3873,4425,3703
Profit & Loss,Expenses,3457,,,,4237,,,,3624,,,,3842,3396,2688,2667,2793,3160,3283,2544
Profit & Loss,Operating Profit,1531,,,,1557,,,,1423,,,,1764,916,1362,780,677,713,1143,1159
Profit & Loss,OPM %,31%,,,,27%,,,,28%,,,,31%,21%,34%,23%,20%,18%,26%,31%
Profit & Loss,Other Income,170,,,,184,,,,283,,,,225,395,193,185,196,292,277,204
Profit & Loss,Interest,161,,,,185,,,,171,,,,186,239,195,174,180,362,367,22
Profit & Loss,Depreciation,635,,,,753,,,,889,,,,951,801,542,566,610,658,671,628
Profit & Loss,Profit before tax,904,,,,803,,,,645,,,,852,270,818,226,82,-16,382,713
Profit & Loss,Tax %,5%,,,,-8%,,,,-5%,,,,1%,28%,4%,19%,-273%,304%,12%,2%
Profit & Loss,Net Profit,861,,,,870,,,,679,,,,844,195,782,182,306,-63,336,696
Profit & Loss,EPS in Rs,18.47,,,,18.68,,,,14.58,,,,18.11,4.19,16.78,3.92,6.58,-1.35,7.22,14.94
Profit & Loss,Dividend Payout %,2%,,,,2%,,,,3%,,,,36%,0%,0%,0%,0%,0%,10%,2%
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,466,,,,466,,,,466,,,,466,466,466,466,466,466,466,466
Balance Sheet,Reserves,5508,,,,6437,,,,7074,,,,7846,6053,6272,6428,6769,6717,7018,7702
Balance Sheet,Borrowings,3200,,,,2605,,,,2914,,,,2228,7739,5845,5492,5585,5277,4767,3679
Balance Sheet,Other Liabilities,1684,,,,1936,,,,1646,,,,1161,1580,2148,2162,1686,1896,1668,1556
Balance Sheet,Total Liabilities,10859,,,,11443,,,,12100,,,,11701,15839,14731,14549,14506,14357,13919,13403
Balance Sheet,Fixed Assets,7624,,,,7403,,,,7004,,,,6711,12280,11827,11411,11348,11119,10653,10174
Balance Sheet,CWIP,58,,,,34,,,,42,,,,4,567,0,27,8,8,3,33
Balance Sheet,Investments,476,,,,611,,,,657,,,,826,77,80,136,269,279,298,354
Balance Sheet,Other Assets,2701,,,,3395,,,,4397,,,,4159,2915,2824,2975,2882,2951,2964,2841
Balance Sheet,Total Assets,10859,,,,11443,,,,12100,,,,11701,15839,14731,14549,14506,14357,13919,13403
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,1440,,,,1465,,,,994,,,,850,2197,1490,683,228,712,945,1340
Cash Flows,Cash from Investing Activity,-729,,,,-501,,,,-573,,,,-316,-308,-11,-86,-471,7,324,-206
Cash Flows,Cash from Financing Activity,-653,,,,-930,,,,103,,,,-1236,-1675,-1095,-522,-87,-866,-1120,-1154
Cash Flows,Net Cash Flow,58,,,,34,,,,524,,,,-702,214,384,74,-329,-146,149,-20
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,47,,,,64,,,,102,,,,78,68,61,70,70,56,50,62
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,47,,,,64,,,,102,,,,78,68,61,70,70,56,50,62
Ratios,Working Capital Days,10,,,,17,,,,54,,,,124,-157,-143,-187,-102,-114,-91,-17
Ratios,ROCE %,10%,,,,11%,,,,8%,,,,10%,,7%,3%,2%,2%,5%,6%
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,63.75%,63.75%,63.75%,63.75%,63.75%,63.75%,63.75%,63.75%,63.75%,63.75%,63.75%,63.75%,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,3.13%,3.28%,3.30%,3.23%,2.89%,3.23%,3.27%,4.66%,4.56%,5.61%,4.79%,4.68%,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,7.87%,7.81%,7.47%,7.01%,7.01%,6.97%,7.99%,7.87%,8.69%,3.64%,3.63%,3.16%,,,,,,,
Shareholding Pattern (Quarterly),Public,,25.25%,25.17%,25.50%,26.01%,26.36%,26.05%,24.98%,23.74%,23.01%,27.00%,27.83%,28.41%,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,186212,180993,176249,175143,183339,209199,219463,304527,324156,441535,452481,460808,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,63.75%,,,,63.75%,,,,63.75%,,,,63.75%,,,63.75%,63.75%,63.75%,63.75%,63.75%
Shareholding Pattern (Yearly),FIIs,2.35%,,,,3.23%,,,,4.66%,,,,4.68%,,,3.56%,2.39%,1.60%,1.72%,0.85%
Shareholding Pattern (Yearly),DIIs,8.35%,,,,7.01%,,,,7.87%,,,,3.16%,,,18.80%,18.73%,17.08%,15.59%,11.44%
Shareholding Pattern (Yearly),Public,25.55%,,,,26.01%,,,,23.74%,,,,28.41%,,,13.89%,15.14%,17.57%,18.94%,23.96%
Shareholding Pattern (Yearly),No. of Shareholders,190440,,,,175143,,,,304527,,,,460808,,,155617,148289,147229,154572,196647
,,,,,,,,,,,,,,,,,,,,,
