Section,,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Revenue,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,
Quarterly Results,Financing Profit,,,,,,,,,,,,,,,,,,
Quarterly Results,Financing Margin %,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,
Quarterly Results,Gross NPA %,,,,,,,,,,,,,,,,,,
Quarterly Results,Net NPA %,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Revenue,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,,,,
Profit & Loss,Financing Profit,,,,,,,,,,,,,,,,,,
Profit & Loss,Financing Margin %,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowing,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,ROE %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,2.87%,2.87%,2.87%,2.19%,2.24%,2.24%,2.23%,2.23%,2.23%,2.23%,2.23%,2.25%,,,,,,
Shareholding Pattern (Quarterly),FIIs,7.47%,6.96%,6.95%,21.99%,19.20%,19.77%,19.76%,20.27%,20.44%,24.70%,27.25%,29.37%,,,,,,
Shareholding Pattern (Quarterly),DIIs,2.02%,2.02%,2.02%,5.46%,5.81%,4.46%,3.76%,2.55%,2.76%,2.40%,1.85%,2.65%,,,,,,
Shareholding Pattern (Quarterly),Public,87.63%,86.39%,86.40%,69.02%,71.40%,72.19%,72.91%,73.61%,73.25%,69.35%,67.34%,63.62%,,,,,,
Shareholding Pattern (Quarterly),Others,0.00%,1.75%,1.75%,1.34%,1.34%,1.34%,1.33%,1.33%,1.33%,1.33%,1.33%,2.12%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,11887,11839,12010,14376,19677,22478,28773,40872,38997,39182,39622,40537,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,2.87%,,,,2.23%,,,,2.23%,2.25%,73.81%,73.81%,12.94%,4.28%,2.88%,2.87%
Shareholding Pattern (Yearly),FIIs,,,6.95%,,,,19.76%,,,,27.25%,29.37%,0.00%,0.00%,16.33%,5.33%,5.31%,7.08%
Shareholding Pattern (Yearly),DIIs,,,2.02%,,,,3.76%,,,,1.85%,2.65%,0.00%,0.00%,19.51%,8.50%,8.44%,2.10%
Shareholding Pattern (Yearly),Public,,,86.40%,,,,72.91%,,,,67.34%,63.62%,26.19%,26.19%,51.22%,81.88%,83.38%,87.95%
Shareholding Pattern (Yearly),Others,,,1.75%,,,,1.33%,,,,1.33%,2.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),No. of Shareholders,,,12010,,,,28773,,,,39622,40537,858,816,1202,1251,1838,10703
,,,,,,,,,,,,,,,,,,,
