Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,104,103,117,106,107,117,163,161,187,189,193,179,201
Quarterly Results,Expenses,79,78,86,80,83,89,127,120,139,139,143,133,150
Quarterly Results,Operating Profit,25,26,31,26,24,28,36,40,48,49,50,45,51
Quarterly Results,OPM %,24%,25%,27%,25%,23%,24%,22%,25%,25%,26%,26%,25%,25%
Quarterly Results,Other Income,1,2,2,2,3,3,2,1,2,1,2,3,2
Quarterly Results,Interest,1,1,1,1,0,1,3,3,2,2,2,1,1
Quarterly Results,Depreciation,5,6,6,6,6,6,11,11,11,11,11,11,12
Quarterly Results,Profit before tax,21,22,27,22,21,24,24,28,36,38,39,36,41
Quarterly Results,Tax %,25%,25%,27%,28%,26%,25%,20%,25%,25%,25%,25%,23%,17%
Quarterly Results,Net Profit,15,16,20,16,15,18,19,21,27,28,29,28,34
Quarterly Results,EPS in Rs,5.05,5.33,6.55,5.16,5.05,5.80,6.22,6.69,8.60,8.97,9.34,8.80,10.67
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,370,,,,433,,,,628,,,,760
Profit & Loss,Expenses,275,,,,326,,,,475,,,,565
Profit & Loss,Operating Profit,95,,,,107,,,,153,,,,196
Profit & Loss,OPM %,26%,,,,25%,,,,24%,,,,26%
Profit & Loss,Other Income,4,,,,10,,,,8,,,,8
Profit & Loss,Interest,3,,,,3,,,,9,,,,6
Profit & Loss,Depreciation,22,,,,23,,,,39,,,,45
Profit & Loss,Profit before tax,74,,,,91,,,,113,,,,153
Profit & Loss,Tax %,26%,,,,26%,,,,24%,,,,22%
Profit & Loss,Net Profit,55,,,,67,,,,85,,,,119
Profit & Loss,EPS in Rs,18.08,,,,22.09,,,,27.33,,,,37.61
Profit & Loss,Dividend Payout %,20%,,,,0%,,,,7%,,,,7%
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,30,,,,30,,,,31,,,,31
Balance Sheet,Reserves,330,,,,399,,,,520,,,,646
Balance Sheet,Borrowings,29,,,,30,,,,84,,,,37
Balance Sheet,Other Liabilities,66,,,,77,,,,151,,,,153
Balance Sheet,Total Liabilities,456,,,,537,,,,785,,,,868
Balance Sheet,Fixed Assets,207,,,,199,,,,475,,,,434
Balance Sheet,CWIP,0,,,,2,,,,2,,,,6
Balance Sheet,Investments,78,,,,139,,,,40,,,,90
Balance Sheet,Other Assets,170,,,,198,,,,269,,,,337
Balance Sheet,Total Assets,456,,,,537,,,,785,,,,868
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,61,,,,87,,,,108,,,,163
Cash Flows,Cash from Investing Activity,-50,,,,-100,,,,-132,,,,-98
Cash Flows,Cash from Financing Activity,-17,,,,5,,,,29,,,,-60
Cash Flows,Net Cash Flow,-6,,,,-8,,,,4,,,,5
,,,,,,,,,,,,,,
Ratios,Debtor Days,85,,,,76,,,,94,,,,84
Ratios,Inventory Days,95,,,,95,,,,92,,,,71
Ratios,Days Payable,71,,,,83,,,,79,,,,71
Ratios,Cash Conversion Cycle,109,,,,88,,,,108,,,,84
Ratios,Working Capital Days,79,,,,69,,,,77,,,,83
Ratios,ROCE %,,,,,21%,,,,22%,,,,23%
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,50.37%,50.37%,50.37%,50.37%,51.33%,21.81%,21.81%,21.81%,21.80%,21.80%,21.61%,21.60%
Shareholding Pattern (Quarterly),FIIs,,5.09%,5.31%,5.78%,5.60%,5.32%,14.27%,12.85%,15.11%,15.94%,16.72%,16.55%,16.92%
Shareholding Pattern (Quarterly),DIIs,,18.53%,15.87%,13.39%,13.41%,12.60%,30.53%,31.93%,32.06%,31.75%,30.08%,28.53%,28.86%
Shareholding Pattern (Quarterly),Public,,26.01%,28.45%,30.45%,30.62%,30.74%,33.41%,33.41%,31.02%,30.48%,31.39%,33.30%,32.61%
Shareholding Pattern (Quarterly),No. of Shareholders,,78463,78167,75608,74306,63612,64873,65633,60752,55009,55124,64498,62920
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,50.37%,,,,50.37%,,,,21.81%,,,,21.60%
Shareholding Pattern (Yearly),FIIs,5.09%,,,,5.60%,,,,15.11%,,,,16.92%
Shareholding Pattern (Yearly),DIIs,18.73%,,,,13.41%,,,,32.06%,,,,28.86%
Shareholding Pattern (Yearly),Public,25.80%,,,,30.62%,,,,31.02%,,,,32.61%
Shareholding Pattern (Yearly),No. of Shareholders,86488,,,,74306,,,,60752,,,,62920
,,,,,,,,,,,,,,
