Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,62.94%,62.94%,62.94%,60.94%,60.94%,60.94%,60.94%,60.94%,60.94%,60.94%,60.94%,60.94%,,,
Shareholding Pattern (Quarterly),FIIs,4.15%,3.98%,4.41%,6.25%,6.12%,5.01%,5.74%,5.15%,6.44%,7.27%,6.07%,6.19%,,,
Shareholding Pattern (Quarterly),DIIs,14.51%,14.58%,15.45%,15.75%,16.38%,18.56%,18.41%,18.53%,18.37%,17.52%,16.44%,14.97%,,,
Shareholding Pattern (Quarterly),Public,18.39%,18.51%,17.19%,17.06%,16.56%,15.49%,14.91%,15.37%,14.24%,14.25%,16.55%,17.88%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,263696,275190,261131,247938,235368,205896,200095,205460,183979,187981,197576,199682,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,60.94%,,,,60.94%,,,,60.94%,63.25%,63.25%,62.94%
Shareholding Pattern (Yearly),FIIs,,,,6.25%,,,,5.15%,,,,6.19%,0.92%,2.43%,3.96%
Shareholding Pattern (Yearly),DIIs,,,,15.75%,,,,18.53%,,,,14.97%,19.29%,15.60%,14.04%
Shareholding Pattern (Yearly),Public,,,,17.06%,,,,15.37%,,,,17.88%,16.54%,18.72%,19.05%
Shareholding Pattern (Yearly),No. of Shareholders,,,,247938,,,,205460,,,,199682,53568,55192,255137
,,,,,,,,,,,,,,,,
