Section,,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Jun 2024,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2022
Quarterly Results,Sales,28,31,48,42,34,34,37,40,63,42,46,56,,,,,,,,,,,,
Quarterly Results,Expenses,20,21,35,33,25,27,33,28,32,31,35,43,,,,,,,,,,,,
Quarterly Results,Operating Profit,9,10,13,9,9,7,4,12,31,10,11,13,,,,,,,,,,,,
Quarterly Results,OPM %,30%,33%,28%,22%,25%,20%,12%,30%,49%,25%,24%,24%,,,,,,,,,,,,
Quarterly Results,Other Income,0,0,0,0,0,0,0,1,3,6,4,5,,,,,,,,,,,,
Quarterly Results,Interest,0,0,0,0,0,0,0,0,1,1,0,1,,,,,,,,,,,,
Quarterly Results,Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
Quarterly Results,Profit before tax,8,9,13,8,8,6,4,12,32,14,14,16,,,,,,,,,,,,
Quarterly Results,Tax %,24%,24%,25%,23%,25%,24%,32%,24%,26%,29%,21%,28%,,,,,,,,,,,,
Quarterly Results,Net Profit,6,7,10,6,6,4,2,9,24,10,11,12,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.22,0.27,0.36,0.24,0.22,0.17,0.09,0.33,0.89,0.37,0.41,0.43,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,149,,,,,171,,,184,,,,,,,,,,,,
Profit & Loss,Expenses,,,,108,,,,,121,,,142,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,41,,,,,50,,,42,,,,,,,,,,,,
Profit & Loss,OPM %,,,,28%,,,,,29%,,,23%,,,,,,,,,,,,
Profit & Loss,Other Income,,,,0,,,,,7,,,20,,,,,,,,,,,,
Profit & Loss,Interest,,,,0,,,,,2,,,2,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,3,,,,,3,,,4,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,38,,,,,53,,,55,,,,,,,,,,,,
Profit & Loss,Tax %,,,,24%,,,,,24%,,,25%,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,29,,,,,40,,,41,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,1.09,,,,,1.49,,,1.52,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,21%,,,,,0%,,,0%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,13,,,,,13,,,27,,,,,,,,,,,,
Balance Sheet,Reserves,,,,118,,,,,288,,,315,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,0,,,,,12,,,19,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,22,,,,,7,,,11,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,152,,,,,320,,,372,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,29,,,,,58,,,67,,,,,,,,,,,,
Balance Sheet,CWIP,,,,1,,,,,0,,,6,,,,,,,,,,,,
Balance Sheet,Investments,,,,48,,,,,147,,,103,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,74,,,,,114,,,196,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,152,,,,,320,,,372,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,42,,,,,8,,,-11,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,-9,,,,,-80,,,45,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,-33,,,,,99,,,-1,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,0,,,,,27,,,32,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,62,,,,,102,,,133,,,,,,,,,,,,
Ratios,Inventory Days,,,,100,,,,,96,,,226,,,,,,,,,,,,
Ratios,Days Payable,,,,73,,,,,0,,,7,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,89,,,,,198,,,352,,,,,,,,,,,,
Ratios,Working Capital Days,,,,200,,,,,438,,,410,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,17%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,45.06%,44.80%,45.62%,42.51%,42.51%,45.06%,45.06%,45.06%,45.06%,45.06%,45.06%,44.80%,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,0.45%,5.19%,3.33%,3.14%,1.63%,0.65%,0.59%,0.58%,0.66%,0.45%,0.34%,5.97%,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,54.49%,50.00%,51.05%,54.34%,55.75%,54.28%,54.35%,54.36%,54.28%,54.49%,54.60%,49.24%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,25582,33761,112236,116374,123379,29414,29029,27226,26333,26434,28154,95639,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,45.06%,,,,,44.80%,,,42.51%,,,,45.06%,,,,44.87%,44.87%,45.06%,45.06%,45.06%
Shareholding Pattern (Yearly),FIIs,,,,0.00%,,,,,5.19%,,,1.63%,,,,0.66%,,,,3.20%,1.28%,0.33%,0.22%,0.46%
Shareholding Pattern (Yearly),DIIs,,,,0.03%,,,,,0.00%,,,0.11%,,,,0.00%,,,,0.19%,0.21%,0.18%,0.55%,0.00%
Shareholding Pattern (Yearly),Public,,,,54.91%,,,,,50.00%,,,55.75%,,,,54.28%,,,,51.74%,53.65%,54.43%,54.17%,54.48%
Shareholding Pattern (Yearly),No. of Shareholders,,,,28004,,,,,33761,,,123379,,,,26333,,,,12573,16502,17546,18193,29666
,,,,,,,,,,,,,,,,,,,,,,,,,
