Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2013,Mar 2014,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,117,120,132,145,141,148,156,166,172,179,209,228,232,,,,,
Quarterly Results,Expenses,82,85,95,103,111,120,125,129,131,141,164,178,177,,,,,
Quarterly Results,Operating Profit,36,35,37,43,30,28,31,37,40,38,45,50,55,,,,,
Quarterly Results,OPM %,31%,29%,28%,29%,21%,19%,20%,22%,24%,21%,22%,22%,24%,,,,,
Quarterly Results,Other Income,8,10,9,22,15,18,17,23,16,17,23,15,21,,,,,
Quarterly Results,Interest,1,1,1,1,1,1,1,1,1,1,1,0,5,,,,,
Quarterly Results,Depreciation,2,2,2,2,2,2,2,2,2,3,9,8,9,,,,,
Quarterly Results,Profit before tax,40,42,43,62,42,43,45,57,53,52,58,56,62,,,,,
Quarterly Results,Tax %,12%,25%,14%,15%,19%,23%,24%,18%,15%,25%,30%,24%,18%,,,,,
Quarterly Results,Net Profit,36,31,37,52,34,33,34,47,45,39,41,43,51,,,,,
Quarterly Results,EPS in Rs,1.77,1.57,1.86,2.58,1.67,1.60,1.66,2.26,2.20,1.89,1.94,2.03,2.59,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,408,,,,539,,,,641,,,,848,33,78,288,310,306
Profit & Loss,Expenses,286,,,,394,,,,504,,,,652,21,52,215,230,201
Profit & Loss,Operating Profit,122,,,,145,,,,136,,,,196,12,26,73,80,105
Profit & Loss,OPM %,30%,,,,27%,,,,21%,,,,23%,36%,33%,25%,26%,34%
Profit & Loss,Other Income,44,,,,56,,,,74,,,,69,0,1,8,19,21
Profit & Loss,Interest,3,,,,3,,,,3,,,,7,0,1,3,3,3
Profit & Loss,Depreciation,8,,,,9,,,,10,,,,29,0,2,7,7,7
Profit & Loss,Profit before tax,154,,,,189,,,,197,,,,229,12,24,70,90,116
Profit & Loss,Tax %,16%,,,,18%,,,,19%,,,,24%,34%,29%,15%,19%,21%
Profit & Loss,Net Profit,130,,,,155,,,,159,,,,173,8,17,60,73,91
Profit & Loss,EPS in Rs,6.46,,,,7.59,,,,7.70,,,,8.44,9.72,21.48,73.85,89.79,112.43
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,20,,,,20,,,,21,,,,21,0.80,0.80,0.81,0.81,0.81
Balance Sheet,Reserves,1006,,,,1187,,,,1354,,,,1479,14,34,266,347,437
Balance Sheet,Borrowings,26,,,,21,,,,24,,,,29,8,13,36,33,52
Balance Sheet,Other Liabilities,48,,,,34,,,,57,,,,260,2,5,21,17,30
Balance Sheet,Total Liabilities,1100,,,,1263,,,,1456,,,,1789,25,53,324,398,519
Balance Sheet,Fixed Assets,29,,,,23,,,,28,,,,401,2,7,37,35,30
Balance Sheet,CWIP,0,,,,0,,,,0,,,,9,0,1,0,0,0
Balance Sheet,Investments,194,,,,501,,,,676,,,,848,3,12,99,72,139
Balance Sheet,Other Assets,878,,,,739,,,,753,,,,531,20,33,188,290,350
Balance Sheet,Total Assets,1100,,,,1263,,,,1456,,,,1789,25,53,324,398,519
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,87,,,,97,,,,115,,,,130,,,64,63,90
Cash Flows,Cash from Investing Activity,-435,,,,-277,,,,-3,,,,-221,,,-46,-29,-47
Cash Flows,Cash from Financing Activity,449,,,,-4,,,,-1,,,,-5,,,-6,-5,17
Cash Flows,Net Cash Flow,102,,,,-183,,,,111,,,,-95,,,12,28,60
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,75,,,,67,,,,64,,,,80,68,60,64,62,73
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,75,,,,67,,,,64,,,,80,68,60,64,62,73
Ratios,Working Capital Days,88,,,,80,,,,144,,,,104,154,122,70,79,82
Ratios,ROCE %,17%,,,,17%,,,,15%,,,,15%,,71%,,25%,27%
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,67.21%,67.21%,66.31%,65.74%,65.74%,65.74%,65.42%,65.42%,65.39%,65.39%,65.24%,65.24%,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.93%,1.01%,1.32%,1.66%,1.83%,2.57%,2.54%,2.39%,2.40%,2.66%,2.87%,3.02%,,,,,
Shareholding Pattern (Quarterly),DIIs,,1.90%,1.83%,1.83%,1.81%,1.65%,1.58%,2.45%,4.47%,4.42%,3.65%,3.66%,3.27%,,,,,
Shareholding Pattern (Quarterly),Public,,29.96%,29.94%,30.54%,30.79%,30.78%,30.12%,29.59%,27.73%,27.78%,28.30%,28.23%,28.47%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,325126,319209,308002,294472,290571,287607,301452,275047,261847,255074,244434,238450,,,,,
,,,,,,,,,,,,,,,,,,,
