Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Revenue,2865,2902,3011,3324,3463,3583,3833,4100,4280,4316,4465,4797,4886,,,,,,,,,
Quarterly Results,Interest,1053,1052,1192,1373,1477,1597,1703,1798,1861,1960,2062,2175,2218,,,,,,,,,
Quarterly Results,Expenses,932,1512,1071,1041,1072,1504,1724,1456,1520,1676,1830,1325,2001,,,,,,,,,
Quarterly Results,Financing Profit,880,338,748,910,913,482,406,846,900,679,573,1297,667,,,,,,,,,
Quarterly Results,Financing Margin %,31%,12%,25%,27%,26%,13%,11%,21%,21%,16%,13%,27%,14%,,,,,,,,,
Quarterly Results,Other Income,38,24,-26,36,86,67,44,50,68,58,28,19,27,,,,,,,,,
Quarterly Results,Depreciation,50,43,55,63,65,66,67,69,72,76,79,82,85,,,,,,,,,
Quarterly Results,Profit before tax,868,318,668,884,934,483,383,826,896,661,523,1233,609,,,,,,,,,
Quarterly Results,Tax %,28%,25%,26%,25%,28%,25%,25%,25%,25%,25%,25%,26%,25%,,,,,,,,,
Quarterly Results,Net Profit,629,240,492,664,675,362,287,623,671,497,390,918,456,,,,,,,,,
Quarterly Results,EPS in Rs,4.49,1.72,3.53,4.76,4.90,2.58,2.02,4.48,4.82,3.58,2.80,6.60,3.29,,,,,,,,,
Quarterly Results,Gross NPA %,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net NPA %,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Revenue,11419,,,,12828,,,,15963,,,,18519,5294,6051,6586,7189,7910,10429,11995,12382,
Profit & Loss,Interest,4417,,,,5094,,,,6959,,,,8415,2281,2643,2868,3186,3436,4432,5391,5308,
Profit & Loss,Expenses,5347,,,,4696,,,,6204,,,,6832,1532,1972,2459,3123,2547,3129,4903,6046,
Profit & Loss,Financing Profit,1655,,,,3038,,,,2799,,,,3271,1481,1435,1258,880,1927,2868,1702,1028,
Profit & Loss,Financing Margin %,14%,,,,24%,,,,18%,,,,18%,28%,24%,19%,12%,24%,28%,14%,8%,
Profit & Loss,Other Income,47,,,,-8,,,,64,,,,77,7,10,12,12,33,49,47,57,
Profit & Loss,Depreciation,152,,,,226,,,,275,,,,321,26,46,46,54,55,76,147,151,
Profit & Loss,Profit before tax,1549,,,,2804,,,,2588,,,,3027,1462,1400,1224,838,1905,2841,1602,934,
Profit & Loss,Tax %,26%,,,,26%,,,,25%,,,,25%,34%,34%,36%,37%,36%,34%,32%,16%,
Profit & Loss,Net Profit,1150,,,,2071,,,,1943,,,,2261,965,925,787,530,1216,1867,1086,780,
Profit & Loss,EPS in Rs,8.18,,,,14.91,,,,13.90,,,,16.27,7.46,7.13,6.03,4.00,8.53,13.15,7.73,5.56,
Profit & Loss,Dividend Payout %,39%,,,,36%,,,,40%,,,,35%,22%,25%,29%,27%,21%,22%,0%,13%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,247,,,,247,,,,247,,,,247,113,113,113,113,123,123,123,246,
Balance Sheet,Reserves,16650,,,,18313,,,,19686,,,,21282,5181,5830,6356,6847,9732,11146,11846,15530,
Balance Sheet,Borrowing,62126,,,,81429,,,,100215,,,,119093,25893,29232,34044,40644,44986,58802,65634,65101,
Balance Sheet,Other Liabilities,4787,,,,5096,,,,3567,,,,3483,2871,3459,4494,5619,3889,4505,4189,4724,
Balance Sheet,Total Liabilities,83809,,,,105085,,,,123716,,,,144105,34057,38633,45007,53223,58730,74576,81793,85601,
Balance Sheet,Fixed Assets,515,,,,871,,,,1008,,,,1207,128,119,129,133,147,201,455,399,
Balance Sheet,CWIP,2,,,,3,,,,106,,,,66,0,0,0,1,0,1,1,12,
Balance Sheet,Investments,8654,,,,10063,,,,9598,,,,10590,722,654,1199,1374,2378,3327,5340,12126,
Balance Sheet,Other Assets,74637,,,,94148,,,,113004,,,,132242,33207,37860,43679,51714,56205,71046,75996,73064,
Balance Sheet,Total Assets,83809,,,,105085,,,,123716,,,,144105,34057,38633,45007,53223,58730,74576,81793,85601,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,18,,,,-17395,,,,-18449,,,,-15602,-6448,-3970,-4957,-6467,-8510,-12078,-3115,5826,
Cash Flows,Cash from Investing Activity,3112,,,,-1635,,,,2671,,,,-1077,-470,34,-440,-97,243,-1213,-2689,-8348,
Cash Flows,Cash from Financing Activity,-3173,,,,18852,,,,16095,,,,17605,6898,3907,5431,6766,8174,13490,6050,2548,
Cash Flows,Net Cash Flow,-43,,,,-179,,,,317,,,,927,-20,-29,34,202,-93,199,245,26,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,ROE %,7%,,,,12%,,,,10%,,,,11%,19%,16%,12%,8%,14%,17%,9%,5%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,52.16%,52.16%,52.16%,52.16%,52.16%,52.16%,52.16%,52.16%,52.16%,52.16%,52.16%,,,,,,,,,52.49%
Shareholding Pattern (Quarterly),FIIs,,,16.93%,16.09%,14.85%,13.92%,14.10%,12.72%,11.95%,10.08%,10.19%,10.49%,10.68%,,,,,,,,,9.47%
Shareholding Pattern (Quarterly),DIIs,,,22.12%,23.76%,25.18%,26.95%,25.84%,26.96%,28.61%,30.66%,31.58%,31.17%,31.31%,,,,,,,,,31.95%
Shareholding Pattern (Quarterly),Public,,,8.60%,7.83%,7.68%,6.84%,7.79%,8.06%,7.18%,7.00%,6.01%,6.14%,5.81%,,,,,,,,,6.06%
Shareholding Pattern (Quarterly),Others,,,0.20%,0.18%,0.16%,0.15%,0.14%,0.10%,0.09%,0.09%,0.07%,0.06%,0.05%,,,,,,,,,0.05%
Shareholding Pattern (Quarterly),No. of Shareholders,,,214897,193555,186265,185705,219510,239372,227512,224273,211051,224415,217620,,,,,,,,,227483
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,52.16%,,,,52.16%,,,,52.16%,,,,52.16%,,,,51.85%,51.19%,51.19%,51.19%,52.16%,52.49%
Shareholding Pattern (Yearly),FIIs,17.90%,,,,14.85%,,,,11.95%,,,,10.68%,,,,30.40%,29.41%,26.77%,23.94%,20.17%,9.47%
Shareholding Pattern (Yearly),DIIs,16.16%,,,,25.18%,,,,28.61%,,,,31.31%,,,,11.81%,11.57%,13.64%,15.55%,16.76%,31.95%
Shareholding Pattern (Yearly),Public,13.58%,,,,7.68%,,,,7.18%,,,,5.81%,,,,5.94%,7.30%,7.94%,8.93%,10.62%,6.06%
Shareholding Pattern (Yearly),Others,0.21%,,,,0.16%,,,,0.09%,,,,0.05%,,,,0.00%,0.53%,0.47%,0.39%,0.29%,0.05%
Shareholding Pattern (Yearly),No. of Shareholders,250678,,,,186265,,,,227512,,,,217620,,,,57956,51818,66189,77698,188131,227483
,,,,,,,,,,,,,,,,,,,,,,,
