Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2011,Mar 2012,Mar 2013,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2018
Quarterly Results,Sales,2301,1840,1984,2021,2151,1875,1916,1938,2080,1893,1529,1868,2146,,,,,,,,,
Quarterly Results,Expenses,2149,1770,1855,1859,1899,1761,1778,1783,1915,1742,1453,1718,1943,,,,,,,,,
Quarterly Results,Operating Profit,152,70,129,163,252,114,137,155,166,151,76,150,202,,,,,,,,,
Quarterly Results,OPM %,7%,4%,7%,8%,12%,6%,7%,8%,8%,8%,5%,8%,9%,,,,,,,,,
Quarterly Results,Other Income,2,1,2,1,2,2,2,4,7,8,7,6,9,,,,,,,,,
Quarterly Results,Interest,15,13,11,11,10,6,6,7,4,5,6,5,5,,,,,,,,,
Quarterly Results,Depreciation,28,28,29,30,29,29,29,30,29,30,31,30,31,,,,,,,,,
Quarterly Results,Profit before tax,112,30,91,123,215,81,104,121,139,123,46,121,175,,,,,,,,,
Quarterly Results,Tax %,26%,26%,25%,27%,28%,27%,27%,26%,25%,25%,26%,26%,26%,,,,,,,,,
Quarterly Results,Net Profit,83,22,68,90,156,59,76,90,104,92,34,90,130,,,,,,,,,
Quarterly Results,EPS in Rs,3.81,1.02,3.13,4.12,7.15,2.72,3.49,4.14,4.78,4.25,1.57,4.13,5.98,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,7731,,,,7997,,,,7809,,,,7436,2271,2994,3507,2964,3145,5975,5471,5561,
Profit & Loss,Expenses,7288,,,,7383,,,,7237,,,,6857,2079,2763,3197,2722,2916,5603,5117,5182,
Profit & Loss,Operating Profit,443,,,,614,,,,572,,,,579,193,231,310,243,230,372,354,379,
Profit & Loss,OPM %,6%,,,,8%,,,,7%,,,,8%,8%,8%,9%,8%,7%,6%,6%,7%,
Profit & Loss,Other Income,6,,,,5,,,,14,,,,30,0,1,1,2,1,4,3,5,
Profit & Loss,Interest,64,,,,45,,,,24,,,,21,67,116,145,96,88,115,114,70,
Profit & Loss,Depreciation,108,,,,115,,,,117,,,,123,55,60,85,61,56,89,103,103,
Profit & Loss,Profit before tax,277,,,,459,,,,445,,,,465,71,56,82,87,87,172,140,211,
Profit & Loss,Tax %,26%,,,,27%,,,,26%,,,,26%,5%,7%,6%,27%,24%,30%,27%,25%,
Profit & Loss,Net Profit,205,,,,336,,,,329,,,,347,67,52,73,67,72,121,103,158,
Profit & Loss,EPS in Rs,9.42,,,,15.42,,,,15.13,,,,15.93,3.85,2.98,4.19,3.83,4.08,5.55,4.71,7.28,
Profit & Loss,Dividend Payout %,10%,,,,11%,,,,16%,,,,35%,10%,0%,24%,7%,9%,9%,11%,10%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,53,,,,54,,,,54,,,,109,44,44,44,44,44,54,54,54,
Balance Sheet,Reserves,1494,,,,1810,,,,2112,,,,2356,588,684,693,660,723,1097,1185,1314,
Balance Sheet,Borrowings,593,,,,418,,,,16,,,,16,991,1186,1196,895,886,1192,1090,732,
Balance Sheet,Other Liabilities,974,,,,776,,,,739,,,,752,241,285,362,390,465,685,641,842,
Balance Sheet,Total Liabilities,3115,,,,3057,,,,2922,,,,3234,1864,2200,2295,1990,2118,3029,2971,2941,
Balance Sheet,Fixed Assets,943,,,,912,,,,835,,,,841,926,1159,1196,753,787,1089,1061,1029,
Balance Sheet,CWIP,53,,,,8,,,,17,,,,57,137,38,26,18,15,25,15,10,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,0,0,63,68,0,0,0,
Balance Sheet,Other Assets,2119,,,,2136,,,,2070,,,,2336,801,1002,1073,1155,1248,1916,1895,1903,
Balance Sheet,Total Assets,3115,,,,3057,,,,2922,,,,3234,1864,2200,2295,1990,2118,3029,2971,2941,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,285,,,,280,,,,540,,,,395,-68,64,254,208,181,120,276,540,
Cash Flows,Cash from Investing Activity,-54,,,,-33,,,,-51,,,,-329,-289,-194,-108,-51,-84,-105,-48,-66,
