Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,33.81,16.99,21.01,20.85,33.34,23.60,32.61,27.14,31.14,39.36,41.85,33.26,35.32,,,,,,,
Quarterly Results,Expenses,21.93,14.88,15.05,16.50,28.37,19.35,25.72,21.40,27.34,31.77,35.04,29.78,31.58,,,,,,,
Quarterly Results,Operating Profit,11.88,2.11,5.96,4.35,4.97,4.25,6.89,5.74,3.80,7.59,6.81,3.48,3.74,,,,,,,
Quarterly Results,OPM %,35.14%,12.42%,28.37%,20.86%,14.91%,18.01%,21.13%,21.15%,12.20%,19.28%,16.27%,10.46%,10.59%,,,,,,,
Quarterly Results,Other Income,0.24,0.26,0.15,0.30,0.52,0.35,0.18,0.56,0.94,1.23,0.64,1.41,0.63,,,,,,,
Quarterly Results,Interest,-0.02,0.12,0.01,0.07,0.03,0.14,0.09,0.08,0.08,0.08,0.04,0.07,0.07,,,,,,,
Quarterly Results,Depreciation,0.15,0.26,0.35,0.46,0.48,0.37,0.39,0.77,0.79,1.16,1.17,1.23,1.32,,,,,,,
Quarterly Results,Profit before tax,11.99,1.99,5.75,4.12,4.98,4.09,6.59,5.45,3.87,7.58,6.24,3.59,2.98,,,,,,,
Quarterly Results,Tax %,19.60%,34.17%,22.96%,16.26%,8.43%,22.00%,21.85%,21.10%,22.48%,27.31%,19.71%,13.93%,8.72%,,,,,,,
Quarterly Results,Net Profit,9.64,1.31,4.43,3.45,4.55,3.18,5.15,4.30,3.00,5.50,5.01,3.09,2.72,,,,,,,
Quarterly Results,EPS in Rs,4.29,0.58,1.97,1.54,1.94,1.36,2.19,1.83,1.28,2.34,2.13,1.31,1.16,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
