Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2021,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Quarterly Results,Sales,828,901,865,909,956,920,889,958,973,956,907,945,1006,,,,,,,,,
Quarterly Results,Expenses,737,769,767,867,908,851,829,873,941,908,873,924,957,,,,,,,,,
Quarterly Results,Operating Profit,91,132,98,42,47,69,60,86,32,47,34,22,48,,,,,,,,,
Quarterly Results,OPM %,11%,15%,11%,5%,5%,8%,7%,9%,3%,5%,4%,2%,5%,,,,,,,,,
Quarterly Results,Other Income,6,5,10,11,14,17,14,23,24,17,26,6,6,,,,,,,,,
Quarterly Results,Interest,6,8,10,11,7,9,9,10,10,7,8,7,6,,,,,,,,,
Quarterly Results,Depreciation,6,5,5,5,6,5,5,7,7,6,6,6,6,,,,,,,,,
Quarterly Results,Profit before tax,86,124,93,37,49,73,60,92,39,51,46,15,42,,,,,,,,,
Quarterly Results,Tax %,27%,27%,25%,22%,26%,24%,21%,27%,21%,22%,33%,17%,31%,,,,,,,,,
Quarterly Results,Net Profit,63,91,70,29,36,56,47,67,31,40,31,12,29,,,,,,,,,
Quarterly Results,EPS in Rs,9.12,13.14,10.10,4.15,5.27,8.05,6.80,9.75,4.46,5.77,4.49,1.81,4.23,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2937,,,,3629,,,,3740,,,,3814,591,789,894,1126,1999,,,,
Profit & Loss,Expenses,2578,,,,3293,,,,3486,,,,3652,550,756,818,1099,1688,,,,
Profit & Loss,Operating Profit,358,,,,336,,,,254,,,,162,41,33,76,27,311,,,,
Profit & Loss,OPM %,12%,,,,9%,,,,7%,,,,4%,7%,4%,9%,2%,16%,,,,
Profit & Loss,Other Income,31,,,,23,,,,71,,,,46,20,39,26,23,39,,,,
Profit & Loss,Interest,19,,,,35,,,,38,,,,28,1,2,3,5,9,,,,
Profit & Loss,Depreciation,21,,,,21,,,,23,,,,24,9,10,14,19,21,,,,
Profit & Loss,Profit before tax,348,,,,303,,,,264,,,,156,51,61,85,26,320,,,,
Profit & Loss,Tax %,25%,,,,25%,,,,24%,,,,27%,27%,22%,27%,34%,26%,,,,
Profit & Loss,Net Profit,260,,,,226,,,,201,,,,113,37,47,62,17,237,,,,
Profit & Loss,EPS in Rs,37.70,,,,32.66,,,,29.05,,,,16.38,,6.50,8.49,2.37,33.69,,,,
Profit & Loss,Dividend Payout %,13%,,,,12%,,,,14%,,,,24%,29%,28%,27%,42%,9%,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,14,,,,14,,,,14,,,,14,9,15,15,15,14,,,,
Balance Sheet,Reserves,1244,,,,1435,,,,1608,,,,1648,167,194,236,245,1048,,,,
Balance Sheet,Borrowings,0,,,,0,,,,0,,,,0,27,58,36,53,0,,,,
Balance Sheet,Other Liabilities,731,,,,815,,,,855,,,,698,231,250,343,395,789,,,,
Balance Sheet,Total Liabilities,1989,,,,2264,,,,2477,,,,2359,434,516,629,707,1852,,,,
Balance Sheet,Fixed Assets,184,,,,180,,,,249,,,,264,69,97,112,145,194,,,,
