Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,373,361,340,285,406,328,413,332,500,334,447,381,549,,,,
Quarterly Results,Expenses,318,324,310,266,398,302,371,299,443,298,398,339,493,,,,
Quarterly Results,Operating Profit,55,37,30,19,8,26,41,32,57,36,49,42,57,,,,
Quarterly Results,OPM %,15%,10%,9%,7%,2%,8%,10%,10%,11%,11%,11%,11%,10%,,,,
Quarterly Results,Other Income,4,3,0,1,1,1,1,1,2,1,1,2,2,,,,
Quarterly Results,Interest,5,3,4,4,3,3,4,5,6,7,7,7,7,,,,
Quarterly Results,Depreciation,4,4,4,5,4,4,4,6,7,8,9,9,11,,,,
Quarterly Results,Profit before tax,50,33,23,11,2,19,33,23,46,22,34,27,41,,,,
Quarterly Results,Tax %,26%,14%,20%,22%,76%,22%,26%,22%,27%,26%,23%,26%,27%,,,,
Quarterly Results,Net Profit,36,27,17,8,0,15,25,18,34,16,26,20,30,,,,
Quarterly Results,EPS in Rs,6.42,4.76,3.05,1.36,0.10,2.56,4.38,3.12,5.83,2.70,4.67,3.52,5.16,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1343,,,,1394,,,,1572,,,,1710,926,1029,967,1037
Profit & Loss,Expenses,1124,,,,1300,,,,1414,,,,1527,802,894,864,901
Profit & Loss,Operating Profit,219,,,,94,,,,158,,,,183,124,135,104,136
Profit & Loss,OPM %,16%,,,,7%,,,,10%,,,,11%,13%,13%,11%,13%
Profit & Loss,Other Income,7,,,,5,,,,4,,,,7,2,2,5,3
Profit & Loss,Interest,10,,,,15,,,,20,,,,29,18,16,16,9
Profit & Loss,Depreciation,17,,,,18,,,,21,,,,38,12,11,14,15
Profit & Loss,Profit before tax,198,,,,66,,,,122,,,,124,95,109,78,115
Profit & Loss,Tax %,26%,,,,20%,,,,25%,,,,26%,33%,33%,26%,26%
Profit & Loss,Net Profit,147,,,,52,,,,91,,,,92,64,74,57,85
Profit & Loss,EPS in Rs,25.93,,,,9.26,,,,15.90,,,,16.05,11.22,12.98,10.11,15.04
Profit & Loss,Dividend Payout %,12%,,,,32%,,,,19%,,,,19%,14%,13%,17%,16%
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,11,,,,11,,,,11,,,,11,11,11,11,11
Balance Sheet,Reserves,660,,,,696,,,,770,,,,845,341,404,449,525
Balance Sheet,Borrowings,206,,,,175,,,,321,,,,344,184,223,210,124
Balance Sheet,Other Liabilities,234,,,,191,,,,244,,,,276,137,169,149,176
Balance Sheet,Total Liabilities,1111,,,,1073,,,,1347,,,,1476,673,808,820,837
Balance Sheet,Fixed Assets,91,,,,97,,,,230,,,,274,68,70,74,85
Balance Sheet,CWIP,52,,,,88,,,,17,,,,1,2,2,14,15
Balance Sheet,Investments,5,,,,2,,,,0,,,,2,3,6,6,5
Balance Sheet,Other Assets,963,,,,887,,,,1099,,,,1200,599,730,725,733
Balance Sheet,Total Assets,1111,,,,1073,,,,1347,,,,1476,673,808,820,837
,,,,,,,,,,,,,,,,,,
