Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,1141.48,1128.33,1127.26,1122.79,1138.12,912.81,971.30,920.90,1001.62,977.30,990.73,1029.41,1075.47,,,,,,
Quarterly Results,Expenses,792.10,777.77,968.61,885.22,936.39,881.80,954.80,940.88,997.72,923.37,944.59,951.19,974.28,,,,,,
Quarterly Results,Operating Profit,349.38,350.56,158.65,237.57,201.73,31.01,16.50,-19.98,3.90,53.93,46.14,78.22,101.19,,,,,,
Quarterly Results,OPM %,30.61%,31.07%,14.07%,21.16%,17.72%,3.40%,1.70%,-2.17%,0.39%,5.52%,4.66%,7.60%,9.41%,,,,,,
Quarterly Results,Other Income,6.99,5.89,21.94,6.19,8.13,11.80,71.03,4.70,2.54,3.30,49.25,15.16,24.43,,,,,,
Quarterly Results,Interest,1.19,1.58,2.60,7.56,7.72,10.50,10.78,11.21,12.08,10.85,11.06,10.44,18.19,,,,,,
Quarterly Results,Depreciation,52.25,49.81,59.57,79.18,87.53,89.47,95.20,96.02,96.72,96.66,100.13,98.27,97.24,,,,,,
Quarterly Results,Profit before tax,302.93,305.06,118.42,157.02,114.61,-57.16,-18.45,-122.51,-102.36,-50.28,-15.80,-15.33,10.19,,,,,,
Quarterly Results,Tax %,27.15%,37.43%,48.88%,44.48%,38.02%,0.00%,-0.43%,-6.03%,-54.87%,-11.44%,15.06%,-26.74%,13.44%,,,,,,
Quarterly Results,Net Profit,220.68,190.87,60.54,87.17,71.04,-57.16,-18.37,-115.12,-46.19,-44.53,-18.18,-11.23,8.82,,,,,,
Quarterly Results,EPS in Rs,30.05,25.99,8.24,11.87,9.67,-7.78,-2.50,-15.68,-6.29,-6.06,-2.48,-1.53,1.20,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,3759,,,,4516,,,,3807,,,,4073,1995,2070,2455,3161,2725,2429
Profit & Loss,Expenses,2774,,,,3568,,,,3775,,,,3793,1660,1622,1669,2046,2148,2072
Profit & Loss,Operating Profit,984,,,,949,,,,32,,,,279,335,448,786,1115,577,357
Profit & Loss,OPM %,26%,,,,21%,,,,1%,,,,7%,17%,22%,32%,35%,21%,15%
Profit & Loss,Other Income,46,,,,42,,,,90,,,,92,45,56,106,62,90,67
Profit & Loss,Interest,6,,,,19,,,,45,,,,51,10,13,15,21,14,15
Profit & Loss,Depreciation,198,,,,276,,,,377,,,,392,107,111,127,140,162,174
Profit & Loss,Profit before tax,826,,,,695,,,,-300,,,,-71,262,381,749,1016,491,235
Profit & Loss,Tax %,32%,,,,41%,,,,-21%,,,,-9%,16%,19%,29%,32%,32%,29%
Profit & Loss,Net Profit,560,,,,410,,,,-237,,,,-65,220,307,534,690,332,166
Profit & Loss,EPS in Rs,76.22,,,,55.78,,,,-32.25,,,,-8.87,29.90,41.85,72.78,93.98,45.22,22.57
Profit & Loss,Dividend Payout %,13%,,,,42%,,,,-43%,,,,-178%,15%,12%,9%,9%,18%,35%
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,73,,,,73,,,,73,,,,73,73,73,73,73,73,73
Balance Sheet,Reserves,5826,,,,6066,,,,6002,,,,5596,2854,3282,3748,4222,4522,5301
Balance Sheet,Borrowings,594,,,,597,,,,544,,,,561,295,353,291,247,205,498
Balance Sheet,Other Liabilities,1484,,,,1599,,,,1404,,,,1756,671,726,859,988,1090,1282
Balance Sheet,Total Liabilities,7977,,,,8335,,,,8023,,,,7987,3894,4435,4970,5531,5891,7154
Balance Sheet,Fixed Assets,2702,,,,4250,,,,4617,,,,4584,1821,2073,2104,2300,2610,2587
Balance Sheet,CWIP,1787,,,,544,,,,95,,,,79,83,151,252,307,445,1109
Balance Sheet,Investments,2110,,,,1831,,,,2093,,,,1976,854,1016,1145,1065,1242,2092
Balance Sheet,Other Assets,1379,,,,1710,,,,1218,,,,1348,1136,1196,1469,1858,1594,1366
Balance Sheet,Total Assets,7977,,,,8335,,,,8023,,,,7987,3894,4435,4970,5531,5891,7154
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,735,,,,960,,,,67,,,,381,201,502,514,838,630,421
Cash Flows,Cash from Investing Activity,-804,,,,-662,,,,-90,,,,-264,-352,-467,-395,-581,-634,-334
Cash Flows,Cash from Financing Activity,12,,,,-140,,,,-277,,,,-145,84,13,-116,-136,-146,226
Cash Flows,Net Cash Flow,-58,,,,158,,,,-301,,,,-28,-67,49,3,122,-150,313
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,29,,,,23,,,,17,,,,24,60,58,60,56,50,43
Ratios,Inventory Days,101,,,,111,,,,93,,,,110,99,94,147,99,92,88
Ratios,Days Payable,101,,,,119,,,,86,,,,115,99,125,154,134,126,111
Ratios,Cash Conversion Cycle,29,,,,15,,,,25,,,,19,60,27,53,22,17,21
Ratios,Working Capital Days,8,,,,16,,,,18,,,,21,90,83,99,96,107,20
Ratios,ROCE %,13%,,,,11%,,,,-4%,,,,-0%,,11%,18%,24%,11%,5%
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,46.28%,46.28%,46.28%,46.28%,46.28%,46.28%,46.28%,46.28%,46.28%,46.28%,46.28%,46.28%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,2.05%,1.98%,2.07%,2.07%,1.98%,1.88%,2.07%,2.10%,1.92%,1.94%,1.79%,1.71%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,1.63%,1.47%,1.45%,1.51%,1.51%,1.96%,2.17%,3.13%,3.46%,3.76%,4.14%,4.17%,,,,,,
Shareholding Pattern (Quarterly),Public,,50.04%,50.27%,50.19%,50.13%,50.22%,49.88%,49.49%,48.48%,48.34%,48.01%,47.79%,47.84%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,87428,87083,85354,84097,85393,88020,86698,82719,79560,78681,75697,74643,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,46.28%,,,,46.28%,,,,46.28%,,,,46.28%,,46.28%,46.28%,46.28%,46.28%,46.28%
Shareholding Pattern (Yearly),FIIs,1.82%,,,,2.07%,,,,2.10%,,,,1.71%,,4.08%,4.04%,2.61%,2.02%,1.36%
Shareholding Pattern (Yearly),DIIs,1.68%,,,,1.51%,,,,3.13%,,,,4.17%,,4.05%,5.75%,6.83%,6.97%,4.01%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,0.00%,0.25%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,50.22%,,,,50.13%,,,,48.48%,,,,47.84%,,45.59%,43.68%,44.28%,44.73%,48.35%
Shareholding Pattern (Yearly),No. of Shareholders,77773,,,,84097,,,,82719,,,,74643,,57142,50385,57005,57582,64304
,,,,,,,,,,,,,,,,,,,,
