Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Feb 2016
Quarterly Results,Sales,103.71,61.08,100.94,66.80,49.28,51.44,78.36,81.92,80.03,70.29,73.49,70.61,65.14,,,,,,,,,
Quarterly Results,Expenses,68.84,60.03,72.56,78.17,65.45,66.52,67.39,70.30,69.99,67.70,70.42,74.38,73.62,,,,,,,,,
Quarterly Results,Operating Profit,34.87,1.05,28.38,-11.37,-16.17,-15.08,10.97,11.62,10.04,2.59,3.07,-3.77,-8.48,,,,,,,,,
Quarterly Results,OPM %,33.62%,1.72%,28.12%,-17.02%,-32.81%,-29.32%,14.00%,14.18%,12.55%,3.68%,4.18%,-5.34%,-13.02%,,,,,,,,,
Quarterly Results,Other Income,5.67,3.20,5.40,3.47,10.06,4.73,5.69,4.15,6.82,5.06,5.20,4.91,5.60,,,,,,,,,
Quarterly Results,Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.05,0.05,0.06,0.06,,,,,,,,,
Quarterly Results,Depreciation,4.58,3.95,4.14,4.17,3.73,2.93,3.25,3.24,3.18,2.79,3.15,3.39,3.63,,,,,,,,,
Quarterly Results,Profit before tax,35.96,0.30,29.64,-12.07,-9.84,-13.28,13.41,12.53,13.55,4.81,5.07,-2.31,-6.57,,,,,,,,,
Quarterly Results,Tax %,21.89%,40.00%,25.24%,-23.03%,-32.52%,-3.92%,3.80%,19.71%,-3.62%,16.22%,18.15%,-104.76%,-50.53%,,,,,,,,,
Quarterly Results,Net Profit,28.09,0.18,22.16,-9.29,-6.64,-12.76,12.90,10.06,14.04,4.03,4.15,0.11,-3.25,,,,,,,,,
Quarterly Results,EPS in Rs,4.84,0.03,3.82,-1.75,-1.25,-2.40,2.43,1.89,2.62,0.75,0.77,0.02,-0.60,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,342,,,,278,,,,292,,,,280,243,286,302,300,318,315,286,333,
Profit & Loss,Expenses,235,,,,276,,,,274,,,,286,157,194,200,210,198,187,195,192,
Profit & Loss,Operating Profit,107,,,,2,,,,18,,,,-7,85,92,102,90,120,128,92,141,
Profit & Loss,OPM %,31%,,,,1%,,,,6%,,,,-2%,35%,32%,34%,30%,38%,41%,32%,42%,
Profit & Loss,Other Income,19,,,,22,,,,21,,,,21,11,8,10,25,30,33,31,24,
Profit & Loss,Interest,0,,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,
Profit & Loss,Depreciation,17,,,,16,,,,13,,,,13,11,20,24,31,27,24,22,19,
Profit & Loss,Profit before tax,109,,,,8,,,,26,,,,1,86,80,88,84,123,137,101,146,
Profit & Loss,Tax %,23%,,,,20%,,,,8%,,,,-404%,32%,33%,34%,37%,33%,33%,27%,27%,
Profit & Loss,Net Profit,83,,,,6,,,,24,,,,5,58,54,58,53,83,92,74,107,
Profit & Loss,EPS in Rs,14.34,,,,1.21,,,,4.53,,,,0.93,9.56,8.81,8.27,7.59,11.79,13.01,11.59,16.66,
Profit & Loss,Dividend Payout %,31%,,,,207%,,,,66%,,,,0%,78%,85%,30%,33%,25%,15%,35%,24%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,58,,,,53,,,,54,,,,54,61,61,70,70,70,71,64,64,
Balance Sheet,Reserves,570,,,,367,,,,383,,,,387,271,270,559,592,653,719,580,687,
Balance Sheet,Borrowings,0,,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,
Balance Sheet,Other Liabilities,88,,,,74,,,,76,,,,83,47,97,88,72,57,63,52,75,
Balance Sheet,Total Liabilities,716,,,,493,,,,513,,,,525,380,428,717,734,781,853,697,827,
Balance Sheet,Fixed Assets,137,,,,124,,,,117,,,,119,82,111,142,185,173,165,158,146,
Balance Sheet,CWIP,0,,,,0,,,,3,,,,0,55,74,55,14,14,11,3,2,
Balance Sheet,Investments,318,,,,198,,,,190,,,,179,131,130,115,182,306,390,310,416,
Balance Sheet,Other Assets,261,,,,171,,,,203,,,,226,111,113,405,353,287,288,225,263,
Balance Sheet,Total Assets,716,,,,493,,,,513,,,,525,380,428,717,734,781,853,697,827,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,80,,,,31,,,,18,,,,-22,61,77,78,36,94,61,71,99,
Cash Flows,Cash from Investing Activity,126,,,,185,,,,6,,,,16,-59,-53,-163,-73,-122,-37,148,-92,
Cash Flows,Cash from Financing Activity,-214,,,,-212,,,,2,,,,-10,-2,-18,189,-20,-19,-24,-221,0,
Cash Flows,Net Cash Flow,-9,,,,4,,,,26,,,,-17,-1,7,104,-57,-47,1,-3,6,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,184,,,,161,,,,165,,,,218,104,83,112,118,118,145,144,165,
Ratios,Inventory Days,,,,,,,,,,,,,,,181,144,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,864,1103,,,,,,
Ratios,Cash Conversion Cycle,184,,,,161,,,,165,,,,218,104,-600,-847,118,118,145,144,165,
Ratios,Working Capital Days,102,,,,83,,,,88,,,,354,52,-23,29,49,70,92,94,98,
Ratios,ROCE %,15%,,,,0%,,,,6%,,,,0%,27%,24%,18%,14%,18%,18%,14%,21%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,72.84%,72.78%,73.08%,73.08%,73.08%,73.06%,72.76%,72.48%,72.44%,72.08%,71.92%,71.82%,,,,,,,,,
