Section,,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Feb 2016,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,416,381,433,584,738,836,951,923,711,713,667,552,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,356,372,348,447,671,735,828,860,708,673,527,518,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,60,8,84,136,67,102,123,64,3,40,140,34,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,14%,2%,20%,23%,9%,12%,13%,7%,0%,6%,21%,6%,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,-4,-6,1,9,-23,-7,4,4,7,32,3,63,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,20,18,31,51,57,67,85,79,72,72,72,60,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,12,12,16,25,25,28,37,38,32,28,26,25,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,25,-28,38,70,-38,0,5,-50,-95,-28,45,12,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,15%,-19%,33%,34%,-11%,134%,-14%,-31%,-31%,-31%,35%,-120%,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,21,-22,26,46,-34,-0,6,-34,-66,-19,29,27,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,-14.11,-0.06,2.32,-14.44,-27.61,-7.73,10.46,9.42,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,38%,0%,9%,15%,0%,0%,0%,0%,0%,0%,10%,0%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,23,23,23,23,24,24,24,24,24,25,28,28,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,77,55,78,117,88,88,95,60,-10,-27,77,103,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,244,344,438,486,536,636,639,713,736,780,615,458,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,162,210,154,177,160,219,297,316,223,171,393,170,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,506,631,692,803,808,966,1055,1113,974,949,1112,760,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,242,248,477,448,481,504,636,621,588,562,551,528,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,25,178,5,8,27,139,15,3,2,2,2,2,,,,,,,,,,,,,,,,,
