Section,,Jun 2018,Sep 2018,Jun 2019,Sep 2019,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,11.95,8.84,6.85,11.57,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,13.77,8.66,9.71,11.95,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,-1.82,0.18,-2.86,-0.38,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,-15.23%,2.04%,-41.75%,-3.28%,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.09,-0.03,0.30,0.59,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,0.83,0.62,0.13,0.04,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,1.00,0.75,1.02,0.72,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,-3.56,-1.22,-3.71,-0.55,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,-1.12%,4.10%,-42.59%,7.27%,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,-3.52,-1.28,-2.13,-0.59,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,-1.49,-0.54,-0.90,-2.49,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,129,175,185,97,85,65,46,44,42,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,110,153,162,114,85,71,81,57,41,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,19,22,23,-18,1,-6,-35,-13,1,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,15%,13%,12%,-18%,1%,-9%,-77%,-30%,3%,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,1,3,2,43,2,1,31,1,-22,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,8,12,13,13,13,11,7,2,0,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,6,8,9,6,5,4,4,3,3,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,5,5,2,6,-15,-20,-15,-17,-24,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,64%,27%,42%,-2%,-1%,-4%,15%,6%,0%,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,2,4,1,6,-15,-19,-17,-18,-24,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,1.00,2.12,0.75,3.31,-7.52,-10.23,-7.08,-7.98,-104.54,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,0%,28%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,18,19,19,19,19,19,24,24,2,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,45,49,50,53,39,24,14,-5,49,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,85,100,108,69,80,82,47,46,3,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,70,93,59,59,54,53,54,54,17,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,219,261,236,200,193,178,138,119,71,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,76,73,69,55,53,49,45,37,35,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,0,0,0,17,17,17,0,0,0,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,143,188,167,128,123,113,93,82,36,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,219,261,236,200,193,178,138,119,71,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,29,37,2,11,1,-1,-7,-2,-34,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,-38,-6,-7,60,-0,-5,38,15,33,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,-1,-12,-13,-71,-1,6,-31,-14,7,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,-9,19,-18,-0,-0,-0,0,-0,6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,237,191,193,335,292,303,195,208,52,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,93,63,77,72,90,118,102,122,208,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,227,223,118,189,208,168,273,519,229,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,103,30,152,218,174,253,24,-190,31,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,202,151,204,265,300,205,74,-15,90,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,11%,9%,-12%,-2%,-7%,-36%,-22%,-3%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,90.12%,90.00%,90.01%,89.99%,89.99%,88.73%,88.42%,88.29%,88.29%,88.29%,88.29%,75.00%,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.53%,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,9.88%,10.00%,9.98%,10.00%,10.00%,11.27%,11.57%,11.70%,11.71%,11.70%,11.70%,16.47%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,7223,7275,7199,7120,6992,7354,7367,7539,7391,7295,7214,7142,,
